Date Time,DET.Flow-In.Ave.~1Day.1Day.Best [cfs]
01-Jan-2014 00:00,1170.000
02-Jan-2014 00:00,1110.000
03-Jan-2014 00:00,1040.000
04-Jan-2014 00:00,1150.000
05-Jan-2014 00:00,1030.000
06-Jan-2014 00:00,990.000
07-Jan-2014 00:00,940.000
08-Jan-2014 00:00,990.000
09-Jan-2014 00:00,1530.000
10-Jan-2014 00:00,2480.000
11-Jan-2014 00:00,2770.000
12-Jan-2014 00:00,3570.000
13-Jan-2014 00:00,4530.000
14-Jan-2014 00:00,5150.000
15-Jan-2014 00:00,3760.000
16-Jan-2014 00:00,2940.000
17-Jan-2014 00:00,2580.000
18-Jan-2014 00:00,2260.000
19-Jan-2014 00:00,2050.000
20-Jan-2014 00:00,1930.000
21-Jan-2014 00:00,1760.000
22-Jan-2014 00:00,1670.000
23-Jan-2014 00:00,1560.000
24-Jan-2014 00:00,1470.000
25-Jan-2014 00:00,1410.000
26-Jan-2014 00:00,1290.000
27-Jan-2014 00:00,1270.000
28-Jan-2014 00:00,1190.000
29-Jan-2014 00:00,1300.000
30-Jan-2014 00:00,3680.000
31-Jan-2014 00:00,3480.000
01-Feb-2014 00:00,2680.000
02-Feb-2014 00:00,2260.000
03-Feb-2014 00:00,2040.000
04-Feb-2014 00:00,1870.000
05-Feb-2014 00:00,1790.000
06-Feb-2014 00:00,1530.000
07-Feb-2014 00:00,1560.000
08-Feb-2014 00:00,1580.000
09-Feb-2014 00:00,1610.000
10-Feb-2014 00:00,1970.000
11-Feb-2014 00:00,2120.000
12-Feb-2014 00:00,3320.000
13-Feb-2014 00:00,12690.000
14-Feb-2014 00:00,13600.000
15-Feb-2014 00:00,15770.000
16-Feb-2014 00:00,14100.000
17-Feb-2014 00:00,11960.000
18-Feb-2014 00:00,8720.000
19-Feb-2014 00:00,9440.000
20-Feb-2014 00:00,7480.000
21-Feb-2014 00:00,5310.000
22-Feb-2014 00:00,4290.000
23-Feb-2014 00:00,4150.000
24-Feb-2014 00:00,3540.000
25-Feb-2014 00:00,3270.000
26-Feb-2014 00:00,3800.000
27-Feb-2014 00:00,3270.000
28-Feb-2014 00:00,3470.000
01-Mar-2014 00:00,3230.000
02-Mar-2014 00:00,5430.000
03-Mar-2014 00:00,5940.000
04-Mar-2014 00:00,9540.000
05-Mar-2014 00:00,8360.000
06-Mar-2014 00:00,9650.000
07-Mar-2014 00:00,12310.000
08-Mar-2014 00:00,9720.000
09-Mar-2014 00:00,6870.000
09-Mar-2014 23:00,12830.000
10-Mar-2014 23:00,13990.000
11-Mar-2014 23:00,9050.000
12-Mar-2014 23:00,5920.000
13-Mar-2014 23:00,4210.000
14-Mar-2014 23:00,4090.000
15-Mar-2014 23:00,3860.000
16-Mar-2014 23:00,3440.000
17-Mar-2014 23:00,3600.000
18-Mar-2014 23:00,3330.000
19-Mar-2014 23:00,2890.000
20-Mar-2014 23:00,2660.000
21-Mar-2014 23:00,2430.000
22-Mar-2014 23:00,2240.000
23-Mar-2014 23:00,2120.000
24-Mar-2014 23:00,1890.000
25-Mar-2014 23:00,2060.000
26-Mar-2014 23:00,2380.000
27-Mar-2014 23:00,3020.000
28-Mar-2014 23:00,5480.000
29-Mar-2014 23:00,7800.000
30-Mar-2014 23:00,5940.000
31-Mar-2014 23:00,4320.000
01-Apr-2014 23:00,3760.000
02-Apr-2014 23:00,3240.000
03-Apr-2014 23:00,2890.000
04-Apr-2014 23:00,2900.000
05-Apr-2014 23:00,3020.000
06-Apr-2014 23:00,3940.000
07-Apr-2014 23:00,3690.000
08-Apr-2014 23:00,3270.000
09-Apr-2014 23:00,3130.000
10-Apr-2014 23:00,2840.000
11-Apr-2014 23:00,2720.000
12-Apr-2014 23:00,2440.000
13-Apr-2014 23:00,2260.000
14-Apr-2014 23:00,2040.000
15-Apr-2014 23:00,2020.000
16-Apr-2014 23:00,1870.000
17-Apr-2014 23:00,2110.000
18-Apr-2014 23:00,2130.000
19-Apr-2014 23:00,2040.000
