date,maximum,minimum,average
2016-10-02,0.001,0.000,0.000
2016-10-03,0.001,0.000,0.000
2016-10-04,0.001,0.000,0.000
2016-10-05,0.013,0.000,0.001
2016-10-06,0.219,0.000,0.015
2016-10-07,0.196,0.000,0.017
2016-10-08,0.140,0.000,0.015
2016-10-09,1.061,0.000,0.081
2016-10-10,2.715,0.000,0.183
2016-10-11,1.399,0.000,0.098
2016-10-12,0.572,0.000,0.043
2016-10-13,0.505,0.000,0.040
2016-10-14,0.293,0.000,0.025
2016-10-15,0.174,0.000,0.019
2016-10-16,0.116,0.000,0.015
2016-10-17,0.087,0.000,0.013
2016-10-18,0.063,0.000,0.010
2016-10-19,0.375,0.000,0.034
2016-10-20,0.672,0.000,0.054
2016-10-21,0.421,0.000,0.040
2016-10-22,0.264,0.000,0.029
2016-10-23,0.464,0.000,0.049
2016-10-24,0.706,0.000,0.102
2016-10-25,0.648,0.000,0.145
2016-10-26,0.545,0.000,0.128
2016-10-27,0.454,0.000,0.094
2016-10-28,0.479,0.000,0.106
2016-10-29,0.359,0.000,0.109
2016-10-30,0.260,0.000,0.116
2016-10-31,0.452,0.000,0.127
2016-11-01,0.566,0.000,0.139
2016-11-02,3.002,0.000,0.454
2016-11-03,3.931,0.000,0.654
2016-11-04,8.195,0.000,0.949
2016-11-05,7.964,0.004,0.950
2016-11-06,7.547,0.003,0.973
2016-11-07,8.524,0.002,1.385
2016-11-08,10.674,0.002,2.127
2016-11-09,10.192,0.001,2.455
2016-11-10,9.083,0.001,2.391
2016-11-11,7.851,0.001,2.266
2016-11-12,6.764,0.000,2.143
2016-11-13,7.306,0.000,2.449
2016-11-14,7.231,0.002,2.304
2016-11-15,7.035,0.001,2.189
2016-11-16,7.888,0.001,2.189
2016-11-17,8.395,0.001,2.638
2016-11-18,9.020,0.001,2.547
2016-11-19,8.395,0.000,2.297
2016-11-20,7.263,0.009,2.234
2016-11-21,6.366,0.008,2.065
2016-11-22,6.217,0.007,1.981
2016-11-23,7.053,0.006,2.051
2016-11-24,8.093,0.005,2.271
2016-11-25,8.324,0.004,2.386
2016-11-26,11.276,0.004,2.528
2016-11-27,10.738,0.003,2.569
2016-11-28,10.042,0.003,2.471
2016-11-29,10.304,0.002,2.707
2016-11-30,10.254,0.002,2.701
2016-12-01,11.926,0.002,2.942
2016-12-02,11.382,0.002,3.111
2016-12-03,10.988,0.001,3.326
2016-12-04,15.903,0.011,4.991
2016-12-05,19.107,0.012,5.784
2016-12-06,21.606,0.265,6.219
2016-12-07,21.101,0.262,6.002
2016-12-08,20.220,0.456,6.143
2016-12-09,19.941,0.828,6.265
2016-12-10,23.885,0.654,6.778
2016-12-11,27.264,0.537,7.480
2016-12-12,26.814,1.462,7.466
2016-12-13,26.892,1.336,7.824
2016-12-14,26.349,1.099,7.898
2016-12-15,25.819,1.137,7.617
2016-12-16,24.918,1.052,7.383
2016-12-17,24.978,0.925,7.712
2016-12-18,24.332,0.797,8.830
2016-12-19,23.180,0.725,9.189
2016-12-20,22.407,0.688,9.533
2016-12-21,22.366,0.635,9.442
2016-12-22,21.661,1.048,9.553
2016-12-23,21.639,1.103,10.123
2016-12-24,21.425,0.968,10.439
2016-12-25,21.027,0.811,10.157
2016-12-26,22.535,0.700,10.312
2016-12-27,25.983,0.750,10.769
2016-12-28,32.574,1.597,12.702
2016-12-29,32.589,1.502,13.442
2016-12-30,32.145,1.422,14.108
2016-12-31,30.342,1.326,14.315
2017-01-01,28.616,1.247,14.427
2017-01-02,28.727,1.150,14.271
2017-01-03,27.763,1.056,14.234
2017-01-04,27.214,0.980,15.163
2017-01-05,28.837,0.911,15.920
2017-01-06,28.532,0.877,16.043
2017-01-07,28.149,1.860,16.152
2017-01-08,29.940,3.292,16.708
2017-01-09,29.624,2.922,17.183
2017-01-10,29.032,2.696,17.128
2017-01-11,28.962,2.471,17.136
2017-01-12,34.003,2.297,17.830
2017-01-13,33.667,5.466,18.636
2017-01-14,33.220,9.970,20.189
2017-01-15,32.879,10.559,20.841
2017-01-16,32.432,10.023,21.591
2017-01-17,37.063,9.053,22.784
2017-01-18,38.648,8.669,23.073
2017-01-19,39.961,7.858,23.271
2017-01-20,41.234,7.828,22.975
2017-01-21,41.422,7.477,22.959
2017-01-22,42.055,7.402,23.368
2017-01-23,42.596,7.311,24.047
2017-01-24,42.641,7.350,24.030
2017-01-25,42.548,7.230,24.453
2017-01-26,42.663,7.102,24.561
2017-01-27,50.404,7.469,25.057
2017-01-28,51.330,7.271,24.854
2017-01-29,51.176,6.929,26.026
2017-01-30,51.183,8.452,27.221
2017-01-31,52.060,9.416,27.910
2017-02-01,51.777,9.936,27.687
2017-02-02,50.864,9.623,27.856
2017-02-03,50.674,8.988,28.460
2017-02-04,57.265,8.236,30.072
2017-02-05,58.354,7.565,31.215
2017-02-06,60.839,7.474,31.897
2017-02-07,63.324,10.982,32.873
2017-02-08,64.847,10.592,33.412
2017-02-09,65.039,9.951,33.829
2017-02-10,64.595,9.293,33.899
2017-02-11,65.088,8.573,33.779
2017-02-12,66.001,8.079,34.228
2017-02-13,68.659,8.244,34.699
2017-02-14,68.310,8.821,35.157
2017-02-15,68.364,8.708,34.935
2017-02-16,68.176,9.767,34.738
2017-02-17,69.618,9.250,34.560
2017-02-18,70.995,9.303,34.525
2017-02-19,71.358,8.874,34.610
2017-02-20,70.948,8.857,34.550
2017-02-21,69.584,8.645,33.709
2017-02-22,67.575,8.756,33.637
2017-02-23,66.319,8.665,33.568
2017-02-24,68.287,8.795,34.171
2017-02-25,68.774,14.749,35.492
2017-02-26,68.529,14.663,35.275
2017-02-27,67.299,13.863,35.763
2017-02-28,65.680,13.573,35.242
2017-03-01,63.745,12.038,34.421
2017-03-02,61.193,11.535,33.955
2017-03-03,58.939,10.816,33.422
2017-03-04,57.198,10.442,33.124
2017-03-05,58.818,9.955,32.859
2017-03-06,57.680,10.502,31.778
2017-03-07,59.589,12.639,31.794
2017-03-08,61.960,12.099,31.550
2017-03-09,61.446,11.378,31.475
2017-03-10,59.771,10.699,31.208
2017-03-11,59.750,10.013,30.353
2017-03-12,65.313,9.786,30.427
2017-03-13,67.679,9.468,29.718
2017-03-14,67.387,9.440,28.697
2017-03-15,64.861,8.527,27.584
2017-03-16,61.142,7.912,26.377
2017-03-17,58.157,7.384,25.272
2017-03-18,55.495,7.348,24.351
2017-03-19,55.909,6.778,24.303
2017-03-20,63.269,6.359,24.426
2017-03-21,62.324,6.297,23.826
2017-03-22,60.444,7.610,23.058
2017-03-23,57.595,6.937,22.330
2017-03-24,55.324,6.294,21.774
2017-03-25,53.299,5.658,21.246
2017-03-26,53.535,5.201,20.351
2017-03-27,51.717,4.792,19.460
2017-03-28,49.763,4.335,18.873
2017-03-29,46.903,3.802,18.434
2017-03-30,44.905,3.325,17.679
2017-03-31,44.362,3.109,17.354
2017-04-01,43.625,2.779,17.247
2017-04-02,46.229,2.472,17.026
2017-04-03,45.715,2.381,16.499
2017-04-04,44.802,2.303,15.868
2017-04-05,43.790,2.358,15.093
2017-04-06,43.072,1.920,14.673
2017-04-07,44.297,2.646,14.490
2017-04-08,43.303,2.295,13.970
2017-04-09,41.907,2.484,13.484
2017-04-10,40.357,2.643,12.792
2017-04-11,39.286,2.363,12.170
2017-04-12,37.854,2.166,11.500
2017-04-13,36.125,1.956,10.836
2017-04-14,34.237,1.796,10.262
2017-04-15,32.507,1.601,9.812
2017-04-16,30.680,1.426,9.402
2017-04-17,29.179,1.467,8.789
2017-04-18,27.848,1.258,8.228
2017-04-19,27.215,1.126,7.979
2017-04-20,28.225,1.020,7.698
2017-04-21,27.193,0.864,7.082
2017-04-22,26.012,0.951,6.726
2017-04-23,24.738,0.988,6.285
2017-04-24,23.488,0.820,5.922
2017-04-25,22.182,0.669,5.571
2017-04-26,20.862,0.571,5.259
2017-04-27,20.531,0.532,5.084
2017-04-28,19.869,0.416,4.815
2017-04-29,19.128,0.315,4.851
2017-04-30,18.905,0.204,4.903
2017-05-01,18.681,0.133,4.547
2017-05-02,18.088,0.082,4.115
2017-05-03,17.404,0.049,3.735
2017-05-04,16.645,0.033,3.437
2017-05-05,15.981,0.023,3.228
2017-05-06,15.042,0.032,3.001
2017-05-07,14.114,0.020,2.752
2017-05-08,13.263,0.013,2.543
2017-05-09,12.134,0.010,2.395
2017-05-10,11.505,0.005,2.243
2017-05-11,10.763,0.002,2.057
2017-05-12,10.372,0.001,1.896
2017-05-13,10.188,0.000,1.780
2017-05-14,9.647,0.000,1.637
2017-05-15,8.975,0.000,1.497
2017-05-16,8.341,0.000,1.359
2017-05-17,7.709,0.000,1.234
2017-05-18,7.374,0.000,1.133
2017-05-19,6.834,0.000,1.032
2017-05-20,6.524,0.000,0.949
2017-05-21,6.014,0.000,0.859
2017-05-22,5.542,0.000,0.775
2017-05-23,5.096,0.000,0.706
2017-05-24,4.823,0.000,0.655
2017-05-25,4.678,0.000,0.612
2017-05-26,4.660,0.000,0.579
2017-05-27,4.465,0.000,0.539
2017-05-28,4.239,0.000,0.503
