date,maximum,minimum,average
2017-01-01,1.277,0.000,0.104
2017-01-02,0.445,0.000,0.045
2017-01-03,4.323,0.000,0.584
2017-01-04,1.837,0.000,0.167
2017-01-05,1.369,0.000,0.175
2017-01-06,1.218,0.000,0.235
2017-01-07,0.941,0.000,0.184
2017-01-08,4.169,0.000,0.337
2017-01-09,3.368,0.000,0.345
2017-01-10,8.300,0.000,1.240
2017-01-11,3.848,0.000,0.639
2017-01-12,4.664,0.000,0.599
2017-01-13,1.565,0.000,0.268
2017-01-14,2.433,0.000,0.245
2017-01-15,0.952,0.000,0.131
2017-01-16,8.519,0.000,0.793
2017-01-17,1.267,0.000,0.277
2017-01-18,2.409,0.000,0.196
2017-01-19,4.429,0.000,0.375
2017-01-20,20.388,0.000,1.440
2017-01-21,2.613,0.000,0.328
2017-01-22,0.367,0.000,0.044
2017-01-23,0.383,0.000,0.064
2017-01-24,3.502,0.000,0.358
2017-01-25,0.798,0.000,0.151
2017-01-26,6.473,0.000,0.837
2017-01-27,11.397,0.000,0.937
2017-01-28,6.984,0.000,0.628
2017-01-29,1.196,0.000,0.152
2017-01-30,2.815,0.000,0.557
2017-01-31,6.657,0.000,0.947
2017-02-01,7.485,0.000,1.544
2017-02-02,12.581,0.000,0.940
2017-02-03,11.162,0.000,0.723
2017-02-04,2.675,0.000,0.348
2017-02-05,12.408,0.000,1.222
2017-02-06,3.188,0.000,0.342
2017-02-07,1.919,0.000,0.404
2017-02-08,16.636,0.000,1.468
2017-02-09,19.957,0.000,1.846
2017-02-10,7.947,0.000,0.976
2017-02-11,17.081,0.000,1.635
2017-02-12,7.458,0.000,1.043
2017-02-13,3.015,0.000,0.576
2017-02-14,5.772,0.000,0.841
2017-02-15,10.972,0.000,1.009
2017-02-16,32.472,0.000,2.348
2017-02-17,5.519,0.000,0.669
2017-02-18,0.818,0.000,0.265
2017-02-19,8.835,0.000,0.802
2017-02-20,1.746,0.000,0.248
2017-02-21,1.896,0.000,0.392
2017-02-22,9.490,0.000,0.685
2017-02-23,4.176,0.000,0.513
2017-02-24,4.769,0.000,0.509
2017-02-25,4.393,0.000,0.614
2017-02-26,1.442,0.000,0.233
2017-02-27,9.093,0.000,0.772
2017-02-28,16.036,0.000,1.961
2017-03-01,5.097,0.000,1.167
2017-03-02,1.552,0.000,0.292
2017-03-03,8.265,0.000,1.029
2017-03-04,12.202,0.000,1.648
2017-03-05,4.191,0.000,0.680
2017-03-06,8.554,0.000,1.840
2017-03-07,11.134,0.000,1.225
2017-03-08,4.757,0.000,0.706
2017-03-09,2.560,0.000,0.299
2017-03-10,7.943,0.000,0.871
2017-03-11,7.089,0.000,0.743
2017-03-12,6.549,0.000,0.867
2017-03-13,0.796,0.000,0.207
2017-03-14,2.893,0.000,0.368
2017-03-15,2.189,0.000,0.342
2017-03-16,1.226,0.000,0.295
2017-03-17,1.738,0.000,0.397
2017-03-18,1.057,0.000,0.180
2017-03-19,6.268,0.000,1.483
2017-03-20,13.028,0.000,1.783
2017-03-21,10.892,0.000,1.544
2017-03-22,5.840,0.000,0.867
2017-03-23,6.235,0.000,1.006
2017-03-24,10.247,0.001,1.172
2017-03-25,6.214,0.000,1.275
2017-03-26,3.482,0.000,0.603
2017-03-27,7.280,0.008,0.985
2017-03-28,5.412,0.001,0.878
2017-03-29,2.863,0.000,0.766
2017-03-30,13.262,0.000,1.893
2017-03-31,11.865,0.000,1.768
2017-04-01,7.944,0.004,1.485
2017-04-02,40.336,0.000,3.104
2017-04-03,8.004,0.000,0.845
2017-04-04,9.937,0.001,1.558
