date,maximum,minimum,average
2017-01-01,0.011,0.001,0.004
2017-01-02,0.010,0.001,0.004
2017-01-03,0.565,0.002,0.039
2017-01-04,0.011,0.001,0.004
2017-01-05,0.253,0.002,0.019
2017-01-06,0.018,0.002,0.005
2017-01-07,0.012,0.002,0.004
2017-01-08,0.008,0.002,0.003
2017-01-09,0.008,0.002,0.004
2017-01-10,0.008,0.002,0.003
2017-01-11,0.008,0.002,0.004
2017-01-12,0.008,0.002,0.004
2017-01-13,0.013,0.002,0.004
2017-01-14,0.050,0.002,0.006
2017-01-15,0.008,0.002,0.004
2017-01-16,0.016,0.002,0.004
2017-01-17,0.036,0.002,0.006
2017-01-18,0.008,0.002,0.004
2017-01-19,0.011,0.002,0.004
2017-01-20,0.066,0.002,0.008
2017-01-21,0.031,0.002,0.005
2017-01-22,0.014,0.002,0.004
2017-01-23,0.007,0.002,0.003
2017-01-24,0.035,0.002,0.005
2017-01-25,0.024,0.002,0.005
2017-01-26,0.007,0.002,0.003
2017-01-27,0.027,0.001,0.004
2017-01-28,0.007,0.002,0.003
2017-01-29,0.007,0.001,0.003
2017-01-30,0.009,0.001,0.004
2017-01-31,0.007,0.001,0.003
2017-02-01,0.007,0.001,0.003
2017-02-02,0.044,0.001,0.006
2017-02-03,0.025,0.001,0.005
2017-02-04,0.013,0.001,0.004
2017-02-05,0.006,0.001,0.003
2017-02-06,0.193,0.001,0.015
2017-02-07,0.007,0.002,0.004
2017-02-08,0.150,0.001,0.012
2017-02-09,0.036,0.001,0.006
2017-02-10,0.006,0.001,0.003
2017-02-11,0.011,0.001,0.004
2017-02-12,0.006,0.001,0.003
2017-02-13,0.006,0.001,0.003
2017-02-14,0.006,0.001,0.003
2017-02-15,0.264,0.001,0.025
2017-02-16,0.007,0.001,0.003
2017-02-17,0.115,0.001,0.010
2017-02-18,0.006,0.001,0.003
2017-02-19,0.006,0.001,0.003
2017-02-20,0.010,0.001,0.003
2017-02-21,0.006,0.001,0.003
2017-02-22,0.006,0.001,0.003
2017-02-23,0.006,0.001,0.003
2017-02-24,0.007,0.001,0.003
2017-02-25,0.015,0.001,0.004
2017-02-26,0.117,0.001,0.017
2017-02-27,0.023,0.001,0.005
2017-02-28,0.056,0.001,0.006
2017-03-01,0.092,0.001,0.008
2017-03-02,0.009,0.001,0.003
