date,maximum,minimum,average
2017-01-01,10.664,0.000,1.597
2017-01-02,8.192,0.000,1.370
2017-01-03,4.403,0.000,0.778
2017-01-04,7.112,0.003,1.250
2017-01-05,5.377,0.000,1.061
2017-01-06,8.600,0.000,1.441
2017-01-07,8.814,0.000,1.408
2017-01-08,6.118,0.020,0.973
2017-01-09,11.272,0.001,2.250
2017-01-10,18.011,0.002,2.706
2017-01-11,5.752,0.001,2.102
2017-01-12,4.320,0.017,1.041
2017-01-13,4.859,0.000,1.074
2017-01-14,9.147,0.000,1.622
2017-01-15,10.391,0.012,2.010
2017-01-16,21.757,0.029,3.104
2017-01-17,4.650,0.003,1.622
2017-01-18,6.988,0.011,1.336
2017-01-19,7.451,0.001,1.629
2017-01-20,29.318,0.008,3.076
2017-01-21,36.825,0.005,3.345
2017-01-22,6.766,0.000,1.253
2017-01-23,6.229,0.003,1.284
2017-01-24,7.589,0.000,1.731
2017-01-25,3.728,0.000,1.308
2017-01-26,4.575,0.010,1.335
2017-01-27,7.006,0.009,1.668
2017-01-28,4.718,0.002,1.121
2017-01-29,13.840,0.039,1.571
2017-01-30,4.860,0.008,1.187
2017-01-31,4.401,0.003,0.949
2017-02-01,4.970,0.000,0.976
2017-02-02,4.115,0.002,0.656
2017-02-03,5.263,0.000,0.676
2017-02-04,1.848,0.001,0.591
2017-02-05,6.032,0.000,1.485
2017-02-06,2.936,0.009,0.818
2017-02-07,7.105,0.001,1.445
2017-02-08,7.150,0.001,1.661
2017-02-09,5.349,0.006,0.813
2017-02-10,8.210,0.004,0.797
2017-02-11,5.399,0.003,1.049
2017-02-12,4.937,0.000,0.870
2017-02-13,2.321,0.002,0.508
2017-02-14,4.817,0.000,0.737
2017-02-15,3.553,0.001,0.771
2017-02-16,4.525,0.001,0.743
2017-02-17,6.968,0.001,1.264
2017-02-18,8.134,0.000,1.180
2017-02-19,6.902,0.000,0.939
2017-02-20,3.708,0.001,0.994
2017-02-21,12.647,0.000,2.109
2017-02-22,4.471,0.003,1.264
2017-02-23,5.833,0.002,0.937
2017-02-24,12.188,0.009,1.613
2017-02-25,9.714,0.000,1.405
2017-02-26,8.057,0.000,2.075
2017-02-27,10.042,0.042,2.123
2017-02-28,9.051,0.001,2.007
2017-03-01,13.178,0.002,1.887
2017-03-02,6.350,0.000,0.992
2017-03-03,9.614,0.002,1.161
2017-03-04,5.275,0.002,1.562
2017-03-05,11.781,0.000,2.075
2017-03-06,24.464,0.000,3.359
2017-03-07,4.304,0.001,0.639
2017-03-08,1.592,0.000,0.554
2017-03-09,17.629,0.001,1.666
2017-03-10,26.689,0.001,2.768
2017-03-11,24.762,0.000,2.002
2017-03-12,16.708,0.000,1.895
2017-03-13,11.157,0.000,1.841
2017-03-14,5.950,0.006,1.369
2017-03-15,4.796,0.001,0.933
2017-03-16,4.581,0.000,0.746
2017-03-17,2.395,0.001,0.593
2017-03-18,11.077,0.001,1.355
2017-03-19,5.116,0.000,1.056
2017-03-20,10.675,0.000,1.075
2017-03-21,2.773,0.001,0.342
2017-03-22,5.016,0.000,0.588
2017-03-23,4.320,0.001,0.653
2017-03-24,17.420,0.000,1.465
2017-03-25,3.767,0.000,0.654
2017-03-26,1.553,0.000,0.352
2017-03-27,1.807,0.000,0.422
2017-03-28,11.211,0.000,1.864
2017-03-29,7.169,0.000,1.572
2017-03-30,6.014,0.000,0.657
2017-03-31,5.993,0.000,0.824
2017-04-01,2.860,0.000,0.474
2017-04-02,2.080,0.000,0.315
2017-04-03,5.451,0.000,0.850
2017-04-04,7.985,0.000,1.256
2017-04-05,6.002,0.000,1.049
2017-04-06,4.412,0.000,0.600
2017-04-07,2.860,0.000,0.431
2017-04-08,2.117,0.000,0.527
2017-04-09,2.136,0.000,0.298
