date,maximum,minimum,average
2017-01-01,0.164,0.000,0.042
2017-01-02,0.310,0.000,0.086
2017-01-03,0.293,0.000,0.077
2017-01-04,0.547,0.000,0.113
2017-01-05,0.237,0.000,0.084
2017-01-06,1.857,0.000,0.329
2017-01-07,0.546,0.000,0.151
2017-01-08,0.494,0.000,0.119
2017-01-09,0.639,0.000,0.186
2017-01-10,1.643,0.000,0.212
2017-01-11,0.201,0.000,0.056
2017-01-12,0.344,0.000,0.071
2017-01-13,0.227,0.000,0.067
2017-01-14,0.261,0.000,0.052
2017-01-15,0.131,0.000,0.033
2017-01-16,0.173,0.000,0.029
2017-01-17,0.208,0.000,0.048
2017-01-18,1.167,0.000,0.187
2017-01-19,0.574,0.000,0.102
2017-01-20,2.101,0.000,0.267
2017-01-21,1.187,0.000,0.245
2017-01-22,0.411,0.001,0.119
2017-01-23,0.140,0.001,0.048
2017-01-24,0.497,0.000,0.122
2017-01-25,0.337,0.000,0.087
2017-01-26,0.432,0.000,0.087
2017-01-27,0.316,0.000,0.077
2017-01-28,0.734,0.000,0.140
2017-01-29,1.586,0.000,0.225
2017-01-30,0.469,0.000,0.075
2017-01-31,0.479,0.000,0.088
2017-02-01,0.336,0.000,0.073
2017-02-02,0.131,0.000,0.033
2017-02-03,0.213,0.000,0.043
2017-02-04,0.494,0.000,0.087
2017-02-05,0.916,0.000,0.127
2017-02-06,0.362,0.000,0.072
2017-02-07,0.481,0.000,0.094
2017-02-08,0.257,0.000,0.048
2017-02-09,1.170,0.000,0.161
2017-02-10,0.842,0.000,0.160
2017-02-11,0.767,0.000,0.141
2017-02-12,0.429,0.000,0.079
2017-02-13,0.399,0.000,0.081
2017-02-14,0.364,0.001,0.075
2017-02-15,0.451,0.000,0.110
2017-02-16,0.604,0.001,0.177
2017-02-17,0.626,0.000,0.158
2017-02-18,0.995,0.000,0.253
2017-02-19,1.258,0.000,0.239
2017-02-20,0.565,0.005,0.147
2017-02-21,1.907,0.003,0.303
2017-02-22,1.093,0.000,0.305
2017-02-23,0.642,0.000,0.111
2017-02-24,0.630,0.000,0.122
2017-02-25,0.679,0.000,0.159
2017-02-26,0.523,0.000,0.156
2017-02-27,1.500,0.000,0.302
2017-02-28,0.905,0.011,0.218
2017-03-01,0.987,0.002,0.197
2017-03-02,2.229,0.000,0.394
2017-03-03,0.748,0.000,0.215
2017-03-04,0.535,0.000,0.141
2017-03-05,1.000,0.004,0.224
2017-03-06,0.667,0.001,0.168
2017-03-07,1.229,0.002,0.229
2017-03-08,1.371,0.000,0.460
2017-03-09,0.936,0.000,0.263
2017-03-10,1.056,0.000,0.282
2017-03-11,1.035,0.000,0.324
2017-03-12,0.944,0.006,0.232
