date,maximum,minimum,average
2017-01-01,0.025,0.009,0.016
2017-01-02,0.025,0.009,0.015
2017-01-03,0.026,0.009,0.015
2017-01-04,0.025,0.009,0.015
2017-01-05,0.025,0.009,0.015
2017-01-06,0.024,0.008,0.015
2017-01-07,0.024,0.008,0.015
2017-01-08,0.024,0.008,0.015
2017-01-09,0.101,0.008,0.020
2017-01-10,0.024,0.008,0.014
2017-01-11,0.023,0.008,0.014
2017-01-12,0.023,0.009,0.014
2017-01-13,0.023,0.009,0.014
2017-01-14,0.023,0.008,0.014
2017-01-15,0.023,0.008,0.014
2017-01-16,0.022,0.008,0.014
2017-01-17,0.022,0.008,0.014
2017-01-18,0.044,0.008,0.015
2017-01-19,0.022,0.008,0.013
2017-01-20,5.327,0.008,0.345
2017-01-21,2.188,0.008,0.152
2017-01-22,0.640,0.008,0.053
2017-01-23,0.385,0.008,0.037
2017-01-24,0.284,0.008,0.030
2017-01-25,0.226,0.008,0.026
2017-01-26,0.188,0.008,0.024
2017-01-27,0.161,0.008,0.022
2017-01-28,0.141,0.008,0.021
2017-01-29,0.126,0.008,0.023
2017-01-30,0.113,0.007,0.020
2017-01-31,0.103,0.007,0.019
2017-02-01,0.095,0.007,0.018
2017-02-02,0.088,0.007,0.017
2017-02-03,0.083,0.007,0.017
2017-02-04,0.078,0.007,0.017
2017-02-05,0.074,0.007,0.016
2017-02-06,0.070,0.007,0.016
2017-02-07,0.067,0.007,0.015
2017-02-08,0.064,0.007,0.015
2017-02-09,0.061,0.007,0.015
2017-02-10,0.059,0.007,0.015
2017-02-11,0.057,0.007,0.014
2017-02-12,0.055,0.007,0.015
2017-02-13,0.053,0.008,0.016
2017-02-14,0.107,0.008,0.022
2017-02-15,0.050,0.008,0.017
2017-02-16,0.049,0.007,0.015
2017-02-17,0.339,0.008,0.038
2017-02-18,0.046,0.008,0.015
2017-02-19,0.045,0.007,0.014
2017-02-20,0.074,0.007,0.018
2017-02-21,0.090,0.007,0.024
2017-02-22,0.042,0.008,0.015
2017-02-23,0.041,0.007,0.013
2017-02-24,0.040,0.007,0.013
2017-02-25,0.039,0.007,0.013
2017-02-26,0.076,0.007,0.017
2017-02-27,0.038,0.008,0.014
2017-02-28,0.037,0.007,0.014
2017-03-01,0.065,0.007,0.017
2017-03-02,0.065,0.007,0.016
2017-03-03,0.039,0.007,0.013
2017-03-04,0.119,0.007,0.019
2017-03-05,0.066,0.007,0.017
2017-03-06,0.033,0.007,0.013
2017-03-07,0.035,0.007,0.013
2017-03-08,0.079,0.007,0.017
2017-03-09,0.031,0.007,0.012
2017-03-10,0.033,0.007,0.015
2017-03-11,0.030,0.007,0.013
2017-03-12,0.071,0.007,0.017
2017-03-13,0.071,0.007,0.021
2017-03-14,0.052,0.007,0.019
2017-03-15,0.065,0.007,0.019
2017-03-16,0.072,0.007,0.020
2017-03-17,0.030,0.007,0.013
2017-03-18,0.060,0.007,0.017
2017-03-19,0.113,0.007,0.022
2017-03-20,0.028,0.007,0.013
2017-03-21,0.028,0.007,0.013
2017-03-22,0.085,0.007,0.024
2017-03-23,0.200,0.007,0.028
2017-03-24,0.114,0.007,0.022
2017-03-25,0.163,0.007,0.021
2017-03-26,0.054,0.007,0.015
2017-03-27,0.035,0.006,0.016
2017-03-28,0.279,0.006,0.037
2017-03-29,0.025,0.006,0.013
2017-03-30,0.024,0.007,0.014
2017-03-31,0.070,0.007,0.016
2017-04-01,0.047,0.006,0.017
2017-04-02,0.176,0.006,0.028
