date,maximum,minimum,average
2016-10-02,0.001,0.000,0.000
2016-10-03,0.001,0.000,0.000
2016-10-04,0.001,0.000,0.000
2016-10-05,0.011,0.000,0.001
2016-10-06,0.212,0.000,0.015
2016-10-07,0.162,0.000,0.014
2016-10-08,0.125,0.000,0.012
2016-10-09,0.378,0.000,0.034
2016-10-10,1.055,0.000,0.078
2016-10-11,0.614,0.000,0.049
2016-10-12,0.309,0.000,0.029
2016-10-13,1.060,0.000,0.099
2016-10-14,0.619,0.000,0.062
2016-10-15,0.344,0.000,0.041
2016-10-16,0.212,0.000,0.029
2016-10-17,0.145,0.000,0.022
2016-10-18,0.102,0.000,0.018
2016-10-19,0.400,0.000,0.045
2016-10-20,0.471,0.000,0.057
2016-10-21,0.315,0.000,0.050
2016-10-22,0.220,0.000,0.040
2016-10-23,0.335,0.000,0.047
2016-10-24,1.376,0.000,0.162
2016-10-25,1.632,0.000,0.202
2016-10-26,1.342,0.000,0.178
2016-10-27,1.132,0.000,0.139
2016-10-28,0.917,0.000,0.182
2016-10-29,0.683,0.000,0.162
2016-10-30,0.515,0.000,0.169
2016-10-31,0.780,0.000,0.170
2016-11-01,0.738,0.000,0.184
2016-11-02,2.236,0.000,0.478
2016-11-03,3.077,0.000,0.629
2016-11-04,5.589,0.000,0.832
2016-11-05,5.151,0.006,0.850
2016-11-06,4.796,0.005,0.934
2016-11-07,5.675,0.004,1.125
2016-11-08,6.246,0.003,1.625
2016-11-09,5.762,0.003,1.919
2016-11-10,5.778,0.002,1.916
2016-11-11,5.892,0.001,1.814
2016-11-12,5.524,0.001,1.707
2016-11-13,8.695,0.001,2.089
2016-11-14,8.544,0.008,1.961
2016-11-15,8.429,0.006,1.975
2016-11-16,9.489,0.005,2.138
2016-11-17,9.185,0.004,2.497
2016-11-18,8.830,0.003,2.486
2016-11-19,8.382,0.002,2.345
2016-11-20,7.996,0.018,2.246
2016-11-21,7.746,0.016,2.203
2016-11-22,7.733,0.014,2.152
2016-11-23,8.782,0.013,2.286
2016-11-24,9.607,0.011,2.431
2016-11-25,9.562,0.010,2.600
2016-11-26,10.287,0.008,2.686
2016-11-27,10.100,0.008,2.918
2016-11-28,9.885,0.007,2.884
2016-11-29,9.668,0.006,3.168
2016-11-30,9.513,0.005,3.172
2016-12-01,9.359,0.005,3.468
2016-12-02,9.187,0.004,3.726
2016-12-03,8.986,0.004,3.899
2016-12-04,12.126,0.006,5.024
2016-12-05,17.605,0.006,5.383
2016-12-06,17.097,0.400,5.345
2016-12-07,16.461,0.379,5.407
2016-12-08,15.915,1.227,5.565
2016-12-09,15.376,1.624,5.830
2016-12-10,15.823,1.518,6.157
2016-12-11,18.769,1.397,6.549
2016-12-12,18.541,1.284,6.600
2016-12-13,18.198,1.188,6.972
2016-12-14,17.784,1.093,7.006
2016-12-15,17.303,1.022,6.921
2016-12-16,16.771,0.953,6.868
2016-12-17,17.522,0.855,7.333
2016-12-18,21.019,0.752,8.661
2016-12-19,24.187,0.782,9.146
2016-12-20,27.988,1.345,9.555
2016-12-21,27.417,1.245,9.625
2016-12-22,26.035,1.591,9.656
2016-12-23,23.449,1.520,9.916
2016-12-24,20.547,1.448,9.874
2016-12-25,18.307,1.276,9.758
2016-12-26,24.233,1.128,10.085
2016-12-27,23.670,1.264,10.637
2016-12-28,28.706,1.204,11.984
2016-12-29,28.547,1.156,12.614
2016-12-30,28.017,1.266,13.037
2016-12-31,26.168,1.172,12.908
2017-01-01,25.005,1.101,12.780
2017-01-02,25.280,1.038,12.660
2017-01-03,24.164,0.980,12.949
2017-01-04,27.395,0.928,13.913
2017-01-05,27.864,0.878,14.258
2017-01-06,27.627,0.867,14.350
2017-01-07,27.355,2.324,14.633
2017-01-08,31.232,3.209,15.603
2017-01-09,31.036,2.879,15.945
2017-01-10,30.774,3.503,15.977
2017-01-11,31.207,4.278,15.919
2017-01-12,33.659,4.176,16.858
2017-01-13,33.264,4.416,17.818
2017-01-14,33.118,6.055,18.823
2017-01-15,34.328,8.841,19.412
2017-01-16,36.424,8.277,20.117
2017-01-17,39.192,7.824,20.727
2017-01-18,39.969,7.508,20.832
2017-01-19,40.514,7.428,20.941
2017-01-20,40.963,7.382,20.719
2017-01-21,40.955,7.442,20.797
2017-01-22,41.270,7.328,21.101
2017-01-23,41.317,7.249,21.608
2017-01-24,41.203,7.289,21.862
2017-01-25,41.029,7.229,22.195
2017-01-26,40.920,7.330,22.290
2017-01-27,41.047,7.527,22.701
2017-01-28,41.255,7.470,22.821
2017-01-29,41.746,7.603,23.785
2017-01-30,40.908,9.921,24.236
2017-01-31,41.185,9.715,24.960
2017-02-01,41.201,10.750,24.900
2017-02-02,41.390,10.542,25.301
2017-02-03,43.221,10.498,26.272
2017-02-04,46.901,10.008,27.599
2017-02-05,46.912,9.520,28.398
2017-02-06,49.137,10.869,29.059
2017-02-07,50.865,13.627,29.734
2017-02-08,51.927,13.359,30.338
2017-02-09,52.047,13.033,30.736
2017-02-10,52.023,12.641,30.987
2017-02-11,52.925,12.201,30.975
2017-02-12,53.504,11.887,31.419
2017-02-13,55.565,11.977,31.878
2017-02-14,56.167,12.040,32.424
2017-02-15,57.211,12.686,32.505
2017-02-16,57.075,16.090,32.823
2017-02-17,57.742,17.240,32.994
2017-02-18,58.171,18.739,33.209
2017-02-19,58.219,19.767,33.698
2017-02-20,57.877,19.726,33.822
2017-02-21,57.116,19.547,33.638
2017-02-22,56.102,19.435,33.754
2017-02-23,56.441,19.276,34.133
2017-02-24,57.207,19.421,34.932
2017-02-25,57.377,20.346,35.590
2017-02-26,57.407,21.970,35.845
2017-02-27,57.083,21.999,36.365
2017-02-28,56.610,22.047,36.285
2017-03-01,55.749,21.798,36.110
2017-03-02,54.532,22.018,35.968
2017-03-03,54.053,22.275,36.017
2017-03-04,53.296,22.037,36.281
2017-03-05,53.122,21.601,36.298
2017-03-06,52.319,20.998,35.830
2017-03-07,51.446,20.777,36.048
2017-03-08,53.568,20.404,36.234
2017-03-09,52.997,19.855,36.748
2017-03-10,53.471,19.177,36.245
2017-03-11,55.276,18.323,35.786
2017-03-12,59.326,18.253,36.063
2017-03-13,59.625,19.316,35.480
2017-03-14,58.995,19.467,34.973
2017-03-15,58.419,19.083,34.442
2017-03-16,57.746,18.615,33.894
2017-03-17,56.562,18.901,33.524
2017-03-18,55.562,18.417,33.068
2017-03-19,56.388,18.272,33.208
2017-03-20,58.396,18.040,33.270
2017-03-21,58.096,18.262,32.854
2017-03-22,57.842,19.067,32.203
2017-03-23,57.312,18.528,31.768
2017-03-24,56.692,17.705,31.844
2017-03-25,56.479,16.968,31.542
2017-03-26,55.457,16.150,30.798
2017-03-27,54.982,15.529,30.183
2017-03-28,52.909,15.564,30.173
2017-03-29,51.517,14.653,29.956
2017-03-30,49.689,13.709,29.221
2017-03-31,52.473,12.811,28.733
2017-04-01,52.905,12.088,28.430
2017-04-02,52.914,11.223,28.298
2017-04-03,52.310,11.198,28.040
2017-04-04,53.298,10.875,27.611
2017-04-05,52.861,10.642,27.009
2017-04-06,52.216,9.739,26.692
2017-04-07,51.219,9.361,26.280
2017-04-08,50.122,8.830,25.575
2017-04-09,48.829,8.656,25.182
2017-04-10,47.037,8.232,24.427
2017-04-11,44.997,7.010,23.724
2017-04-12,42.736,5.981,22.943
2017-04-13,40.469,5.257,22.027
2017-04-14,38.066,4.588,21.178
2017-04-15,37.012,3.964,20.481
2017-04-16,36.639,3.401,19.681
2017-04-17,35.865,3.058,18.733
2017-04-18,35.251,2.735,17.827
2017-04-19,34.644,2.571,17.091
2017-04-20,34.768,2.372,16.528
2017-04-21,34.558,2.172,15.734
2017-04-22,34.853,1.797,15.127
2017-04-23,34.243,1.496,14.287
2017-04-24,33.496,1.184,13.458
2017-04-25,32.131,0.939,12.631
2017-04-26,32.449,0.708,11.970
2017-04-27,33.020,0.509,11.429
2017-04-28,31.888,0.350,10.702
2017-04-29,31.547,0.245,10.221
2017-04-30,30.181,0.172,9.668
2017-05-01,28.531,0.119,8.875
2017-05-02,26.833,0.081,8.150
2017-05-03,25.398,0.054,7.502
2017-05-04,25.468,0.036,7.002
2017-05-05,26.212,0.021,6.544
2017-05-06,25.468,0.019,6.050
2017-05-07,24.889,0.013,5.556
2017-05-08,24.354,0.011,5.116
2017-05-09,22.661,0.005,4.723
2017-05-10,22.643,0.002,4.403
2017-05-11,21.845,0.001,4.035
2017-05-12,20.770,0.000,3.702
2017-05-13,19.241,0.000,3.393
2017-05-14,17.645,0.000,3.079
2017-05-15,16.126,0.000,2.764
2017-05-16,14.856,0.000,2.469
2017-05-17,13.572,0.000,2.211
2017-05-18,12.242,0.000,1.985
2017-05-19,11.038,0.000,1.784
2017-05-20,9.827,0.000,1.592
2017-05-21,8.608,0.000,1.406
2017-05-22,7.555,0.000,1.232
2017-05-23,6.600,0.000,1.095
2017-05-24,5.812,0.000,0.981
2017-05-25,5.080,0.000,0.873
2017-05-26,4.423,0.000,0.785
2017-05-27,3.737,0.000,0.689
2017-05-28,3.149,0.000,0.607
