date,maximum,minimum,average
2017-01-01,0.296,0.002,0.035
2017-01-02,0.069,0.002,0.010
2017-01-03,0.088,0.002,0.011
2017-01-04,0.044,0.002,0.010
2017-01-05,0.019,0.002,0.006
2017-01-06,0.054,0.002,0.010
2017-01-07,0.044,0.002,0.009
2017-01-08,0.028,0.002,0.006
2017-01-09,0.017,0.002,0.006
2017-01-10,0.034,0.002,0.008
2017-01-11,0.053,0.002,0.009
2017-01-12,0.108,0.002,0.013
2017-01-13,0.050,0.003,0.016
2017-01-14,0.048,0.002,0.011
2017-01-15,0.139,0.003,0.023
2017-01-16,0.043,0.002,0.008
2017-01-17,0.077,0.002,0.012
2017-01-18,0.113,0.002,0.015
2017-01-19,0.089,0.002,0.011
2017-01-20,0.199,0.002,0.017
2017-01-21,0.023,0.002,0.005
2017-01-22,0.018,0.002,0.005
2017-01-23,0.096,0.002,0.013
2017-01-24,0.125,0.002,0.016
2017-01-25,0.017,0.002,0.004
2017-01-26,0.090,0.002,0.015
2017-01-27,0.017,0.002,0.006
2017-01-28,0.214,0.002,0.019
2017-01-29,0.022,0.002,0.007
2017-01-30,0.174,0.002,0.026
2017-01-31,0.086,0.002,0.017
2017-02-01,0.112,0.002,0.022
2017-02-02,0.205,0.002,0.019
2017-02-03,0.352,0.002,0.029
2017-02-04,0.201,0.002,0.016
2017-02-05,0.227,0.002,0.023
2017-02-06,0.381,0.002,0.032
2017-02-07,0.386,0.002,0.033
2017-02-08,0.621,0.002,0.045
2017-02-09,0.945,0.002,0.068
2017-02-10,1.394,0.002,0.095
2017-02-11,1.265,0.002,0.093
2017-02-12,1.319,0.002,0.105
2017-02-13,1.898,0.002,0.147
2017-02-14,3.848,0.002,0.249
2017-02-15,1.980,0.002,0.129
2017-02-16,1.764,0.002,0.120
2017-02-17,1.475,0.002,0.110
2017-02-18,1.565,0.002,0.109
2017-02-19,1.969,0.002,0.133
2017-02-20,1.865,0.002,0.136
2017-02-21,1.862,0.002,0.123
2017-02-22,1.739,0.002,0.116
2017-02-23,1.509,0.002,0.100
2017-02-24,1.289,0.002,0.089
2017-02-25,1.095,0.002,0.073
2017-02-26,0.968,0.002,0.066
2017-02-27,1.031,0.002,0.070
2017-02-28,1.034,0.003,0.073
2017-03-01,1.027,0.002,0.084
2017-03-02,0.881,0.002,0.062
2017-03-03,0.817,0.002,0.060
2017-03-04,0.808,0.002,0.060
2017-03-05,0.838,0.002,0.064
2017-03-06,0.773,0.002,0.061
2017-03-07,0.848,0.003,0.072
2017-03-08,0.860,0.002,0.067
2017-03-09,0.926,0.002,0.064
2017-03-10,0.800,0.002,0.060
2017-03-11,0.861,0.002,0.062
2017-03-12,1.386,0.002,0.097
2017-03-13,1.384,0.002,0.092
2017-03-14,1.476,0.002,0.104
2017-03-15,1.525,0.002,0.100
2017-03-16,1.448,0.002,0.102
2017-03-17,1.630,0.002,0.108
2017-03-18,1.681,0.002,0.113
2017-03-19,1.659,0.002,0.115
2017-03-20,1.482,0.002,0.101
2017-03-21,1.390,0.002,0.093
2017-03-22,1.503,0.002,0.104
2017-03-23,2.295,0.002,0.149
2017-03-24,3.100,0.002,0.201
2017-03-25,7.239,0.002,0.459
2017-03-26,4.879,0.003,0.316
2017-03-27,3.420,0.002,0.220
2017-03-28,2.782,0.002,0.182
2017-03-29,2.379,0.002,0.156
2017-03-30,2.439,0.002,0.163
2017-03-31,3.700,0.003,0.245
2017-04-01,5.952,0.002,0.388
2017-04-02,6.103,0.002,0.389
2017-04-03,5.738,0.002,0.367
2017-04-04,8.025,0.002,0.514
2017-04-05,8.952,0.002,0.570
2017-04-06,8.677,0.002,0.553
2017-04-07,8.337,0.002,0.531
2017-04-08,8.381,0.002,0.535
2017-04-09,8.208,0.002,0.524
2017-04-10,6.775,0.002,0.431
2017-04-11,5.220,0.002,0.338
2017-04-12,4.194,0.002,0.276
2017-04-13,3.576,0.002,0.241
2017-04-14,3.188,0.003,0.207
2017-04-15,3.087,0.002,0.203
2017-04-16,3.260,0.002,0.215
2017-04-17,3.319,0.002,0.214
2017-04-18,3.092,0.002,0.211
2017-04-19,2.817,0.003,0.183
2017-04-20,2.506,0.002,0.166
2017-04-21,2.223,0.003,0.147
2017-04-22,2.103,0.003,0.138
2017-04-23,2.093,0.002,0.141
2017-04-24,2.158,0.002,0.142
2017-04-25,2.180,0.002,0.143
2017-04-26,2.068,0.002,0.143
2017-04-27,1.882,0.002,0.167
2017-04-28,1.734,0.002,0.124
2017-04-29,1.634,0.002,0.116
2017-04-30,1.616,0.002,0.112
2017-05-01,1.193,0.002,0.088
2017-05-02,1.098,0.002,0.080
2017-05-03,1.019,0.002,0.072
2017-05-04,0.948,0.002,0.067
2017-05-05,0.909,0.002,0.066
2017-05-06,0.850,0.002,0.060
2017-05-07,0.801,0.002,0.057
2017-05-08,0.743,0.002,0.055
2017-05-09,0.686,0.002,0.068
2017-05-10,0.633,0.002,0.048
2017-05-11,0.586,0.002,0.045
2017-05-12,0.546,0.002,0.043
2017-05-13,0.509,0.002,0.040
2017-05-14,0.475,0.002,0.037
2017-05-15,0.444,0.002,0.036
2017-05-16,0.416,0.002,0.032
2017-05-17,0.395,0.002,0.031
2017-05-18,0.371,0.002,0.029
2017-05-19,0.350,0.002,0.027
2017-05-20,0.333,0.002,0.026
2017-05-21,0.316,0.002,0.029
2017-05-22,0.302,0.002,0.025
2017-05-23,0.289,0.002,0.027
2017-05-24,0.276,0.002,0.029
2017-05-25,0.265,0.002,0.021
2017-05-26,0.254,0.002,0.020
2017-05-27,0.260,0.002,0.036
2017-05-28,0.234,0.002,0.022
2017-05-29,0.225,0.002,0.021
2017-05-30,0.216,0.002,0.019
2017-05-31,0.472,0.002,0.048
2017-06-01,0.195,0.002,0.017
2017-06-02,0.189,0.002,0.016
2017-06-03,0.183,0.002,0.016
2017-06-04,0.177,0.002,0.015
2017-06-05,0.172,0.002,0.016
2017-06-06,0.167,0.002,0.015
2017-06-07,0.164,0.002,0.015
2017-06-08,0.159,0.002,0.022
2017-06-09,0.155,0.002,0.014
2017-06-10,0.151,0.002,0.014
2017-06-11,0.147,0.002,0.013
2017-06-12,0.170,0.002,0.023
2017-06-13,0.141,0.002,0.013
2017-06-14,0.138,0.002,0.013
2017-06-15,0.135,0.002,0.012
2017-06-16,0.132,0.002,0.012
2017-06-17,0.129,0.002,0.012
2017-06-18,0.127,0.002,0.012
2017-06-19,0.126,0.002,0.012
2017-06-20,0.122,0.002,0.012
2017-06-21,0.126,0.002,0.012
2017-06-22,0.118,0.002,0.011
