date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.046,0.273,0.000,0.000,0.001,0.000
2017-01-02,0.082,0.750,0.000,0.000,0.001,0.027
2017-01-03,0.168,1.335,0.000,0.000,0.002,0.584
2017-01-04,0.027,0.220,0.000,0.000,0.006,0.062
2017-01-05,0.011,0.071,0.000,0.000,0.000,0.071
2017-01-06,0.032,0.211,0.000,0.000,0.000,0.001
2017-01-07,0.005,0.022,0.000,0.005,0.000,0.007
2017-01-08,0.008,0.050,0.000,0.000,0.018,0.017
2017-01-09,0.098,1.037,0.000,0.000,1.037,0.006
2017-01-10,0.015,0.145,0.000,0.000,0.145,0.000
2017-01-11,0.010,0.093,0.000,0.000,0.003,0.000
2017-01-12,0.151,1.272,0.000,0.532,0.003,0.000
2017-01-13,0.142,1.085,0.000,0.009,1.085,0.020
2017-01-14,0.390,3.338,0.000,3.338,0.228,0.030
2017-01-15,0.144,1.345,0.000,1.345,0.048,0.269
2017-01-16,0.315,2.365,0.000,0.320,0.001,2.365
2017-01-17,0.177,1.940,0.000,0.008,0.001,1.940
2017-01-18,0.059,0.590,0.000,0.000,0.000,0.050
2017-01-19,0.046,0.278,0.000,0.031,0.278,0.043
2017-01-20,0.276,2.642,0.000,0.314,0.005,0.001
2017-01-21,0.146,0.778,0.000,0.087,0.027,0.334
2017-01-22,0.462,5.051,0.000,0.001,5.051,0.012
2017-01-23,0.193,1.682,0.000,1.682,0.089,0.000
2017-01-24,0.072,0.334,0.000,0.334,0.000,0.003
2017-01-25,0.156,0.483,0.000,0.141,0.483,0.127
2017-01-26,0.563,5.265,0.000,0.007,0.139,0.074
2017-01-27,0.115,0.808,0.000,0.003,0.003,0.009
2017-01-28,0.088,0.952,0.000,0.000,0.010,0.952
2017-01-29,0.121,0.893,0.000,0.384,0.893,0.023
2017-01-30,0.231,2.079,0.000,2.079,0.136,0.044
2017-01-31,0.044,0.195,0.000,0.056,0.060,0.064
2017-02-01,0.132,0.690,0.000,0.201,0.690,0.129
2017-02-02,1.054,12.226,0.000,12.226,0.155,0.002
2017-02-03,0.234,1.081,0.000,1.081,0.003,0.000
2017-02-04,0.332,2.581,0.000,1.374,0.001,0.000
2017-02-05,0.122,0.913,0.000,0.365,0.000,0.000
2017-02-06,0.600,6.423,0.000,0.141,0.000,0.000
2017-02-07,0.382,3.115,0.000,3.115,0.024,0.080
2017-02-08,0.658,6.798,0.000,1.022,0.000,0.005
2017-02-09,0.758,5.263,0.000,3.138,0.000,0.349
2017-02-10,0.327,2.943,0.000,0.056,0.000,2.943
2017-02-11,1.367,14.138,0.000,0.000,0.795,0.070
2017-02-12,0.075,0.728,0.000,0.000,0.040,0.007
2017-02-13,0.082,0.794,0.000,0.000,0.149,0.005
2017-02-14,0.061,0.319,0.000,0.000,0.092,0.095
2017-02-15,0.293,2.745,0.000,0.000,0.541,2.745
2017-02-16,0.276,2.302,0.000,0.000,2.302,0.113
2017-02-17,0.125,1.041,0.000,0.002,0.041,0.001
2017-02-18,0.243,2.415,0.000,0.000,0.000,0.000
2017-02-19,0.510,3.498,0.000,0.000,3.498,0.000
2017-02-20,0.703,6.009,0.000,0.000,6.009,0.011
2017-02-21,0.044,0.485,0.000,0.000,0.485,0.000
2017-02-22,0.006,0.047,0.000,0.000,0.016,0.000
2017-02-23,0.012,0.064,0.000,0.000,0.005,0.000
2017-02-24,0.116,0.866,0.000,0.000,0.223,0.000
2017-02-25,0.161,1.807,0.000,0.000,0.089,0.000
2017-02-26,1.673,12.433,0.000,0.176,1.095,0.000
2017-02-27,0.264,1.071,0.001,0.355,0.022,0.001
2017-02-28,0.260,2.507,0.000,0.211,0.000,0.000
2017-03-01,0.616,4.831,0.000,0.004,0.000,0.000
2017-03-02,0.195,0.971,0.000,0.000,0.001,0.060
2017-03-03,1.705,12.457,0.000,0.000,0.000,0.001
2017-03-04,1.259,9.130,0.000,0.000,0.028,0.000
2017-03-05,0.266,2.448,0.000,0.000,0.001,0.000
2017-03-06,0.335,2.412,0.000,0.000,0.116,0.010
2017-03-07,0.684,5.217,0.000,0.000,0.109,0.003
2017-03-08,0.212,1.735,0.000,0.000,0.003,0.001
2017-03-09,0.449,4.808,0.000,0.000,0.018,0.000
2017-03-10,0.110,1.023,0.000,0.000,0.125,0.005
2017-03-11,0.769,6.768,0.000,0.000,6.768,0.001
2017-03-12,0.260,1.461,0.000,0.161,1.214,0.000
2017-03-13,0.340,2.270,0.000,0.009,1.013,0.000
2017-03-14,0.681,3.177,0.000,0.000,3.143,0.000
2017-03-15,0.349,1.941,0.000,0.031,0.250,0.058
2017-03-16,0.758,7.762,0.000,0.001,0.565,0.055
2017-03-17,0.576,3.102,0.000,0.294,0.082,0.001
2017-03-18,1.609,8.925,0.001,3.386,0.425,0.003
2017-03-19,3.268,9.940,0.004,5.909,5.661,0.033
2017-03-20,3.630,27.540,0.000,0.353,0.701,0.001
2017-03-21,0.853,5.358,0.000,0.009,5.358,0.000
2017-03-22,1.286,6.000,0.000,0.000,0.169,0.000
2017-03-23,0.354,1.882,0.000,0.000,0.589,0.014
2017-03-24,0.536,2.196,0.000,0.000,1.744,0.000
2017-03-25,0.164,0.706,0.000,0.000,0.598,0.000
2017-03-26,0.317,1.948,0.000,0.000,1.948,0.000
2017-03-27,0.607,2.586,0.000,0.002,0.373,0.000
2017-03-28,0.612,3.196,0.000,0.554,0.130,0.000
2017-03-29,1.583,7.561,0.000,0.905,6.115,0.000
2017-03-30,1.597,8.189,0.000,2.185,3.006,0.088
2017-03-31,0.915,3.413,0.000,3.413,2.309,0.002
2017-04-01,1.683,5.234,0.000,4.426,4.571,0.000
2017-04-02,0.942,4.199,0.000,2.782,4.199,0.038
2017-04-03,0.746,4.502,0.000,0.723,4.502,0.262
2017-04-04,0.611,3.037,0.000,0.031,3.037,0.075
2017-04-05,0.803,3.638,0.000,0.006,3.638,0.653
2017-04-06,0.968,6.165,0.000,6.165,2.449,0.333
2017-04-07,1.448,4.428,0.000,4.106,1.614,0.006
2017-04-08,2.053,18.005,0.000,2.368,18.005,0.040
2017-04-09,1.191,9.321,0.000,1.609,9.321,0.098
2017-04-10,0.630,2.834,0.000,2.834,1.423,0.228
2017-04-11,2.909,28.497,0.000,1.526,0.046,28.497
2017-04-12,3.311,16.295,0.000,10.350,0.003,1.933
2017-04-13,1.585,6.329,0.000,2.095,0.000,1.881
2017-04-14,1.942,9.006,0.000,1.974,0.000,0.315
2017-04-15,1.812,11.073,0.000,2.070,0.000,0.305
2017-04-16,1.388,7.409,0.005,3.115,0.125,0.005
2017-04-17,0.968,7.573,0.000,0.751,0.005,0.000
2017-04-18,0.818,6.241,0.000,0.266,0.301,0.171
2017-04-19,0.691,2.180,0.000,1.222,0.103,0.003
2017-04-20,2.650,8.981,0.000,8.981,4.933,0.000
2017-04-21,0.442,2.222,0.002,0.231,0.909,0.003
2017-04-22,1.004,5.600,0.001,5.600,1.778,0.006
2017-04-23,2.481,21.719,0.000,0.106,0.062,0.189
2017-04-24,0.825,4.617,0.000,0.490,0.032,0.152
2017-04-25,1.081,5.699,0.000,0.276,5.699,0.044
2017-04-26,0.702,2.859,0.000,2.859,1.406,0.016
2017-04-27,1.692,14.964,0.000,0.421,0.668,0.000
2017-04-28,0.587,3.165,0.000,0.040,2.763,0.000
2017-04-29,0.898,2.241,0.000,0.363,2.218,0.000
2017-04-30,0.606,5.127,0.000,0.147,0.059,0.000
2017-05-01,0.310,2.061,0.003,0.011,0.490,0.067
2017-05-02,1.045,3.586,0.000,0.945,1.074,0.552
2017-05-03,0.603,4.527,0.001,0.018,0.067,0.017
2017-05-04,1.513,6.557,0.002,1.018,0.558,0.565
2017-05-05,1.533,8.364,0.001,0.440,8.364,0.010
2017-05-06,2.184,11.181,0.000,1.732,0.888,1.121
2017-05-07,0.745,5.895,0.002,0.118,0.491,0.763
2017-05-08,0.905,6.424,0.009,0.010,0.027,6.424
2017-05-09,0.422,2.302,0.000,0.000,2.302,0.824
2017-05-10,2.224,16.761,0.003,0.077,0.294,0.561
2017-05-11,0.538,3.044,0.001,0.001,0.102,0.010
2017-05-12,0.241,1.515,0.000,0.000,0.002,0.111
2017-05-13,0.414,1.646,0.000,0.022,0.001,1.646
2017-05-14,0.972,3.212,0.000,0.014,0.202,0.652
2017-05-15,0.553,2.882,0.000,0.000,0.060,0.102
2017-05-16,0.616,2.227,0.000,0.000,0.117,0.002
2017-05-17,0.698,3.764,0.004,0.052,0.934,0.205
2017-05-18,2.426,22.704,0.004,0.004,0.071,0.004
2017-05-19,0.657,3.773,0.000,0.064,0.111,0.000
2017-05-20,0.624,4.054,0.000,0.010,0.006,0.000
2017-05-21,2.026,20.731,0.000,0.005,0.233,0.220
2017-05-22,0.200,0.960,0.001,0.018,0.095,0.043
2017-05-23,0.672,3.626,0.001,0.002,0.703,0.001
2017-05-24,0.661,3.435,0.000,0.004,1.948,0.000
2017-05-25,0.454,2.452,0.002,0.668,0.913,0.010
2017-05-26,0.334,0.837,0.012,0.054,0.101,0.361
2017-05-27,0.941,4.914,0.000,0.222,0.330,0.014
2017-05-28,0.869,7.158,0.000,1.124,0.086,0.004
2017-05-29,0.437,1.274,0.000,0.607,0.003,0.886
2017-05-30,0.422,1.533,0.000,0.021,1.522,0.468
2017-05-31,0.476,3.553,0.004,0.113,0.134,3.553
2017-06-01,0.411,1.251,0.003,0.292,0.544,0.582
2017-06-02,0.446,2.690,0.000,0.057,0.146,2.690
2017-06-03,0.179,0.523,0.004,0.523,0.450,0.174
