date,maximum,minimum,average
2017-01-01,21.775,0.000,3.295
2017-01-02,8.308,0.000,1.775
2017-01-03,4.086,0.000,0.784
2017-01-04,0.459,0.000,0.145
2017-01-05,25.666,0.000,2.050
2017-01-06,8.509,0.000,1.354
2017-01-07,2.813,0.000,0.556
2017-01-08,4.585,0.000,0.634
2017-01-09,15.373,0.000,1.793
2017-01-10,51.701,0.000,4.056
2017-01-11,8.736,0.000,1.895
2017-01-12,13.399,0.000,1.541
2017-01-13,26.956,0.000,2.198
2017-01-14,9.434,0.000,1.608
2017-01-15,12.083,0.000,1.690
2017-01-16,12.954,0.000,2.563
2017-01-17,14.560,0.000,1.662
2017-01-18,4.556,0.000,0.819
2017-01-19,9.882,0.000,1.516
2017-01-20,6.745,0.000,1.401
2017-01-21,12.128,0.000,1.340
2017-01-22,4.202,0.000,0.679
2017-01-23,10.699,0.000,1.296
2017-01-24,7.410,0.000,0.801
2017-01-25,10.398,0.000,1.095
2017-01-26,13.037,0.000,2.235
2017-01-27,26.886,0.005,4.419
2017-01-28,18.694,0.000,1.939
2017-01-29,12.189,0.000,2.163
2017-01-30,8.124,0.000,1.939
2017-01-31,6.185,0.000,0.894
2017-02-01,7.511,0.000,0.936
2017-02-02,5.264,0.003,0.707
2017-02-03,11.919,0.000,1.086
2017-02-04,7.620,0.000,0.878
2017-02-05,21.408,0.000,2.326
2017-02-06,13.319,0.000,1.301
2017-02-07,6.813,0.000,0.979
2017-02-08,6.035,0.000,0.980
2017-02-09,4.823,0.000,0.664
2017-02-10,12.403,0.000,1.508
2017-02-11,6.912,0.000,0.620
2017-02-12,10.568,0.000,1.008
2017-02-13,7.100,0.000,0.899
2017-02-14,1.152,0.000,0.217
2017-02-15,7.119,0.000,0.722
2017-02-16,3.646,0.000,0.817
2017-02-17,3.416,0.000,0.954
2017-02-18,9.439,0.000,0.948
2017-02-19,9.605,0.000,1.405
2017-02-20,5.792,0.000,1.032
2017-02-21,6.979,0.000,0.992
2017-02-22,13.890,0.000,2.545
2017-02-23,8.948,0.000,2.030
2017-02-24,10.082,0.000,2.324
2017-02-25,2.608,0.000,0.802
2017-02-26,11.422,0.000,0.974
2017-02-27,19.238,0.000,1.650
2017-02-28,39.983,0.000,3.408
2017-03-01,8.213,0.000,1.013
2017-03-02,13.397,0.000,1.688
2017-03-03,6.188,0.000,1.620
2017-03-04,60.782,0.000,7.363
2017-03-05,9.729,0.000,1.250
2017-03-06,14.676,0.000,2.357
2017-03-07,41.714,0.000,3.156
2017-03-08,7.356,0.000,0.942
2017-03-09,9.125,0.000,1.030
2017-03-10,9.089,0.000,1.162
2017-03-11,2.825,0.000,0.467
2017-03-12,7.333,0.000,0.933
2017-03-13,15.076,0.000,1.098
2017-03-14,10.823,0.000,1.613
2017-03-15,12.351,0.000,1.293
2017-03-16,10.561,0.000,1.696
2017-03-17,2.242,0.000,0.442
2017-03-18,7.500,0.000,0.879
2017-03-19,1.809,0.000,0.356
2017-03-20,3.754,0.000,0.429
2017-03-21,10.286,0.000,0.836
2017-03-22,19.449,0.000,1.362
2017-03-23,6.553,0.000,0.567
2017-03-24,3.110,0.000,0.449
2017-03-25,10.486,0.000,0.780
2017-03-26,4.789,0.000,0.436
2017-03-27,1.348,0.000,0.200
2017-03-28,3.125,0.000,0.812
2017-03-29,8.990,0.000,1.149
2017-03-30,5.733,0.000,0.662
2017-03-31,10.229,0.000,1.179
2017-04-01,7.200,0.000,0.941
2017-04-02,2.883,0.000,0.286
2017-04-03,3.656,0.000,0.354
2017-04-04,9.651,0.000,1.025
2017-04-05,6.242,0.000,1.108
2017-04-06,10.781,0.000,1.071
2017-04-07,16.580,0.000,1.986
2017-04-08,2.713,0.000,0.454
2017-04-09,18.710,0.000,1.549
2017-04-10,2.400,0.000,0.320
2017-04-11,3.506,0.000,0.512
2017-04-12,1.442,0.000,0.274
2017-04-13,10.522,0.000,0.753
2017-04-14,2.053,0.000,0.313
2017-04-15,6.860,0.000,0.541
2017-04-16,7.225,0.000,0.504
2017-04-17,0.713,0.000,0.131
2017-04-18,6.853,0.000,0.621
2017-04-19,0.643,0.000,0.161
2017-04-20,4.734,0.000,0.443
2017-04-21,2.629,0.000,0.204
2017-04-22,8.513,0.000,0.788
2017-04-23,0.795,0.000,0.082
2017-04-24,1.062,0.000,0.178
2017-04-25,1.494,0.000,0.143
2017-04-26,1.425,0.000,0.236
2017-04-27,1.648,0.000,0.359
2017-04-28,0.701,0.000,0.092
2017-04-29,1.828,0.000,0.256
2017-04-30,0.144,0.000,0.012
2017-05-01,1.726,0.000,0.229
2017-05-02,0.363,0.000,0.038
2017-05-03,0.990,0.000,0.124
2017-05-04,0.457,0.000,0.045
2017-05-05,0.435,0.000,0.043
2017-05-06,1.499,0.000,0.126
2017-05-07,0.797,0.000,0.054
2017-05-08,2.560,0.000,0.230
2017-05-09,1.771,0.000,0.168
2017-05-10,0.137,0.000,0.012
2017-05-11,0.009,0.000,0.002
2017-05-12,0.109,0.000,0.010
2017-05-13,0.019,0.000,0.001
2017-05-14,0.046,0.000,0.005
2017-05-15,2.675,0.000,0.179
2017-05-16,0.047,0.000,0.004
2017-05-17,0.050,0.000,0.003
2017-05-18,0.262,0.000,0.033
2017-05-19,2.483,0.000,0.224
2017-05-20,2.696,0.000,0.197
2017-05-21,0.311,0.000,0.058
2017-05-22,2.743,0.000,0.191
2017-05-23,5.688,0.000,0.366
2017-05-24,0.131,0.000,0.013
2017-05-25,0.001,0.000,0.000
2017-05-26,0.219,0.000,0.031
2017-05-27,1.753,0.000,0.111
2017-05-28,2.439,0.000,0.163
2017-05-29,0.577,0.000,0.037
2017-05-30,0.038,0.000,0.005
2017-05-31,0.695,0.000,0.047
2017-06-01,1.019,0.000,0.064
2017-06-02,1.535,0.000,0.120
2017-06-03,0.301,0.000,0.040
2017-06-04,4.127,0.000,0.414
2017-06-05,0.239,0.000,0.021
2017-06-06,0.340,0.000,0.026
2017-06-07,0.230,0.000,0.026
2017-06-08,0.138,0.000,0.010
2017-06-09,4.385,0.000,0.362
2017-06-10,9.424,0.000,0.707
2017-06-11,0.678,0.000,0.081
2017-06-12,2.231,0.000,0.242
2017-06-13,0.954,0.000,0.069
2017-06-14,0.633,0.000,0.083
2017-06-15,0.211,0.000,0.015
2017-06-16,0.005,0.000,0.001
2017-06-17,0.546,0.000,0.048
2017-06-18,0.158,0.000,0.019
2017-06-19,0.248,0.000,0.026
2017-06-20,2.367,0.000,0.167
2017-06-21,5.104,0.000,0.339
2017-06-22,3.580,0.000,0.264
2017-06-23,3.368,0.000,0.233
2017-06-24,0.306,0.000,0.029
2017-06-25,0.902,0.000,0.064
2017-06-26,0.497,0.000,0.058
2017-06-27,0.544,0.000,0.067
2017-06-28,0.606,0.000,0.055
2017-06-29,0.326,0.000,0.031
2017-06-30,0.601,0.000,0.042
2017-07-01,1.148,0.000,0.109
2017-07-02,1.451,0.000,0.105
2017-07-03,2.498,0.000,0.297
2017-07-04,0.129,0.000,0.023
2017-07-05,4.461,0.000,0.295
2017-07-06,1.437,0.000,0.163
2017-07-07,2.099,0.000,0.185
2017-07-08,1.376,0.000,0.143
2017-07-09,0.137,0.000,0.015
2017-07-10,0.313,0.000,0.021
2017-07-11,0.168,0.000,0.034
2017-07-12,1.380,0.000,0.148
