date,maximum,minimum,average
2017-01-01,0.050,0.005,0.014
2017-01-02,0.121,0.004,0.018
2017-01-03,0.227,0.005,0.023
2017-01-04,0.063,0.005,0.012
2017-01-05,0.035,0.005,0.011
2017-01-06,0.493,0.005,0.038
2017-01-07,0.085,0.005,0.013
2017-01-08,0.236,0.005,0.027
2017-01-09,0.051,0.005,0.013
2017-01-10,0.210,0.005,0.023
2017-01-11,0.200,0.005,0.025
2017-01-12,0.108,0.005,0.015
2017-01-13,0.019,0.005,0.009
2017-01-14,0.020,0.005,0.009
2017-01-15,3.499,0.005,0.296
2017-01-16,0.126,0.005,0.031
2017-01-17,0.365,0.005,0.052
2017-01-18,3.357,0.005,0.219
2017-01-19,3.288,0.005,0.222
2017-01-20,0.135,0.004,0.017
2017-01-21,5.049,0.004,0.325
2017-01-22,0.198,0.004,0.021
2017-01-23,0.937,0.004,0.073
2017-01-24,0.116,0.004,0.022
2017-01-25,0.108,0.004,0.016
2017-01-26,0.110,0.004,0.025
2017-01-27,0.165,0.004,0.034
2017-01-28,0.477,0.006,0.054
2017-01-29,0.079,0.004,0.021
2017-01-30,0.074,0.004,0.017
2017-01-31,0.904,0.005,0.073
2017-02-01,0.068,0.004,0.013
2017-02-02,0.061,0.005,0.012
2017-02-03,0.070,0.004,0.015
2017-02-04,0.754,0.004,0.069
2017-02-05,0.099,0.004,0.024
2017-02-06,0.283,0.004,0.045
2017-02-07,0.075,0.004,0.014
2017-02-08,0.106,0.005,0.018
2017-02-09,0.131,0.004,0.020
2017-02-10,0.072,0.004,0.011
2017-02-11,0.069,0.004,0.011
2017-02-12,0.210,0.005,0.026
2017-02-13,0.063,0.005,0.015
2017-02-14,0.187,0.005,0.033
2017-02-15,0.057,0.005,0.012
2017-02-16,0.061,0.005,0.015
2017-02-17,0.051,0.005,0.015
2017-02-18,0.049,0.005,0.015
2017-02-19,0.080,0.005,0.015
2017-02-20,0.044,0.005,0.011
2017-02-21,0.170,0.005,0.023
2017-02-22,0.058,0.005,0.016
2017-02-23,0.039,0.005,0.011
2017-02-24,0.197,0.005,0.023
2017-02-25,0.049,0.004,0.013
2017-02-26,0.063,0.004,0.019
2017-02-27,0.042,0.004,0.017
2017-02-28,0.065,0.004,0.015
2017-03-01,0.426,0.004,0.051
2017-03-02,0.032,0.004,0.012
2017-03-03,0.269,0.004,0.028
2017-03-04,0.038,0.004,0.011
2017-03-05,4.818,0.004,0.310
2017-03-06,0.280,0.004,0.026
2017-03-07,0.081,0.004,0.013
2017-03-08,0.067,0.004,0.015
2017-03-09,0.200,0.004,0.024
2017-03-10,1.883,0.004,0.129
2017-03-11,0.074,0.004,0.018
2017-03-12,0.043,0.004,0.012
2017-03-13,0.061,0.004,0.017
2017-03-14,0.051,0.004,0.013
2017-03-15,0.034,0.004,0.011
2017-03-16,0.044,0.004,0.013
2017-03-17,0.079,0.004,0.015
2017-03-18,0.171,0.004,0.024
2017-03-19,0.137,0.004,0.017
2017-03-20,0.871,0.004,0.064
2017-03-21,0.035,0.004,0.013
2017-03-22,0.030,0.004,0.010
2017-03-23,0.030,0.004,0.013
2017-03-24,0.583,0.004,0.045
2017-03-25,0.087,0.004,0.014
2017-03-26,0.040,0.004,0.012
