date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,1.894,10.664,0.001,4.108,0.014,0.020
2017-01-02,1.083,7.771,0.000,0.096,0.513,0.048
2017-01-03,0.822,4.403,0.000,0.652,1.281,0.001
2017-01-04,1.624,7.112,0.003,1.120,5.088,7.112
2017-01-05,0.868,3.422,0.000,0.039,1.262,0.356
2017-01-06,1.172,6.588,0.000,0.002,5.455,0.281
2017-01-07,1.108,8.814,0.000,0.497,8.814,0.260
2017-01-08,1.224,6.118,0.020,0.150,2.162,6.118
2017-01-09,2.773,11.272,0.004,0.519,10.774,11.272
2017-01-10,3.159,18.011,0.003,1.189,4.900,4.099
2017-01-11,2.227,5.752,0.001,2.278,4.299,4.521
2017-01-12,0.597,1.999,0.017,0.053,1.999,0.090
2017-01-13,0.704,3.606,0.000,0.002,0.902,0.111
2017-01-14,1.650,9.147,0.000,0.000,0.477,0.410
2017-01-15,1.556,10.391,0.012,0.012,0.102,0.335
2017-01-16,1.718,6.793,0.029,0.381,3.224,0.037
2017-01-17,1.497,3.619,0.003,3.619,1.058,3.282
2017-01-18,1.713,6.988,0.080,0.491,0.159,2.865
2017-01-19,1.391,7.451,0.007,0.313,0.052,1.319
2017-01-20,1.576,5.485,0.008,5.444,4.112,0.266
2017-01-21,1.321,5.244,0.005,4.240,0.203,0.519
2017-01-22,1.536,6.766,0.000,6.766,0.080,4.128
2017-01-23,1.674,6.229,0.003,6.229,0.623,5.583
2017-01-24,2.254,7.589,0.007,4.340,7.589,3.196
2017-01-25,1.394,3.728,0.019,2.108,0.565,3.236
2017-01-26,1.129,4.212,0.010,0.446,0.305,1.435
2017-01-27,1.581,6.815,0.009,1.274,0.780,0.448
2017-01-28,0.560,4.718,0.000,0.399,0.104,0.031
2017-01-29,0.482,1.703,0.039,0.149,1.401,0.322
2017-01-30,0.701,3.694,0.000,0.647,3.694,0.224
2017-01-31,0.505,2.255,0.000,0.402,0.858,0.007
2017-02-01,0.648,3.855,0.000,0.009,0.703,0.062
2017-02-02,0.411,2.338,0.000,2.338,0.551,0.021
2017-02-03,0.331,1.460,0.008,1.460,0.057,0.054
2017-02-04,0.179,1.192,0.000,0.155,0.448,0.045
2017-02-05,0.881,6.032,0.000,0.659,0.438,0.545
2017-02-06,0.731,2.936,0.000,0.056,1.946,0.080
2017-02-07,1.180,3.435,0.000,2.767,3.435,0.052
2017-02-08,1.713,7.150,0.001,1.840,7.150,0.083
2017-02-09,0.887,5.349,0.006,0.066,5.349,0.399
2017-02-10,0.879,8.210,0.000,0.015,8.210,0.101
2017-02-11,1.054,5.399,0.000,0.008,5.399,0.015
2017-02-12,0.913,4.937,0.000,0.055,0.980,0.001
2017-02-13,0.636,2.321,0.000,2.321,1.796,0.361
2017-02-14,0.746,4.817,0.000,4.817,1.103,0.397
2017-02-15,0.857,3.553,0.000,1.268,1.608,1.998
2017-02-16,0.844,4.525,0.001,1.352,1.979,0.076
2017-02-17,1.424,6.968,0.000,0.329,0.569,0.001
2017-02-18,1.481,8.134,0.000,0.080,0.054,0.000
2017-02-19,1.218,6.902,0.000,0.373,0.105,0.000
2017-02-20,1.156,3.708,0.000,0.015,0.130,0.133
2017-02-21,2.607,12.647,0.000,0.007,2.301,0.022
2017-02-22,1.184,4.471,0.000,0.078,4.471,0.066
2017-02-23,0.840,5.833,0.000,5.833,0.427,0.449
2017-02-24,2.065,12.188,0.009,12.188,0.156,0.757
2017-02-25,1.884,9.714,0.000,9.714,0.152,1.281
2017-02-26,1.996,6.211,0.000,4.204,6.211,0.689
2017-02-27,2.155,10.042,0.000,8.484,10.042,1.771
2017-02-28,2.050,9.051,0.000,5.768,7.862,0.759
2017-03-01,2.169,13.178,0.002,0.953,3.226,6.143
2017-03-02,0.737,3.303,0.000,0.158,0.731,3.303
2017-03-03,0.636,3.433,0.000,0.039,3.433,0.072
2017-03-04,1.391,5.275,0.000,0.276,5.150,0.398
2017-03-05,1.572,11.781,0.000,4.204,1.875,0.201
2017-03-06,2.145,13.641,0.000,7.331,3.060,1.027
2017-03-07,2.458,24.464,0.000,24.464,0.397,0.088
2017-03-08,0.431,1.553,0.000,1.097,0.627,0.008
2017-03-09,0.116,0.315,0.001,0.191,0.315,0.006
2017-03-10,0.300,1.307,0.000,0.009,0.159,0.052
2017-03-11,0.304,2.318,0.000,0.418,0.085,0.001
2017-03-12,0.226,0.738,0.000,0.079,0.118,0.064
2017-03-13,1.278,6.376,0.000,6.376,3.175,1.791
2017-03-14,1.908,6.941,0.006,6.941,5.007,1.713
2017-03-15,1.114,2.742,0.001,2.081,0.840,2.742
2017-03-16,0.601,1.548,0.003,1.351,0.072,0.473
2017-03-17,0.697,4.581,0.001,0.143,1.598,4.581
2017-03-18,0.782,1.715,0.001,0.663,1.557,1.645
2017-03-19,0.862,5.116,0.000,0.230,0.122,0.807
2017-03-20,0.371,1.111,0.000,0.217,0.637,0.222
2017-03-21,0.401,2.773,0.001,0.277,0.919,0.138
2017-03-22,0.317,1.050,0.000,0.075,1.050,0.135
2017-03-23,0.513,2.151,0.001,0.093,1.790,0.042
2017-03-24,0.906,4.320,0.000,4.320,0.142,0.023
2017-03-25,2.180,17.420,0.000,17.420,0.063,0.183
2017-03-26,0.591,3.767,0.001,3.767,0.065,0.003
2017-03-27,0.618,1.807,0.000,1.273,0.035,0.000
2017-03-28,2.259,11.211,0.000,0.034,11.211,0.117
2017-03-29,1.179,4.842,0.000,0.166,4.026,0.091
2017-03-30,0.702,6.014,0.000,0.005,0.172,0.082
2017-03-31,0.625,5.222,0.000,0.207,0.003,0.786
2017-04-01,0.257,1.467,0.000,0.153,0.000,0.263
2017-04-02,0.700,2.860,0.000,2.860,0.000,0.091
2017-04-03,1.090,5.451,0.000,0.094,0.000,0.004
2017-04-04,0.783,2.863,0.000,0.002,0.000,0.124
2017-04-05,0.945,6.002,0.000,0.001,0.002,0.002
2017-04-06,0.764,4.412,0.000,2.105,0.000,0.074
2017-04-07,0.308,1.358,0.000,0.961,0.000,0.042
2017-04-08,0.723,2.860,0.000,2.860,0.000,0.006
2017-04-09,0.344,2.136,0.000,0.348,0.390,0.503
2017-04-10,0.210,0.994,0.001,0.008,0.283,0.368
2017-04-11,0.133,0.532,0.000,0.035,0.049,0.024
2017-04-12,0.448,3.506,0.000,3.506,0.157,0.008
2017-04-13,0.571,4.122,0.000,0.078,0.303,0.647
2017-04-14,0.293,1.036,0.000,0.023,0.132,0.689
2017-04-15,0.255,1.535,0.000,0.016,0.004,1.535
2017-04-16,0.118,0.586,0.000,0.025,0.025,0.166
2017-04-17,0.375,2.396,0.000,0.000,0.007,0.121
2017-04-18,0.100,0.507,0.000,0.000,0.240,0.006
2017-04-19,0.210,1.225,0.000,0.000,1.225,0.002
2017-04-20,0.330,1.654,0.000,0.133,0.351,0.162
2017-04-21,0.718,4.583,0.003,4.583,0.049,0.004
2017-04-22,1.102,11.078,0.000,0.301,0.055,0.297
2017-04-23,0.473,2.059,0.000,0.040,0.530,0.006
2017-04-24,0.724,2.863,0.000,0.906,1.695,0.000
2017-04-25,0.412,3.187,0.000,0.056,0.183,0.005
2017-04-26,0.469,2.666,0.000,0.001,0.330,0.000
2017-04-27,0.371,1.312,0.001,0.013,0.063,0.001
2017-04-28,0.340,2.106,0.000,2.106,0.295,0.012
2017-04-29,0.064,0.429,0.000,0.044,0.014,0.011
2017-04-30,0.077,0.643,0.000,0.000,0.000,0.083
2017-05-01,0.098,0.413,0.000,0.000,0.413,0.002
2017-05-02,0.452,3.705,0.000,0.000,0.971,0.001
2017-05-03,0.892,3.842,0.000,0.000,0.119,2.917
2017-05-04,0.237,1.592,0.000,0.000,0.131,0.071
2017-05-05,0.322,1.713,0.000,0.001,0.779,1.713
2017-05-06,0.100,0.466,0.000,0.000,0.466,0.185
2017-05-07,0.103,0.516,0.000,0.000,0.297,0.003
2017-05-08,0.571,5.817,0.000,0.000,0.022,0.000
2017-05-09,0.098,0.895,0.000,0.000,0.004,0.000
2017-05-10,0.030,0.245,0.000,0.000,0.007,0.000
2017-05-11,0.003,0.020,0.000,0.000,0.000,0.000
2017-05-12,0.004,0.032,0.000,0.000,0.000,0.001
2017-05-13,0.035,0.365,0.000,0.000,0.000,0.365
2017-05-14,0.001,0.006,0.000,0.001,0.000,0.006
2017-05-15,0.041,0.307,0.000,0.093,0.001,0.000
2017-05-16,0.022,0.114,0.000,0.002,0.067,0.003
2017-05-17,0.040,0.249,0.000,0.000,0.020,0.249
2017-05-18,0.502,2.733,0.000,0.205,0.804,2.733
2017-05-19,0.208,0.893,0.000,0.247,0.778,0.130
2017-05-20,0.369,2.716,0.000,0.113,0.176,0.827
2017-05-21,0.149,1.265,0.002,0.032,0.006,1.265
2017-05-22,0.077,0.691,0.000,0.089,0.024,0.022
2017-05-23,0.328,1.960,0.000,0.002,0.867,0.000
2017-05-24,0.027,0.122,0.000,0.000,0.122,0.000
2017-05-25,0.014,0.051,0.000,0.000,0.051,0.009
2017-05-26,0.013,0.105,0.000,0.000,0.006,0.010
2017-05-27,0.028,0.290,0.000,0.000,0.003,0.290
2017-05-28,0.030,0.210,0.000,0.000,0.000,0.083
2017-05-29,0.015,0.093,0.000,0.002,0.000,0.007
2017-05-30,0.241,2.614,0.000,0.000,0.000,0.005
2017-05-31,0.062,0.312,0.000,0.076,0.000,0.003
2017-06-01,0.518,5.370,0.000,0.001,0.000,0.000
2017-06-02,0.165,0.955,0.000,0.000,0.000,0.000
2017-06-03,0.029,0.255,0.000,0.000,0.000,0.000
2017-06-04,0.079,0.472,0.000,0.002,0.091,0.061
2017-06-05,0.173,1.529,0.000,0.000,0.039,1.529
2017-06-06,0.411,3.592,0.000,0.000,0.001,0.047
2017-06-07,0.085,0.244,0.000,0.000,0.000,0.140
2017-06-08,0.248,2.208,0.000,0.000,0.167,0.004
2017-06-09,0.822,6.822,0.000,0.000,0.198,0.020
2017-06-10,0.345,1.975,0.000,0.001,0.015,0.066
2017-06-11,0.381,3.884,0.000,0.032,0.000,0.004
2017-06-12,0.011,0.073,0.000,0.001,0.000,0.000
2017-06-13,0.007,0.052,0.000,0.000,0.052,0.026
2017-06-14,0.076,0.737,0.000,0.000,0.064,0.020
2017-06-15,0.004,0.022,0.000,0.000,0.022,0.000
2017-06-16,0.018,0.083,0.000,0.013,0.000,0.000
2017-06-17,0.037,0.350,0.000,0.052,0.000,0.000
2017-06-18,0.049,0.195,0.000,0.001,0.195,0.000
2017-06-19,0.018,0.095,0.000,0.000,0.020,0.013
2017-06-20,0.075,0.544,0.000,0.000,0.140,0.027
2017-06-21,0.179,1.844,0.000,0.000,0.056,0.000
2017-06-22,0.062,0.363,0.000,0.168,0.043,0.363
2017-06-23,0.033,0.199,0.000,0.004,0.026,0.039
2017-06-24,0.072,0.278,0.000,0.000,0.000,0.014
2017-06-25,0.215,2.176,0.000,0.000,0.000,0.000
2017-06-26,0.192,2.006,0.000,0.000,0.009,0.000
2017-06-27,0.050,0.166,0.000,0.000,0.067,0.000
2017-06-28,0.060,0.504,0.000,0.000,0.009,0.001
2017-06-29,0.267,2.482,0.000,0.000,2.482,0.000
2017-06-30,0.053,0.163,0.000,0.003,0.163,0.000
2017-07-01,0.099,0.350,0.000,0.114,0.142,0.081
2017-07-02,0.031,0.162,0.000,0.133,0.002,0.001
2017-07-03,0.023,0.146,0.000,0.012,0.000,0.000
2017-07-04,0.047,0.164,0.000,0.164,0.000,0.009
2017-07-05,0.173,1.639,0.000,0.003,0.000,0.000
2017-07-06,0.155,1.507,0.000,0.133,0.000,0.000
2017-07-07,0.055,0.502,0.000,0.054,0.000,0.000
2017-07-08,0.017,0.097,0.000,0.003,0.000,0.000
2017-07-09,0.002,0.010,0.000,0.007,0.000,0.010
2017-07-10,0.020,0.135,0.000,0.000,0.000,0.028
2017-07-11,0.051,0.450,0.000,0.006,0.000,0.000
2017-07-12,0.002,0.008,0.000,0.000,0.001,0.000
2017-07-13,0.021,0.070,0.000,0.000,0.015,0.070
2017-07-14,0.015,0.072,0.000,0.000,0.045,0.072
2017-07-15,0.030,0.163,0.000,0.087,0.001,0.163
2017-07-16,0.009,0.052,0.000,0.025,0.000,0.003
2017-07-17,0.033,0.256,0.000,0.000,0.000,0.068
2017-07-18,0.007,0.068,0.000,0.000,0.000,0.002
2017-07-19,0.071,0.760,0.000,0.000,0.000,0.004
2017-07-20,0.047,0.466,0.000,0.000,0.000,0.000
2017-07-21,0.079,0.776,0.000,0.000,0.004,0.000
2017-07-22,0.211,1.229,0.000,0.003,0.000,0.003
2017-07-23,0.020,0.098,0.000,0.000,0.098,0.003
2017-07-24,0.023,0.118,0.000,0.000,0.002,0.017
2017-07-25,0.079,0.351,0.000,0.000,0.162,0.337
2017-07-26,0.087,0.654,0.000,0.000,0.009,0.174
2017-07-27,0.006,0.041,0.000,0.000,0.002,0.010
