date,maximum,minimum,average
2017-01-01,0.034,0.001,0.006
2017-01-02,0.033,0.001,0.006
2017-01-03,0.032,0.001,0.006
2017-01-04,0.032,0.001,0.006
2017-01-05,0.031,0.001,0.006
2017-01-06,0.031,0.001,0.006
2017-01-07,0.056,0.001,0.009
2017-01-08,0.031,0.001,0.006
2017-01-09,0.029,0.001,0.006
2017-01-10,0.029,0.001,0.006
2017-01-11,0.028,0.001,0.006
2017-01-12,0.028,0.001,0.005
2017-01-13,0.028,0.001,0.005
2017-01-14,0.027,0.001,0.005
2017-01-15,0.027,0.001,0.005
2017-01-16,0.026,0.001,0.005
2017-01-17,0.026,0.001,0.005
2017-01-18,0.031,0.001,0.007
2017-01-19,0.025,0.001,0.005
2017-01-20,4.244,0.001,0.270
2017-01-21,0.095,0.001,0.011
2017-01-22,0.051,0.001,0.008
2017-01-23,0.059,0.001,0.009
2017-01-24,0.061,0.001,0.009
2017-01-25,0.059,0.001,0.009
2017-01-26,0.057,0.001,0.008
2017-01-27,0.054,0.001,0.008
2017-01-28,0.051,0.001,0.008
2017-01-29,0.049,0.001,0.008
2017-01-30,0.062,0.001,0.011
2017-01-31,0.044,0.001,0.007
2017-02-01,0.042,0.001,0.007
2017-02-02,0.040,0.001,0.007
2017-02-03,0.038,0.001,0.007
2017-02-04,0.036,0.001,0.008
2017-02-05,0.035,0.001,0.007
2017-02-06,0.033,0.001,0.007
2017-02-07,0.032,0.001,0.007
2017-02-08,0.031,0.001,0.006
2017-02-09,0.030,0.001,0.006
2017-02-10,0.028,0.001,0.006
2017-02-11,0.027,0.001,0.006
2017-02-12,0.196,0.001,0.018
2017-02-13,0.040,0.001,0.009
2017-02-14,0.025,0.001,0.007
2017-02-15,0.076,0.001,0.014
2017-02-16,0.023,0.001,0.006
2017-02-17,1.079,0.001,0.075
2017-02-18,0.088,0.001,0.013
2017-02-19,0.021,0.001,0.006
2017-02-20,0.021,0.001,0.006
2017-02-21,0.042,0.001,0.009
2017-02-22,0.110,0.001,0.013
2017-02-23,0.036,0.001,0.009
2017-02-24,0.019,0.001,0.006
2017-02-25,0.018,0.001,0.005
2017-02-26,0.132,0.001,0.013
2017-02-27,0.027,0.001,0.008
2017-02-28,0.017,0.001,0.006
2017-03-01,0.017,0.001,0.006
2017-03-02,0.023,0.001,0.007
2017-03-03,0.022,0.001,0.008
2017-03-04,0.035,0.001,0.009
2017-03-05,0.066,0.001,0.009
2017-03-06,0.016,0.001,0.006
2017-03-07,0.057,0.001,0.014
2017-03-08,0.091,0.001,0.011
2017-03-09,0.022,0.001,0.006
2017-03-10,0.052,0.001,0.009
2017-03-11,0.044,0.001,0.008
2017-03-12,0.032,0.001,0.009
2017-03-13,0.092,0.001,0.016
2017-03-14,0.275,0.001,0.026
2017-03-15,0.066,0.001,0.013
2017-03-16,0.078,0.001,0.014
2017-03-17,0.136,0.001,0.018
2017-03-18,0.940,0.001,0.067
2017-03-19,0.044,0.001,0.012
2017-03-20,0.199,0.001,0.032
2017-03-21,0.058,0.001,0.012
2017-03-22,0.334,0.001,0.030
2017-03-23,0.023,0.001,0.009
2017-03-24,0.120,0.001,0.017
2017-03-25,0.065,0.002,0.011
2017-03-26,0.049,0.001,0.012
2017-03-27,0.036,0.001,0.012
2017-03-28,0.146,0.001,0.019
2017-03-29,0.032,0.001,0.009
2017-03-30,0.111,0.001,0.024
2017-03-31,0.041,0.001,0.010
2017-04-01,0.227,0.001,0.024
2017-04-02,0.032,0.001,0.011
2017-04-03,0.032,0.001,0.011
2017-04-04,0.060,0.001,0.010
2017-04-05,0.040,0.001,0.008
2017-04-06,0.168,0.001,0.032
2017-04-07,0.063,0.001,0.013
2017-04-08,0.304,0.002,0.046
2017-04-09,0.104,0.001,0.017
2017-04-10,0.165,0.002,0.025
2017-04-11,0.357,0.001,0.032
2017-04-12,0.030,0.001,0.010
2017-04-13,0.134,0.001,0.025
2017-04-14,0.142,0.001,0.020
2017-04-15,0.027,0.002,0.008
2017-04-16,0.505,0.001,0.046
2017-04-17,0.143,0.002,0.020
2017-04-18,0.111,0.001,0.014
2017-04-19,0.121,0.001,0.022
2017-04-20,0.291,0.001,0.033
2017-04-21,0.069,0.001,0.013
2017-04-22,0.275,0.001,0.026
2017-04-23,0.033,0.001,0.011
2017-04-24,0.140,0.002,0.031
2017-04-25,0.107,0.002,0.019
2017-04-26,0.625,0.001,0.050
2017-04-27,0.080,0.001,0.021
2017-04-28,0.030,0.001,0.011
2017-04-29,0.263,0.001,0.026
2017-04-30,0.672,0.001,0.062
2017-05-01,0.091,0.001,0.018
2017-05-02,0.448,0.001,0.043
2017-05-03,0.112,0.001,0.026
2017-05-04,0.132,0.001,0.026
2017-05-05,0.172,0.002,0.026
2017-05-06,0.080,0.002,0.022
2017-05-07,0.143,0.001,0.026
2017-05-08,0.244,0.001,0.026
2017-05-09,0.540,0.001,0.073
2017-05-10,0.046,0.001,0.013
2017-05-11,0.041,0.001,0.015
2017-05-12,0.185,0.001,0.028
2017-05-13,0.026,0.001,0.011
2017-05-14,0.060,0.001,0.018
2017-05-15,0.087,0.001,0.019
2017-05-16,0.028,0.001,0.012
2017-05-17,0.082,0.001,0.015
2017-05-18,0.978,0.001,0.081
2017-05-19,0.334,0.001,0.033
2017-05-20,0.063,0.001,0.021
2017-05-21,0.184,0.001,0.027
2017-05-22,0.071,0.001,0.017
2017-05-23,0.077,0.001,0.020
2017-05-24,0.064,0.001,0.015
2017-05-25,1.322,0.001,0.103
2017-05-26,0.154,0.001,0.026
2017-05-27,0.069,0.002,0.020
2017-05-28,0.126,0.001,0.028
2017-05-29,0.054,0.001,0.017
2017-05-30,0.817,0.001,0.064
2017-05-31,0.103,0.001,0.020
2017-06-01,0.040,0.001,0.013
2017-06-02,0.209,0.001,0.028
2017-06-03,0.083,0.001,0.019
2017-06-04,0.332,0.001,0.038
2017-06-05,0.156,0.001,0.027
2017-06-06,0.089,0.001,0.018
2017-06-07,0.192,0.001,0.026
2017-06-08,0.058,0.001,0.015
2017-06-09,0.028,0.001,0.012
2017-06-10,0.109,0.001,0.030
2017-06-11,0.278,0.001,0.031
2017-06-12,0.284,0.001,0.030
2017-06-13,0.114,0.001,0.019
2017-06-14,0.117,0.001,0.017
2017-06-15,0.030,0.001,0.010
2017-06-16,0.206,0.002,0.028
2017-06-17,0.535,0.001,0.059
2017-06-18,0.152,0.001,0.028
2017-06-19,0.071,0.001,0.014
2017-06-20,0.036,0.001,0.012
2017-06-21,0.035,0.001,0.014
2017-06-22,0.035,0.001,0.012
2017-06-23,0.258,0.001,0.026
2017-06-24,0.081,0.001,0.020
2017-06-25,0.082,0.001,0.019
2017-06-26,0.104,0.001,0.023
2017-06-27,0.051,0.001,0.012
2017-06-28,0.028,0.001,0.012
2017-06-29,0.460,0.001,0.062
2017-06-30,0.218,0.001,0.031
2017-07-01,0.126,0.001,0.023
2017-07-02,0.041,0.001,0.011
2017-07-03,0.069,0.001,0.018
2017-07-04,0.137,0.001,0.024
2017-07-05,0.080,0.001,0.020
2017-07-06,0.084,0.001,0.018
2017-07-07,0.149,0.001,0.020
2017-07-08,0.026,0.001,0.009
2017-07-09,0.076,0.001,0.020
2017-07-10,0.173,0.001,0.035
2017-07-11,0.267,0.001,0.037
2017-07-12,0.166,0.001,0.021
2017-07-13,0.033,0.001,0.010
2017-07-14,0.045,0.001,0.012
2017-07-15,0.032,0.002,0.012
2017-07-16,0.078,0.001,0.022
2017-07-17,0.161,0.001,0.018
2017-07-18,0.031,0.002,0.013
2017-07-19,0.050,0.001,0.012
2017-07-20,1.511,0.001,0.104
2017-07-21,0.214,0.001,0.037
2017-07-22,0.084,0.001,0.018
2017-07-23,0.106,0.001,0.017
2017-07-24,0.076,0.001,0.013
2017-07-25,0.094,0.001,0.017
2017-07-26,0.063,0.001,0.014
2017-07-27,0.209,0.001,0.029
2017-07-28,0.154,0.001,0.024
2017-07-29,0.058,0.001,0.015
2017-07-30,0.059,0.001,0.015
2017-07-31,0.069,0.001,0.013
2017-08-01,0.055,0.001,0.013
2017-08-02,0.052,0.001,0.013
