date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.094,0.611,0.000,0.611,0.013,0.008
2017-01-02,0.023,0.101,0.000,0.067,0.000,0.081
2017-01-03,0.086,0.863,0.000,0.001,0.005,0.055
2017-01-04,0.094,0.985,0.000,0.000,0.000,0.039
2017-01-05,0.041,0.172,0.000,0.152,0.001,0.015
2017-01-06,0.047,0.201,0.000,0.201,0.187,0.000
2017-01-07,0.101,1.099,0.000,0.003,0.096,0.000
2017-01-08,0.076,0.511,0.000,0.511,0.058,0.000
2017-01-09,0.319,3.293,0.000,3.293,0.028,0.000
2017-01-10,0.668,5.464,0.000,2.058,0.075,0.000
2017-01-11,0.312,2.674,0.000,0.396,0.397,0.000
2017-01-12,0.244,1.005,0.013,0.047,0.459,0.013
2017-01-13,0.221,0.830,0.000,0.346,0.062,0.165
2017-01-14,0.103,0.507,0.000,0.262,0.059,0.006
2017-01-15,0.162,0.933,0.000,0.933,0.021,0.127
2017-01-16,0.182,1.079,0.000,0.050,0.001,0.005
2017-01-17,0.130,0.869,0.000,0.013,0.176,0.033
2017-01-18,0.205,1.646,0.000,0.000,1.646,0.100
2017-01-19,0.168,0.720,0.000,0.000,0.720,0.015
2017-01-20,0.109,0.600,0.000,0.040,0.064,0.600
2017-01-21,0.982,10.821,0.000,0.001,0.001,10.821
2017-01-22,0.210,1.269,0.000,0.173,0.317,0.191
2017-01-23,0.078,0.502,0.000,0.502,0.009,0.000
2017-01-24,0.172,1.900,0.000,0.051,1.900,0.003
2017-01-25,0.043,0.156,0.000,0.005,0.107,0.000
2017-01-26,0.141,0.729,0.000,0.002,0.338,0.061
2017-01-27,0.066,0.502,0.000,0.502,0.006,0.015
2017-01-28,0.230,1.311,0.000,0.009,1.311,0.300
2017-01-29,0.026,0.120,0.000,0.000,0.120,0.014
2017-01-30,0.008,0.053,0.000,0.000,0.002,0.000
2017-01-31,0.024,0.230,0.000,0.000,0.001,0.000
2017-02-01,0.087,0.335,0.000,0.000,0.000,0.000
2017-02-02,0.054,0.422,0.000,0.000,0.026,0.000
2017-02-03,0.133,0.939,0.000,0.027,0.236,0.000
2017-02-04,0.073,0.352,0.000,0.009,0.005,0.000
2017-02-05,0.025,0.230,0.000,0.000,0.011,0.001
2017-02-06,0.146,1.370,0.000,0.000,0.076,0.000
2017-02-07,0.546,5.063,0.000,0.000,0.001,0.000
2017-02-08,0.034,0.220,0.000,0.000,0.003,0.003
2017-02-09,0.073,0.412,0.000,0.000,0.412,0.008
2017-02-10,0.066,0.569,0.000,0.048,0.569,0.014
2017-02-11,0.314,3.029,0.001,0.222,3.029,0.035
2017-02-12,0.265,1.929,0.000,0.041,0.656,1.929
2017-02-13,0.512,3.930,0.000,0.148,1.135,3.930
2017-02-14,0.125,0.670,0.000,0.048,0.030,0.096
2017-02-15,0.228,1.630,0.000,0.745,0.062,0.000
2017-02-16,0.152,1.382,0.000,0.150,0.044,0.083
2017-02-17,0.042,0.352,0.000,0.002,0.352,0.006
2017-02-18,0.010,0.074,0.000,0.074,0.006,0.029
2017-02-19,0.024,0.089,0.000,0.037,0.005,0.001
2017-02-20,0.193,1.524,0.000,0.001,0.000,0.000
2017-02-21,0.207,1.213,0.000,0.030,0.000,0.000
2017-02-22,0.063,0.561,0.000,0.013,0.000,0.000
2017-02-23,0.004,0.036,0.000,0.000,0.000,0.000
2017-02-24,0.089,0.506,0.000,0.242,0.000,0.000
2017-02-25,0.085,0.481,0.000,0.008,0.000,0.000
2017-02-26,0.011,0.063,0.000,0.000,0.000,0.000
2017-02-27,0.159,1.747,0.000,0.001,0.000,0.000
2017-02-28,0.387,4.616,0.000,0.000,0.000,0.000
2017-03-01,0.054,0.613,0.000,0.000,0.019,0.001
2017-03-02,0.208,2.050,0.000,0.009,0.119,0.000
2017-03-03,0.112,1.307,0.000,0.000,0.022,0.000
2017-03-04,0.090,0.876,0.000,0.000,0.007,0.000
2017-03-05,0.206,2.431,0.000,0.000,0.000,0.000
2017-03-06,0.012,0.068,0.000,0.000,0.013,0.000
2017-03-07,0.123,0.384,0.000,0.000,0.052,0.000
2017-03-08,0.094,0.687,0.000,0.000,0.687,0.004
2017-03-09,0.008,0.073,0.000,0.000,0.073,0.000
2017-03-10,0.004,0.041,0.000,0.000,0.041,0.000
2017-03-11,0.034,0.328,0.000,0.000,0.003,0.000
2017-03-12,0.020,0.210,0.000,0.000,0.000,0.000
2017-03-13,0.009,0.067,0.000,0.000,0.000,0.000
2017-03-14,0.045,0.455,0.000,0.000,0.000,0.000
2017-03-15,0.013,0.090,0.000,0.000,0.000,0.036
2017-03-16,0.056,0.500,0.000,0.000,0.000,0.136
2017-03-17,0.022,0.119,0.000,0.119,0.101,0.027
2017-03-18,0.054,0.517,0.000,0.065,0.517,0.000
2017-03-19,0.013,0.040,0.000,0.001,0.010,0.023
2017-03-20,0.025,0.227,0.000,0.003,0.000,0.000
2017-03-21,0.020,0.152,0.000,0.000,0.000,0.000
2017-03-22,0.050,0.513,0.000,0.003,0.000,0.006
2017-03-23,0.042,0.255,0.000,0.255,0.032,0.000
2017-03-24,0.043,0.318,0.000,0.120,0.002,0.000
2017-03-25,0.024,0.084,0.000,0.037,0.011,0.002
2017-03-26,0.096,0.480,0.000,0.249,0.000,0.122
2017-03-27,0.087,0.362,0.000,0.034,0.000,0.193
2017-03-28,0.061,0.314,0.000,0.004,0.000,0.017
2017-03-29,0.087,0.637,0.000,0.020,0.076,0.047
2017-03-30,0.062,0.403,0.000,0.002,0.236,0.001
2017-03-31,0.130,0.655,0.000,0.002,0.655,0.000
2017-04-01,0.085,0.349,0.000,0.042,0.012,0.000
2017-04-02,0.118,0.855,0.000,0.855,0.000,0.000
2017-04-03,0.031,0.241,0.000,0.241,0.001,0.000
2017-04-04,0.096,0.694,0.000,0.694,0.000,0.003
2017-04-05,0.057,0.456,0.000,0.456,0.000,0.048
2017-04-06,0.007,0.048,0.000,0.009,0.000,0.004
2017-04-07,0.048,0.415,0.000,0.000,0.068,0.000
2017-04-08,0.074,0.221,0.000,0.000,0.092,0.000
2017-04-09,0.098,0.498,0.000,0.000,0.056,0.072
2017-04-10,0.021,0.091,0.000,0.091,0.021,0.016
2017-04-11,0.038,0.265,0.000,0.066,0.001,0.052
2017-04-12,0.075,0.236,0.000,0.203,0.000,0.005
2017-04-13,0.083,0.441,0.000,0.441,0.000,0.030
2017-04-14,0.238,1.044,0.000,1.044,0.000,0.159
2017-04-15,0.099,0.509,0.002,0.509,0.008,0.077
2017-04-16,0.117,0.466,0.000,0.466,0.000,0.107
2017-04-17,0.096,0.492,0.000,0.015,0.206,0.033
2017-04-18,0.233,1.176,0.000,0.470,1.176,0.087
2017-04-19,0.238,1.766,0.000,0.183,0.321,0.002
2017-04-20,0.126,0.357,0.000,0.242,0.263,0.000
2017-04-21,0.173,0.918,0.000,0.004,0.138,0.223
2017-04-22,0.173,0.656,0.000,0.000,0.095,0.656
2017-04-23,0.115,0.338,0.001,0.285,0.157,0.265
2017-04-24,0.381,1.816,0.000,1.163,0.175,0.412
2017-04-25,0.248,1.929,0.000,0.072,0.006,0.008
2017-04-26,0.179,0.514,0.000,0.056,0.088,0.134
2017-04-27,0.118,0.578,0.007,0.578,0.007,0.062
2017-04-28,0.076,0.347,0.001,0.347,0.053,0.004
2017-04-29,0.156,0.567,0.000,0.061,0.567,0.000
2017-04-30,0.110,0.335,0.000,0.114,0.212,0.036
2017-05-01,0.094,0.480,0.000,0.049,0.099,0.480
2017-05-02,0.178,0.570,0.000,0.175,0.044,0.182
2017-05-03,0.187,0.497,0.000,0.357,0.018,0.255
2017-05-04,0.078,0.246,0.000,0.037,0.000,0.173
2017-05-05,0.346,1.309,0.000,0.080,0.057,0.003
2017-05-06,0.154,0.401,0.000,0.030,0.016,0.000
2017-05-07,0.275,1.119,0.007,0.091,0.055,0.961
2017-05-08,0.470,1.564,0.001,0.007,0.044,1.308
2017-05-09,1.033,5.143,0.003,0.003,0.254,0.740
2017-05-10,0.531,4.032,0.004,0.004,0.257,0.117
2017-05-11,0.552,3.540,0.001,0.017,0.005,0.002
2017-05-12,0.488,2.838,0.000,0.007,0.000,0.000
2017-05-13,0.327,1.462,0.000,0.000,0.033,0.249
2017-05-14,0.070,0.230,0.001,0.021,0.001,0.077
2017-05-15,0.646,4.701,0.000,0.029,0.808,0.209
2017-05-16,1.353,7.105,0.006,0.173,0.025,0.006
2017-05-17,0.367,1.124,0.000,0.091,0.000,1.016
2017-05-18,0.310,0.884,0.003,0.021,0.003,0.093
2017-05-19,0.582,2.344,0.003,0.003,0.388,0.088
2017-05-20,0.294,1.472,0.013,0.014,0.013,0.120
2017-05-21,1.003,3.705,0.007,0.007,3.705,3.405
2017-05-22,0.554,1.567,0.003,0.003,0.785,0.323
2017-05-23,0.277,1.173,0.001,0.012,1.151,0.051
2017-05-24,1.463,5.824,0.005,0.053,3.367,0.005
2017-05-25,0.710,1.842,0.060,0.485,0.958,0.074
