date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.143,0.464,0.014,0.014,0.179,0.068
2017-01-02,0.161,0.518,0.010,0.117,0.232,0.213
2017-01-03,0.225,1.010,0.003,1.010,0.058,0.011
2017-01-04,0.138,0.429,0.013,0.429,0.072,0.025
2017-01-05,0.202,0.569,0.001,0.564,0.030,0.051
2017-01-06,0.090,0.314,0.020,0.062,0.033,0.156
2017-01-07,0.147,0.448,0.021,0.448,0.021,0.142
2017-01-08,0.094,0.278,0.007,0.086,0.243,0.051
2017-01-09,0.120,0.535,0.002,0.026,0.535,0.044
2017-01-10,0.178,0.918,0.004,0.627,0.918,0.019
2017-01-11,0.100,0.338,0.018,0.338,0.307,0.018
2017-01-12,0.184,0.536,0.010,0.536,0.232,0.012
2017-01-13,0.266,0.705,0.007,0.192,0.705,0.418
2017-01-14,0.400,1.366,0.013,0.489,1.120,1.366
2017-01-15,0.289,1.147,0.004,0.438,0.734,1.147
2017-01-16,0.187,0.601,0.007,0.082,0.406,0.601
2017-01-17,0.133,0.311,0.010,0.016,0.261,0.311
2017-01-18,0.139,0.731,0.019,0.073,0.060,0.731
2017-01-19,0.173,0.509,0.020,0.215,0.085,0.509
2017-01-20,0.293,1.008,0.062,0.101,0.547,1.008
2017-01-21,0.178,0.422,0.065,0.195,0.065,0.422
2017-01-22,0.189,0.348,0.043,0.043,0.216,0.232
2017-01-23,0.213,0.539,0.022,0.539,0.062,0.477
2017-01-24,0.305,1.314,0.014,0.295,1.314,0.104
2017-01-25,0.571,3.982,0.011,1.160,3.982,0.146
2017-01-26,0.208,0.961,0.010,0.196,0.133,0.138
2017-01-27,0.475,3.476,0.000,1.091,0.220,3.476
2017-01-28,0.179,0.732,0.000,0.375,0.009,0.605
2017-01-29,0.323,1.404,0.003,1.399,0.203,0.110
2017-01-30,0.125,0.318,0.000,0.318,0.080,0.173
2017-01-31,0.151,0.475,0.000,0.204,0.094,0.475
2017-02-01,0.199,0.412,0.003,0.412,0.336,0.362
2017-02-02,0.156,0.617,0.000,0.305,0.617,0.193
2017-02-03,0.114,0.417,0.006,0.210,0.417,0.041
2017-02-04,0.212,0.992,0.000,0.081,0.379,0.257
2017-02-05,0.089,0.383,0.001,0.072,0.026,0.056
2017-02-06,0.168,0.954,0.002,0.082,0.018,0.954
2017-02-07,0.131,0.485,0.000,0.252,0.079,0.485
2017-02-08,0.237,1.055,0.000,0.145,0.299,1.055
2017-02-09,0.348,1.180,0.000,0.032,0.132,1.180
2017-02-10,0.222,1.002,0.000,0.022,0.243,1.002
2017-02-11,0.338,0.947,0.007,0.007,0.383,0.877
2017-02-12,0.127,0.422,0.004,0.004,0.170,0.313
2017-02-13,0.223,0.621,0.000,0.003,0.341,0.241
2017-02-14,0.174,0.440,0.000,0.019,0.440,0.176
2017-02-15,0.151,0.436,0.000,0.103,0.338,0.436
2017-02-16,0.325,1.854,0.000,0.443,0.422,0.202
2017-02-17,0.272,1.227,0.000,0.313,0.081,0.030
2017-02-18,0.179,0.547,0.000,0.547,0.131,0.056
2017-02-19,0.214,0.625,0.027,0.078,0.445,0.027
2017-02-20,0.205,0.488,0.000,0.252,0.281,0.104
2017-02-21,0.351,1.771,0.000,0.038,0.098,0.912
2017-02-22,0.205,0.504,0.000,0.320,0.501,0.152
2017-02-23,0.227,1.018,0.000,0.269,0.430,0.029
2017-02-24,0.209,0.517,0.000,0.464,0.477,0.006
2017-02-25,0.196,0.922,0.000,0.210,0.104,0.041
2017-02-26,0.782,3.686,0.023,0.376,0.141,0.751
2017-02-27,0.698,2.745,0.058,1.684,0.076,0.468
2017-02-28,0.393,1.245,0.000,0.454,0.203,0.714
2017-03-01,0.458,1.677,0.000,0.546,1.677,0.108
2017-03-02,0.233,0.588,0.000,0.588,0.150,0.194
2017-03-03,0.254,0.583,0.000,0.583,0.096,0.278
2017-03-04,0.265,0.653,0.059,0.296,0.251,0.483
2017-03-05,0.195,0.632,0.000,0.632,0.047,0.369
2017-03-06,0.273,0.628,0.000,0.069,0.527,0.220
2017-03-07,0.399,0.953,0.019,0.214,0.194,0.683
2017-03-08,0.391,1.394,0.000,1.203,1.394,0.637
2017-03-09,0.403,2.007,0.000,0.343,2.007,0.600
2017-03-10,0.983,6.186,0.000,0.307,6.186,1.184
2017-03-11,0.506,1.951,0.023,0.096,0.249,0.199
2017-03-12,0.484,1.175,0.109,0.198,0.357,0.896
2017-03-13,0.419,0.769,0.111,0.621,0.647,0.525
2017-03-14,0.450,1.109,0.102,0.102,0.486,0.151
2017-03-15,0.671,1.505,0.058,0.612,0.433,1.059
2017-03-16,0.574,1.875,0.112,0.397,0.316,0.801
2017-03-17,0.581,1.327,0.188,0.254,1.077,0.188
2017-03-18,0.573,1.377,0.138,0.262,1.040,1.025
2017-03-19,0.645,1.870,0.093,0.559,1.438,0.288
2017-03-20,0.689,1.769,0.090,0.150,0.591,1.162
2017-03-21,0.505,1.439,0.083,0.269,0.257,0.260
2017-03-22,0.618,1.924,0.239,0.296,0.349,0.239
2017-03-23,0.558,1.418,0.061,0.131,0.242,0.338
2017-03-24,0.508,1.057,0.060,0.060,0.443,0.842
2017-03-25,0.424,1.671,0.112,0.308,0.585,1.671
2017-03-26,0.371,0.989,0.083,0.210,0.989,0.230
2017-03-27,0.811,1.635,0.073,0.196,0.979,1.635
2017-03-28,0.890,3.832,0.137,1.051,0.210,1.074
2017-03-29,0.666,1.236,0.075,0.512,0.559,1.118
2017-03-30,0.449,0.885,0.111,0.257,0.771,0.340
2017-03-31,0.531,1.634,0.089,0.276,0.996,0.924
2017-04-01,0.786,1.868,0.187,1.868,1.232,0.609
2017-04-02,0.657,2.151,0.134,2.151,0.322,0.858
2017-04-03,0.362,0.876,0.040,0.130,0.530,0.040
2017-04-04,0.359,0.796,0.109,0.373,0.669,0.212
2017-04-05,1.005,3.652,0.099,3.652,0.769,0.126
2017-04-06,0.593,1.675,0.178,1.675,0.766,0.178
2017-04-07,0.572,1.471,0.231,0.962,0.703,0.303
2017-04-08,0.587,1.306,0.127,1.269,0.509,0.561
2017-04-09,0.677,1.201,0.404,0.619,0.458,0.904
2017-04-10,0.908,2.456,0.183,2.005,0.201,2.276
2017-04-11,0.916,1.633,0.121,0.849,1.267,1.633
2017-04-12,0.715,1.528,0.175,1.183,0.473,1.106
2017-04-13,0.784,2.199,0.162,0.354,0.535,0.938
2017-04-14,1.082,2.865,0.156,0.224,2.505,1.214
2017-04-15,0.551,1.721,0.083,0.434,0.393,1.721
2017-04-16,0.750,1.852,0.227,0.734,0.763,0.460
2017-04-17,0.709,3.249,0.169,0.221,1.328,0.720
2017-04-18,0.913,2.525,0.268,2.525,0.788,0.536
2017-04-19,0.685,1.889,0.163,0.382,0.816,0.641
2017-04-20,0.873,1.619,0.266,0.709,1.288,0.664
2017-04-21,0.915,1.478,0.297,1.045,0.540,1.139
2017-04-22,1.221,4.638,0.252,0.252,0.443,1.779
2017-04-23,0.890,2.973,0.266,0.618,2.973,1.432
2017-04-24,0.968,2.158,0.181,2.158,1.149,0.488
2017-04-25,0.791,2.684,0.084,1.077,0.627,0.762
2017-04-26,0.975,3.072,0.212,1.299,0.366,1.155
2017-04-27,1.289,2.662,0.180,1.946,0.180,2.586
2017-04-28,1.158,2.490,0.328,0.330,0.394,2.490
2017-04-29,0.953,3.616,0.167,0.167,0.471,0.371
2017-04-30,0.990,2.447,0.055,1.818,0.348,0.285
2017-05-01,1.576,6.233,0.247,1.160,0.629,6.233
2017-05-02,1.506,5.885,0.199,1.620,5.885,0.379
2017-05-03,0.990,2.415,0.355,0.710,2.415,0.452
2017-05-04,1.451,5.798,0.157,1.569,1.002,0.593
2017-05-05,0.596,1.365,0.070,0.671,0.803,0.070
2017-05-06,1.045,1.942,0.308,0.726,0.696,1.332
2017-05-07,0.640,1.094,0.083,0.083,0.792,0.831
2017-05-08,1.128,4.334,0.185,0.207,4.334,0.981
2017-05-09,0.862,1.768,0.152,1.357,1.244,0.152
2017-05-10,1.009,2.981,0.192,0.913,2.981,0.970
2017-05-11,1.019,3.478,0.442,0.442,1.489,0.460
2017-05-12,1.382,3.483,0.447,1.040,3.483,1.139
2017-05-13,1.132,2.463,0.190,1.410,2.031,0.754
2017-05-14,0.818,1.962,0.295,0.501,1.962,0.781
2017-05-15,0.922,1.300,0.133,0.884,0.946,1.178
2017-05-16,1.456,5.747,0.066,1.377,1.283,0.688
2017-05-17,0.877,3.272,0.118,0.599,0.953,1.312
2017-05-18,0.774,1.340,0.199,0.310,1.340,0.734
2017-05-19,0.968,2.615,0.073,0.846,1.080,1.455
2017-05-20,0.864,1.957,0.119,0.349,0.119,1.229
2017-05-21,1.100,2.702,0.374,0.855,0.594,2.702
2017-05-22,1.306,2.340,0.249,1.547,2.340,1.463
2017-05-23,1.356,2.850,0.181,1.107,0.611,1.230
2017-05-24,1.260,3.745,0.056,0.427,0.839,1.085
2017-05-25,0.910,2.263,0.189,0.398,0.189,0.712
2017-05-26,0.787,1.406,0.393,0.689,0.601,0.750
2017-05-27,1.175,3.346,0.574,1.222,1.272,0.760
2017-05-28,0.978,1.960,0.184,0.907,0.831,0.522
2017-05-29,1.077,2.398,0.394,0.394,1.274,1.079
2017-05-30,1.424,2.832,0.181,1.774,1.067,1.655
2017-05-31,0.842,1.468,0.290,0.956,0.290,0.753
2017-06-01,1.094,2.970,0.419,0.639,2.317,0.616
2017-06-02,1.138,1.860,0.398,0.835,0.810,0.789
2017-06-03,1.282,2.513,0.081,0.219,0.379,1.831
2017-06-04,1.279,3.550,0.346,1.614,0.503,0.471
2017-06-05,0.745,1.746,0.119,0.655,0.480,0.119
2017-06-06,0.807,1.751,0.333,0.722,0.904,0.863
2017-06-07,1.638,3.916,0.176,0.901,0.529,0.421
2017-06-08,1.806,6.525,0.322,0.322,0.693,6.525
2017-06-09,1.360,3.711,0.329,0.780,0.360,0.491
2017-06-10,0.743,1.174,0.334,0.556,0.904,0.334
2017-06-11,0.982,1.971,0.323,1.971,1.722,1.046
2017-06-12,0.930,2.090,0.428,0.598,0.428,0.731
2017-06-13,1.330,3.254,0.237,0.237,2.972,0.641
2017-06-14,0.975,2.570,0.336,0.433,0.336,0.410
2017-06-15,0.656,2.396,0.130,0.447,0.218,0.130
2017-06-16,1.223,3.854,0.410,0.733,3.854,0.500
2017-06-17,1.063,2.910,0.354,0.408,2.910,0.532
2017-06-18,1.240,2.382,0.150,0.150,1.113,0.270
2017-06-19,0.666,1.755,0.044,0.698,0.844,0.044
2017-06-20,1.026,2.748,0.281,0.854,0.292,2.748
2017-06-21,0.882,2.394,0.233,0.608,0.902,0.329
2017-06-22,0.838,1.707,0.243,1.707,0.691,0.764
2017-06-23,1.039,3.381,0.017,1.119,0.017,1.141
2017-06-24,0.980,1.951,0.225,1.448,0.252,0.225
2017-06-25,1.329,4.154,0.218,0.412,0.704,0.218
2017-06-26,0.767,2.484,0.201,0.950,0.689,2.484
2017-06-27,1.384,3.463,0.401,1.415,1.720,0.730
2017-06-28,1.528,2.588,0.247,0.247,1.823,1.892
2017-06-29,1.306,4.158,0.171,0.825,0.871,0.251
2017-06-30,1.050,2.317,0.251,0.763,0.789,0.251
2017-07-01,0.938,2.882,0.287,0.530,1.477,2.882
2017-07-02,0.672,1.536,0.313,0.873,0.961,0.381
2017-07-03,1.071,2.518,0.223,0.487,0.591,0.706
2017-07-04,1.433,2.906,0.244,0.244,0.749,1.964
2017-07-05,1.362,2.783,0.518,0.518,0.700,2.783
2017-07-06,0.998,1.834,0.199,0.199,1.133,1.155
2017-07-07,0.782,1.832,0.041,0.656,1.249,0.041
2017-07-08,1.470,4.175,0.358,0.650,4.175,0.702
2017-07-09,1.657,4.308,0.171,0.476,4.308,0.981
2017-07-10,1.271,2.654,0.328,0.328,0.774,0.407
2017-07-11,1.353,4.568,0.062,0.062,0.901,1.568
2017-07-12,1.182,2.527,0.509,1.188,1.820,1.248
2017-07-13,1.436,5.796,0.276,0.754,0.934,1.209
2017-07-14,1.388,5.626,0.271,0.896,0.850,0.271
2017-07-15,1.504,5.433,0.156,1.029,2.220,0.503
2017-07-16,0.953,1.704,0.507,0.789,1.704,1.280
2017-07-17,1.081,2.109,0.297,1.278,0.297,0.934
2017-07-18,1.628,2.706,0.411,0.411,1.546,1.462
2017-07-19,2.083,4.967,0.515,1.342,3.379,1.470
2017-07-20,1.487,3.966,0.474,0.894,1.443,1.114
2017-07-21,1.162,2.443,0.266,1.232,0.266,0.762
2017-07-22,1.516,3.356,0.285,0.583,0.503,0.285
2017-07-23,1.482,3.183,0.285,0.697,1.615,0.285
2017-07-24,1.496,2.960,0.619,1.107,2.195,1.329
2017-07-25,2.454,6.670,0.601,0.601,2.150,1.185
2017-07-26,1.580,3.138,0.641,1.170,0.775,0.868
2017-07-27,0.989,1.894,0.327,1.187,0.327,0.984
2017-07-28,1.010,1.923,0.464,0.780,1.278,0.517
2017-07-29,1.554,3.941,0.547,0.547,2.466,0.685
2017-07-30,1.162,2.790,0.437,0.473,0.858,1.264
2017-07-31,1.436,2.675,0.712,1.271,2.393,1.156
2017-08-01,1.558,3.607,0.604,0.630,1.101,1.907
2017-08-02,1.153,2.308,0.498,0.793,0.873,0.821
2017-08-03,1.755,3.801,0.581,2.781,1.445,0.687
2017-08-04,1.702,4.282,0.509,0.912,1.856,2.393
2017-08-05,1.191,2.300,0.572,0.920,0.971,2.300
2017-08-06,1.219,4.682,0.462,1.238,0.462,0.701
2017-08-07,1.900,3.246,0.569,0.918,1.648,1.700
2017-08-08,1.808,3.432,0.205,3.397,2.573,1.458
2017-08-09,1.430,2.783,0.630,1.297,1.646,0.630
2017-08-10,2.117,4.948,0.481,2.196,2.134,1.239
2017-08-11,1.343,3.483,0.696,0.899,1.024,1.249
2017-08-12,1.344,3.621,0.417,0.647,1.462,0.511
2017-08-13,1.760,6.365,0.376,6.365,1.063,1.086
2017-08-14,1.838,4.476,0.350,0.524,4.476,1.506
2017-08-15,1.406,3.542,0.582,1.388,3.542,0.582
2017-08-16,1.238,2.256,0.376,0.842,1.658,0.376
2017-08-17,1.653,3.992,0.367,1.253,0.815,3.992
2017-08-18,1.328,5.428,0.217,0.475,1.360,0.981
2017-08-19,1.278,2.924,0.445,0.577,0.516,1.303
2017-08-20,1.155,2.246,0.344,1.032,0.771,0.921
2017-08-21,1.983,5.223,0.798,2.814,5.223,2.325
2017-08-22,1.531,5.458,0.318,0.788,1.076,0.703
2017-08-23,1.336,3.090,0.314,0.314,0.459,0.964
2017-08-24,1.256,2.933,0.343,0.399,0.758,1.309
2017-08-25,1.190,2.557,0.286,0.952,1.037,1.391
2017-08-26,1.608,4.918,0.649,1.384,2.273,1.190
2017-08-27,2.004,5.854,0.448,1.017,0.448,1.130
2017-08-28,1.124,2.547,0.371,1.106,0.394,0.470
2017-08-29,1.359,2.498,0.119,1.830,1.222,0.946
2017-08-30,1.166,2.768,0.205,0.753,0.961,0.743
2017-08-31,0.956,1.392,0.174,0.174,1.303,0.335
2017-09-01,0.964,1.619,0.424,1.141,0.424,0.918
2017-09-02,1.326,2.244,0.604,1.686,1.474,1.976
2017-09-03,1.571,5.001,0.229,0.229,2.395,1.404
2017-09-04,1.001,2.237,0.383,2.237,0.908,0.383
2017-09-05,1.454,3.225,0.381,1.563,0.710,2.104
2017-09-06,0.989,2.300,0.410,0.449,0.777,1.102
2017-09-07,1.508,3.887,0.224,0.224,1.754,2.732
2017-09-08,0.905,1.580,0.280,0.302,0.458,1.580
2017-09-09,1.515,3.374,0.354,1.964,0.890,0.846
2017-09-10,1.044,1.434,0.406,1.014,1.403,1.434
2017-09-11,1.411,4.265,0.176,0.176,1.053,1.679
2017-09-12,1.242,4.013,0.398,2.436,0.832,0.711
2017-09-13,1.013,3.036,0.295,1.156,0.316,3.036
2017-09-14,1.000,1.935,0.307,1.113,0.864,0.958
2017-09-15,1.513,3.304,0.315,1.761,0.315,1.146
2017-09-16,1.044,2.202,0.501,1.195,1.385,1.258
2017-09-17,0.971,1.930,0.242,0.360,1.822,0.810
2017-09-18,1.049,2.732,0.131,0.131,2.732,1.324
2017-09-19,0.911,1.884,0.326,0.753,1.087,1.201
2017-09-20,0.925,4.678,0.264,0.635,0.669,0.809
2017-09-21,0.836,1.648,0.307,0.634,0.883,0.496
2017-09-22,1.219,3.296,0.476,1.318,1.239,3.296
2017-09-23,0.677,1.590,0.294,0.425,0.640,0.676
2017-09-24,0.789,1.554,0.217,0.829,1.361,1.425
2017-09-25,0.703,1.328,0.177,0.960,0.400,1.328
2017-09-26,1.544,7.580,0.431,1.105,0.603,7.580
2017-09-27,0.988,1.699,0.201,1.382,1.326,0.942
2017-09-28,0.993,2.494,0.101,0.992,1.130,0.164
2017-09-29,0.589,1.177,0.160,1.177,0.381,0.164
2017-09-30,0.905,4.115,0.240,0.888,0.309,0.289
2017-10-01,1.245,2.294,0.485,1.095,1.660,2.294
2017-10-02,1.089,3.541,0.245,0.498,1.474,1.760
2017-10-03,0.924,1.783,0.106,1.189,0.444,0.871
2017-10-04,0.940,1.644,0.089,1.172,1.399,0.467
2017-10-05,0.998,3.911,0.322,0.830,0.414,2.132
2017-10-06,0.819,2.003,0.104,0.518,0.104,1.598
2017-10-07,0.789,1.931,0.173,0.438,0.173,1.814
2017-10-08,1.156,2.713,0.219,0.219,1.339,0.491
2017-10-09,0.850,2.189,0.117,0.117,0.680,2.189
2017-10-10,0.613,1.398,0.206,0.555,1.174,0.786
2017-10-11,0.792,2.130,0.152,0.465,1.078,2.130
2017-10-12,0.451,0.958,0.168,0.373,0.416,0.445
2017-10-13,0.763,1.690,0.249,1.690,0.487,0.903
2017-10-14,0.831,2.132,0.098,0.459,0.639,0.666
2017-10-15,0.756,1.573,0.299,0.405,0.795,1.006
2017-10-16,0.538,1.089,0.156,0.550,0.330,0.647
2017-10-17,0.554,1.726,0.168,0.200,1.726,0.345
2017-10-18,0.669,1.628,0.139,0.981,1.351,0.149
2017-10-19,0.836,2.285,0.176,0.397,0.858,0.181
2017-10-20,0.531,1.270,0.119,0.196,1.237,0.151
2017-10-21,0.944,2.507,0.139,0.139,1.656,1.240
2017-10-22,0.907,2.000,0.205,0.524,2.000,0.940
2017-10-23,1.187,4.474,0.289,1.054,4.474,2.190
2017-10-24,0.777,1.414,0.437,0.586,1.414,0.582
2017-10-25,0.733,1.572,0.289,0.358,1.338,0.919
2017-10-26,0.766,2.953,0.063,0.208,0.790,0.918
2017-10-27,0.799,2.753,0.105,0.573,2.107,0.285
2017-10-28,0.815,2.360,0.191,1.347,2.360,0.191
2017-10-29,0.934,2.359,0.230,1.481,1.779,0.230
2017-10-30,0.681,2.788,0.160,0.327,0.382,1.098
2017-10-31,0.605,2.296,0.078,0.399,0.371,0.459
2017-11-01,0.639,2.532,0.091,2.532,0.270,0.091
2017-11-02,0.367,0.930,0.125,0.381,0.176,0.319
2017-11-03,0.492,0.834,0.077,0.481,0.834,0.637
2017-11-04,0.642,2.153,0.100,2.153,0.763,0.645
2017-11-05,0.793,2.156,0.234,1.236,0.566,0.394
2017-11-06,0.661,1.725,0.099,0.216,0.652,0.785
2017-11-07,0.439,1.480,0.037,0.238,0.115,0.631
2017-11-08,0.818,2.209,0.145,0.203,1.231,0.605
2017-11-09,0.635,1.686,0.100,0.261,0.839,1.686
2017-11-10,0.571,1.463,0.121,0.384,0.488,1.463
2017-11-11,0.321,0.599,0.089,0.164,0.520,0.108
2017-11-12,0.320,0.823,0.079,0.199,0.823,0.355
2017-11-13,0.439,0.841,0.080,0.100,0.838,0.257
2017-11-14,1.506,11.754,0.032,0.032,0.507,0.292
2017-11-15,0.343,1.133,0.029,0.438,0.674,0.087
2017-11-16,0.427,1.170,0.105,0.370,1.004,0.105
2017-11-17,0.268,0.783,0.051,0.168,0.112,0.051
2017-11-18,0.295,1.005,0.062,0.142,1.005,0.087
2017-11-19,0.352,1.154,0.057,0.057,0.611,0.156
2017-11-20,0.311,1.483,0.086,0.156,0.423,0.092
2017-11-21,0.257,0.640,0.041,0.588,0.370,0.067
2017-11-22,0.322,1.089,0.024,1.089,0.366,0.024
2017-11-23,0.273,1.205,0.014,0.493,1.205,0.014
2017-11-24,0.315,0.873,0.005,0.160,0.329,0.017
2017-11-25,0.321,1.283,0.001,0.491,0.539,0.001
2017-11-26,0.273,0.769,0.021,0.692,0.769,0.021
2017-11-27,0.122,0.566,0.006,0.566,0.097,0.017
2017-11-28,0.172,0.438,0.007,0.265,0.414,0.260
2017-11-29,0.427,1.691,0.023,0.042,0.590,1.691
2017-11-30,0.163,0.431,0.016,0.078,0.241,0.173
2017-12-01,0.195,0.543,0.026,0.080,0.279,0.161
2017-12-02,0.156,0.480,0.005,0.043,0.200,0.099
2017-12-03,0.216,0.759,0.020,0.357,0.759,0.092
2017-12-04,0.198,0.736,0.021,0.098,0.416,0.177
2017-12-05,0.318,1.111,0.002,0.157,1.111,0.622
2017-12-06,0.317,1.047,0.050,0.118,1.047,0.185
2017-12-07,0.266,0.851,0.040,0.140,0.532,0.040
2017-12-08,0.240,0.778,0.072,0.156,0.425,0.072
2017-12-09,0.297,1.351,0.011,0.085,0.260,0.036
2017-12-10,0.272,0.753,0.071,0.559,0.074,0.293
2017-12-11,0.264,1.137,0.019,0.442,0.023,0.224
2017-12-12,0.227,0.677,0.006,0.140,0.017,0.409
2017-12-13,0.305,0.892,0.033,0.082,0.892,0.033
2017-12-14,0.213,0.721,0.011,0.125,0.721,0.011
2017-12-15,0.188,0.765,0.011,0.170,0.184,0.011
2017-12-16,0.170,0.562,0.004,0.216,0.313,0.004
2017-12-17,0.187,0.666,0.003,0.426,0.666,0.030
2017-12-18,0.089,0.273,0.001,0.221,0.125,0.062
2017-12-19,0.141,0.916,0.000,0.062,0.136,0.018
2017-12-20,0.128,0.353,0.000,0.109,0.353,0.169
2017-12-21,0.388,2.259,0.001,0.182,0.905,0.086
2017-12-22,0.297,1.524,0.020,1.524,0.523,0.020
2017-12-23,0.127,0.307,0.007,0.131,0.298,0.020
2017-12-24,0.223,0.791,0.015,0.747,0.115,0.035
2017-12-25,0.165,0.741,0.003,0.741,0.114,0.022
2017-12-26,0.151,0.887,0.003,0.313,0.026,0.113
2017-12-27,0.135,0.491,0.013,0.041,0.171,0.267
2017-12-28,0.181,0.598,0.015,0.015,0.598,0.111
2017-12-29,0.326,1.005,0.000,0.078,1.005,0.371
2017-12-30,0.314,1.887,0.002,0.204,1.887,0.077
2017-12-31,0.216,0.707,0.004,0.707,0.497,0.012
2018-01-01,0.218,0.300,0.137,0.137,0.300
