date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,2.007,10.973,0.053,0.090,2.550,0.239
2017-01-02,0.931,4.463,0.005,0.556,0.446,0.736
2017-01-03,0.744,2.334,0.000,0.158,1.510,0.849
2017-01-04,0.964,2.917,0.001,2.566,0.621,1.852
2017-01-05,0.730,3.792,0.005,3.792,0.980,0.523
2017-01-06,1.241,3.526,0.003,3.526,3.344,3.146
2017-01-07,1.690,7.894,0.018,7.894,4.404,1.207
2017-01-08,1.672,7.099,0.008,2.251,7.099,0.070
2017-01-09,0.776,1.920,0.000,0.292,1.920,0.072
2017-01-10,1.407,4.828,0.005,1.195,0.956,0.010
2017-01-11,0.666,2.147,0.036,0.432,0.205,0.269
2017-01-12,0.921,3.401,0.040,2.818,0.126,0.063
2017-01-13,1.648,7.013,0.020,2.646,0.231,7.013
2017-01-14,1.336,3.471,0.004,1.182,1.625,3.471
2017-01-15,1.180,3.593,0.001,0.514,2.711,3.104
2017-01-16,0.459,1.520,0.002,0.235,1.520,0.380
2017-01-17,1.444,10.537,0.010,0.281,10.537,0.382
2017-01-18,1.232,3.060,0.038,0.355,2.669,3.003
2017-01-19,0.975,6.034,0.001,0.612,0.527,1.653
2017-01-20,1.338,3.555,0.020,0.767,0.457,1.665
2017-01-21,1.845,7.190,0.045,1.460,7.190,3.718
2017-01-22,1.503,3.916,0.030,0.301,3.243,1.084
2017-01-23,1.581,5.495,0.028,3.770,2.023,0.163
2017-01-24,1.507,6.206,0.085,1.505,2.635,0.617
2017-01-25,1.091,3.101,0.005,0.104,1.533,0.042
2017-01-26,1.745,5.732,0.008,0.008,2.390,1.010
2017-01-27,2.074,7.047,0.002,0.026,7.047,1.642
2017-01-28,0.424,1.015,0.000,0.129,0.854,0.774
2017-01-29,0.947,2.208,0.042,0.573,2.208,1.050
2017-01-30,0.686,1.740,0.000,1.740,1.043,0.140
2017-01-31,0.700,2.413,0.000,0.497,0.032,1.419
2017-02-01,0.900,3.572,0.000,0.412,0.295,0.320
2017-02-02,0.939,4.016,0.000,0.661,1.682,1.280
2017-02-03,1.191,3.983,0.004,1.178,1.799,0.665
2017-02-04,0.671,2.196,0.000,0.078,1.363,0.530
2017-02-05,0.859,6.390,0.000,0.016,6.390,1.694
2017-02-06,0.897,3.624,0.000,1.018,3.624,1.384
2017-02-07,1.440,4.732,0.000,0.735,3.169,1.994
2017-02-08,1.608,5.037,0.264,1.402,5.037,2.308
2017-02-09,1.755,3.824,0.091,0.634,1.474,3.824
2017-02-10,1.272,4.201,0.000,0.024,0.631,1.846
2017-02-11,1.006,3.376,0.000,2.142,0.824,3.376
2017-02-12,0.555,2.218,0.000,1.355,2.218,0.432
2017-02-13,0.861,2.942,0.000,1.315,1.010,1.242
2017-02-14,0.954,2.714,0.000,1.980,0.118,0.705
2017-02-15,0.688,3.933,0.000,0.196,0.123,0.694
2017-02-16,0.899,3.683,0.011,0.088,1.266,0.065
2017-02-17,0.718,2.011,0.000,0.704,0.490,1.094
2017-02-18,1.438,3.803,0.000,0.585,2.707,1.036
2017-02-19,1.169,4.040,0.000,0.811,1.530,0.764
2017-02-20,1.226,4.186,0.000,2.036,2.597,0.870
2017-02-21,0.967,3.075,0.001,3.075,1.339,1.251
2017-02-22,0.967,5.869,0.000,5.869,0.458,1.699
2017-02-23,1.121,2.564,0.000,2.099,1.192,1.635
2017-02-24,1.445,4.584,0.015,1.505,1.786,2.300
2017-02-25,1.925,9.124,0.247,0.505,9.124,1.407
2017-02-26,0.672,3.171,0.000,0.485,3.171,1.550
2017-02-27,0.633,1.683,0.000,0.752,1.162,0.466
2017-02-28,0.536,2.922,0.000,0.017,0.339,0.078
2017-03-01,0.508,2.813,0.004,0.004,0.161,1.231
2017-03-02,0.495,1.725,0.000,0.068,0.201,1.725
2017-03-03,0.511,1.634,0.000,0.352,0.380,0.111
2017-03-04,0.704,2.108,0.000,0.360,0.076,1.231
2017-03-05,0.662,1.880,0.000,0.617,0.014,1.120
2017-03-06,0.387,1.601,0.000,0.792,0.009,1.601
2017-03-07,0.609,2.135,0.000,2.072,0.024,2.135
2017-03-08,0.584,4.550,0.000,0.155,0.147,4.550
2017-03-09,0.629,2.620,0.014,0.182,0.182,2.620
2017-03-10,0.429,1.814,0.000,0.089,0.017,0.779
2017-03-11,0.925,5.317,0.000,1.325,0.243,1.391
2017-03-12,1.155,4.607,0.015,1.545,2.950,1.986
2017-03-13,0.660,2.543,0.098,1.912,0.158,0.843
2017-03-14,0.844,5.613,0.005,0.812,0.187,0.553
2017-03-15,0.661,3.476,0.001,0.036,3.476,1.373
2017-03-16,0.584,1.907,0.001,0.053,1.907,0.714
2017-03-17,1.027,4.460,0.001,1.272,1.273,0.771
2017-03-18,0.489,1.243,0.070,0.157,0.618,0.648
2017-03-19,0.945,3.888,0.018,0.049,3.888,1.386
2017-03-20,1.059,5.799,0.001,0.458,1.180,0.027
2017-03-21,1.430,4.524,0.000,0.144,3.792,0.018
2017-03-22,0.889,2.431,0.001,2.431,1.018,0.308
2017-03-23,1.359,5.892,0.000,3.785,0.159,2.358
2017-03-24,0.769,3.430,0.007,1.085,0.281,0.726
2017-03-25,0.465,2.034,0.028,2.034,0.395,0.103
2017-03-26,0.440,2.594,0.019,0.053,0.247,0.048
2017-03-27,0.634,3.147,0.000,0.000,0.816,0.900
2017-03-28,0.416,1.721,0.000,0.001,0.244,1.715
2017-03-29,0.165,0.780,0.000,0.113,0.016,0.376
2017-03-30,0.311,1.500,0.000,1.500,0.576,0.273
2017-03-31,0.993,3.065,0.000,3.065,0.687,2.632
2017-04-01,1.393,4.503,0.080,4.214,0.080,0.948
2017-04-02,1.044,2.312,0.056,1.900,0.164,1.340
2017-04-03,1.333,6.502,0.007,6.502,0.077,3.196
2017-04-04,0.533,1.702,0.027,0.763,0.034,0.326
2017-04-05,0.601,2.239,0.007,2.239,0.020,0.903
2017-04-06,2.213,12.087,0.007,3.807,0.017,1.581
2017-04-07,2.377,14.624,0.014,0.137,0.114,2.439
2017-04-08,0.626,3.559,0.037,0.370,0.268,0.045
2017-04-09,0.260,0.834,0.002,0.034,0.439,0.002
2017-04-10,1.194,5.055,0.000,5.055,3.467,0.018
2017-04-11,0.413,2.281,0.003,0.274,2.281,0.561
2017-04-12,0.361,1.621,0.000,0.022,0.553,1.621
2017-04-13,0.454,2.913,0.000,0.000,0.051,1.219
2017-04-14,0.436,1.953,0.000,0.000,0.308,0.624
2017-04-15,0.397,1.929,0.000,0.000,0.191,0.087
2017-04-16,1.048,4.978,0.005,0.005,0.709,0.035
2017-04-17,1.168,8.093,0.041,0.277,8.093,0.041
2017-04-18,0.519,2.152,0.001,0.041,0.993,0.038
2017-04-19,0.811,3.244,0.000,0.343,2.020,0.119
2017-04-20,0.461,1.809,0.000,0.393,0.334,0.088
2017-04-21,0.965,4.894,0.001,4.894,2.870,0.414
2017-04-22,1.020,6.758,0.009,0.108,6.758,0.292
2017-04-23,0.791,3.476,0.003,0.003,0.188,0.034
2017-04-24,0.970,2.944,0.004,0.345,0.004,0.028
2017-04-25,0.188,0.767,0.001,0.447,0.001,0.093
2017-04-26,0.152,0.496,0.000,0.031,0.001,0.020
2017-04-27,0.836,7.568,0.000,0.070,0.000,0.097
2017-04-28,0.061,0.316,0.000,0.008,0.000,0.026
2017-04-29,0.125,0.789,0.000,0.008,0.000,0.100
2017-04-30,0.285,0.700,0.000,0.000,0.161,0.025
2017-05-01,0.531,3.876,0.000,0.000,1.000,0.008
2017-05-02,1.067,4.761,0.000,0.000,4.346,0.032
2017-05-03,0.696,2.088,0.000,0.189,1.519,0.464
2017-05-04,0.932,6.979,0.000,0.023,0.027,6.979
2017-05-05,0.588,2.214,0.000,0.000,0.004,2.214
2017-05-06,0.581,2.562,0.002,0.018,0.719,0.082
2017-05-07,0.051,0.197,0.000,0.009,0.027,0.003
2017-05-08,0.050,0.274,0.000,0.053,0.006,0.000
2017-05-09,0.044,0.220,0.000,0.001,0.164,0.016
