date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.040,0.164,0.000,0.118,0.009,0.027
2017-01-02,0.080,0.310,0.000,0.071,0.000,0.171
2017-01-03,0.083,0.293,0.000,0.034,0.167,0.293
2017-01-04,0.098,0.547,0.000,0.005,0.547,0.146
2017-01-05,0.057,0.237,0.000,0.001,0.068,0.039
2017-01-06,0.025,0.168,0.000,0.168,0.019,0.007
2017-01-07,0.070,0.486,0.000,0.050,0.017,0.089
2017-01-08,0.089,0.494,0.000,0.016,0.166,0.054
2017-01-09,0.087,0.639,0.000,0.030,0.185,0.065
2017-01-10,0.161,1.643,0.000,0.064,0.004,0.047
2017-01-11,0.060,0.201,0.000,0.065,0.110,0.133
2017-01-12,0.074,0.344,0.000,0.015,0.121,0.198
2017-01-13,0.076,0.227,0.000,0.086,0.012,0.227
2017-01-14,0.053,0.261,0.000,0.261,0.006,0.012
2017-01-15,0.032,0.131,0.000,0.042,0.029,0.032
2017-01-16,0.027,0.173,0.000,0.014,0.001,0.004
2017-01-17,0.050,0.208,0.000,0.208,0.002,0.049
2017-01-18,0.082,0.259,0.000,0.259,0.092,0.004
2017-01-19,0.047,0.235,0.000,0.046,0.066,0.000
2017-01-20,0.206,2.101,0.000,0.094,0.147,2.101
2017-01-21,0.241,1.187,0.000,1.187,0.973,0.424
2017-01-22,0.090,0.411,0.001,0.411,0.072,0.008
2017-01-23,0.038,0.140,0.001,0.075,0.001,0.003
2017-01-24,0.048,0.234,0.000,0.035,0.002,0.019
2017-01-25,0.027,0.064,0.000,0.064,0.020,0.049
2017-01-26,0.079,0.432,0.000,0.120,0.432,0.002
2017-01-27,0.058,0.198,0.000,0.092,0.198,0.002
2017-01-28,0.069,0.321,0.000,0.048,0.321,0.003
2017-01-29,0.172,1.586,0.000,0.003,1.586,0.122
2017-01-30,0.061,0.469,0.000,0.000,0.102,0.002
2017-01-31,0.050,0.245,0.000,0.000,0.014,0.010
2017-02-01,0.067,0.336,0.000,0.003,0.029,0.006
2017-02-02,0.032,0.131,0.000,0.048,0.004,0.000
2017-02-03,0.036,0.213,0.000,0.001,0.081,0.000
2017-02-04,0.084,0.494,0.000,0.001,0.078,0.012
2017-02-05,0.104,0.916,0.000,0.000,0.013,0.169
2017-02-06,0.078,0.362,0.000,0.011,0.007,0.191
2017-02-07,0.096,0.481,0.000,0.006,0.001,0.054
2017-02-08,0.050,0.257,0.000,0.000,0.001,0.077
2017-02-09,0.138,1.170,0.000,0.004,0.010,0.040
2017-02-10,0.140,0.842,0.000,0.000,0.056,0.001
2017-02-11,0.083,0.303,0.007,0.007,0.079,0.132
2017-02-12,0.038,0.103,0.000,0.041,0.025,0.006
2017-02-13,0.072,0.399,0.001,0.012,0.187,0.030
2017-02-14,0.076,0.364,0.000,0.076,0.051,0.034
2017-02-15,0.118,0.451,0.015,0.114,0.451,0.024
2017-02-16,0.150,0.604,0.001,0.218,0.159,0.019
2017-02-17,0.102,0.562,0.000,0.196,0.109,0.005
2017-02-18,0.087,0.622,0.000,0.046,0.097,0.000
2017-02-19,0.211,1.258,0.000,0.218,0.172,0.000
2017-02-20,0.163,0.565,0.028,0.066,0.116,0.089
2017-02-21,0.276,1.907,0.003,0.050,0.302,0.004
2017-02-22,0.298,1.093,0.000,0.019,0.483,0.000
2017-02-23,0.097,0.642,0.000,0.001,0.046,0.000
2017-02-24,0.120,0.630,0.000,0.001,0.213,0.000
2017-02-25,0.150,0.679,0.000,0.009,0.504,0.008
2017-02-26,0.145,0.523,0.000,0.007,0.286,0.000
2017-02-27,0.287,1.500,0.000,0.160,0.156,0.183
2017-02-28,0.159,0.905,0.000,0.905,0.011,0.034
2017-03-01,0.104,0.246,0.000,0.207,0.015,0.246
2017-03-02,0.181,0.593,0.000,0.230,0.593,0.052
2017-03-03,0.208,0.748,0.000,0.318,0.748,0.128
2017-03-04,0.105,0.519,0.000,0.519,0.192,0.106
2017-03-05,0.131,0.535,0.000,0.535,0.423,0.090
2017-03-06,0.254,1.000,0.002,1.000,0.031,0.038
2017-03-07,0.197,1.229,0.001,0.080,0.066,0.001
2017-03-08,0.253,0.945,0.002,0.002,0.586,0.112
2017-03-09,0.268,0.936,0.000,0.000,0.936,0.113
2017-03-10,0.210,1.056,0.000,0.000,0.158,0.049
2017-03-11,0.330,1.035,0.000,0.000,0.307,0.150
2017-03-12,0.183,0.944,0.000,0.000,0.114,0.078
2017-03-13,0.098,0.244,0.002,0.006,0.002,0.205
2017-03-14,0.174,0.631,0.000,0.025,0.010,0.067
2017-03-15,0.125,0.475,0.007,0.040,0.140,0.108
2017-03-16,0.190,1.072,0.000,0.030,0.227,0.100
2017-03-17,0.337,2.771,0.000,0.137,0.650,0.006
2017-03-18,0.109,0.327,0.000,0.185,0.090,0.025
2017-03-19,0.206,0.552,0.014,0.219,0.120,0.552
2017-03-20,0.280,1.297,0.003,0.117,0.251,0.195
2017-03-21,0.240,0.770,0.005,0.027,0.770,0.223
2017-03-22,0.192,0.661,0.008,0.008,0.661,0.158
2017-03-23,0.269,0.817,0.001,0.094,0.707,0.262
2017-03-24,0.189,0.519,0.000,0.082,0.067,0.392
2017-03-25,0.234,0.801,0.001,0.104,0.014,0.801
2017-03-26,0.263,0.756,0.038,0.038,0.281,0.756
2017-03-27,0.235,0.601,0.014,0.053,0.601,0.183
2017-03-28,0.184,0.730,0.025,0.063,0.039,0.025
2017-03-29,0.254,1.231,0.004,0.050,0.456,0.085
2017-03-30,0.423,2.122,0.019,0.201,0.218,0.171
2017-03-31,0.142,0.663,0.014,0.032,0.171,0.663
2017-04-01,0.168,0.386,0.011,0.125,0.349,0.151
2017-04-02,0.294,1.015,0.005,0.619,0.057,0.192
2017-04-03,0.662,2.233,0.073,1.060,0.341,0.583
2017-04-04,0.860,5.238,0.095,1.115,0.156,0.692
2017-04-05,0.628,1.844,0.038,0.187,0.463,0.102
2017-04-06,0.838,2.882,0.067,0.715,0.208,1.653
2017-04-07,0.985,3.689,0.118,1.989,0.412,0.118
2017-04-08,0.714,3.522,0.065,1.108,0.079,0.126
2017-04-09,0.493,1.675,0.038,0.379,0.098,1.250
2017-04-10,0.384,1.319,0.036,0.537,0.045,0.301
2017-04-11,0.382,1.729,0.072,0.218,0.275,0.072
2017-04-12,0.660,2.435,0.022,0.832,0.055,0.022
2017-04-13,1.096,4.643,0.024,1.106,0.024,0.098
2017-04-14,0.862,2.114,0.024,1.542,0.024,0.201
2017-04-15,1.770,5.022,0.107,0.602,0.178,0.112
2017-04-16,1.070,3.598,0.014,0.595,0.240,0.014
2017-04-17,0.897,2.200,0.073,1.226,0.383,0.073
2017-04-18,0.938,1.931,0.131,1.043,0.481,1.007
2017-04-19,0.878,1.733,0.190,0.190,0.194,0.726
2017-04-20,0.787,2.477,0.251,0.430,0.790,0.359
2017-04-21,1.119,2.403,0.303,0.597,0.461,0.303
2017-04-22,0.935,1.870,0.260,1.025,0.531,0.290
2017-04-23,1.349,4.531,0.083,4.531,0.389,1.202
2017-04-24,2.305,5.693,0.147,0.970,2.130,4.185
2017-04-25,1.046,2.528,0.161,0.229,1.979,1.665
2017-04-26,1.352,3.457,0.173,0.173,1.661,2.158
2017-04-27,0.938,2.231,0.171,0.451,2.231,0.860
2017-04-28,1.275,3.970,0.153,3.970,0.422,2.539
2017-04-29,1.068,4.472,0.161,1.004,0.833,0.316
2017-04-30,1.497,4.618,0.080,4.618,0.364,1.339
2017-05-01,0.946,2.508,0.210,0.788,0.361,2.508
2017-05-02,1.380,5.923,0.083,0.252,0.237,0.504
2017-05-03,1.229,3.892,0.015,0.274,1.130,0.219
2017-05-04,1.609,5.984,0.264,0.700,0.514,0.707
2017-05-05,2.136,9.473,0.223,9.473,1.965,0.223
2017-05-06,1.393,4.025,0.107,2.044,0.646,0.325
2017-05-07,1.561,3.693,0.140,3.482,1.566,1.573
2017-05-08,2.166,4.153,0.829,3.278,0.954,0.829
2017-05-09,2.142,6.958,0.334,0.549,1.594,6.958
2017-05-10,1.121,2.464,0.228,0.466,1.284,0.567
2017-05-11,1.173,2.107,0.403,1.281,1.919,0.836
2017-05-12,1.687,3.545,0.180,2.199,0.284,3.545
2017-05-13,1.366,2.721,0.277,1.565,0.711,2.081
2017-05-14,1.409,4.938,0.345,0.646,0.706,0.438
2017-05-15,1.795,6.438,0.325,0.697,2.090,1.215
2017-05-16,1.362,4.246,0.447,1.786,1.220,0.447
2017-05-17,1.467,5.923,0.210,1.411,0.305,1.103
2017-05-18,1.479,2.701,0.104,0.827,1.084,2.701
2017-05-19,1.849,4.899,0.487,1.758,1.233,4.899
2017-05-20,1.523,6.822,0.095,1.211,2.463,6.822
2017-05-21,2.105,7.529,0.282,2.124,3.602,1.784
2017-05-22,1.916,7.418,0.450,0.585,1.052,7.418
2017-05-23,1.356,3.966,0.356,0.447,0.957,1.310
2017-05-24,1.972,3.286,0.392,3.286,3.134,0.392
2017-05-25,1.690,4.338,0.303,2.072,0.614,1.879
2017-05-26,1.212,2.171,0.167,0.167,0.836,1.808
2017-05-27,1.684,8.937,0.246,1.095,0.246,0.465
2017-05-28,1.910,4.954,0.237,1.150,2.184,0.237
2017-05-29,1.947,5.202,0.410,2.076,1.351,0.410
2017-05-30,2.306,5.067,0.150,1.717,1.502,0.150
2017-05-31,1.525,5.418,0.349,1.469,0.688,1.581
2017-06-01,2.346,4.805,0.536,2.614,1.196,2.785
2017-06-02,3.394,9.876,0.426,0.426,1.776,1.491
2017-06-03,2.128,6.712,0.498,6.712,1.022,3.925
2017-06-04,3.621,7.544,0.193,2.646,0.193,1.189
2017-06-05,1.925,3.750,0.666,2.048,1.918,1.771
2017-06-06,2.034,4.800,0.259,0.259,1.199,0.469
2017-06-07,1.419,3.824,0.256,1.244,1.030,1.304
2017-06-08,2.668,6.423,0.650,5.173,1.359,0.650
2017-06-09,1.754,3.751,0.310,1.308,3.138,2.545
2017-06-10,1.967,7.003,0.132,3.582,0.793,1.974
2017-06-11,2.556,7.103,0.580,1.420,0.580,0.719
2017-06-12,1.634,2.951,0.196,0.572,0.751,1.222
2017-06-13,2.022,4.728,0.476,2.596,0.662,1.440
2017-06-14,1.891,4.417,0.830,0.851,1.068,4.417
2017-06-15,1.868,5.469,0.284,0.789,5.469,2.293
2017-06-16,1.618,3.366,0.100,0.983,0.530,0.659
2017-06-17,2.418,3.549,0.519,1.738,3.239,0.519
2017-06-18,2.430,3.980,0.641,3.980,2.424,1.150
2017-06-19,1.233,2.888,0.355,0.355,0.517,0.764
2017-06-20,1.966,3.878,0.554,1.083,0.554,1.098
2017-06-21,2.511,8.003,0.620,2.625,0.849,1.076
2017-06-22,2.768,6.413,0.561,1.205,1.900,2.385
2017-06-23,2.614,6.099,0.516,3.962,0.958,4.773
2017-06-24,1.623,4.042,0.238,0.981,1.519,2.090
2017-06-25,2.321,6.367,0.840,1.475,1.203,6.367
2017-06-26,3.395,10.714,0.344,8.045,0.344,2.298
2017-06-27,3.485,7.110,1.346,2.865,1.402,7.077
2017-06-28,1.960,3.663,0.413,0.413,0.476,1.395
2017-06-29,2.292,5.745,0.255,2.079,0.255,2.459
2017-06-30,4.008,8.218,0.556,0.556,2.417,8.218
2017-07-01,2.965,6.225,1.188,5.474,1.770,6.225
2017-07-02,2.883,5.479,1.637,1.889,1.637,2.987
2017-07-03,2.881,9.722,0.393,0.545,0.924,4.391
2017-07-04,2.179,5.573,0.475,4.603,1.623,0.475
2017-07-05,2.016,4.709,0.720,1.338,1.488,1.648
2017-07-06,2.951,5.848,0.422,2.648,2.514,4.171
2017-07-07,2.040,4.522,0.519,1.029,0.519,0.603
2017-07-08,3.084,5.894,0.340,4.351,0.340,2.102
2017-07-09,2.409,6.302,0.227,0.961,2.650,5.080
2017-07-10,3.788,8.705,0.550,1.329,2.014,2.672
2017-07-11,2.833,6.193,0.538,2.561,0.538,1.312
2017-07-12,2.075,3.734,0.439,3.734,1.436,1.265
2017-07-13,2.508,9.180,0.417,2.989,1.628,9.180
2017-07-14,2.347,4.628,0.132,0.132,1.616,0.812
2017-07-15,2.810,5.737,0.594,3.577,4.505,0.594
2017-07-16,2.997,10.938,0.242,2.668,2.125,1.744
2017-07-17,3.295,9.933,0.620,0.620,0.732,4.218
2017-07-18,2.622,10.332,0.523,4.414,1.003,1.150
2017-07-19,2.850,6.635,0.448,2.821,6.635,3.397
2017-07-20,3.111,7.259,0.464,2.588,7.259,2.997
2017-07-21,5.120,7.858,2.066,3.955,3.392,7.240
2017-07-22,2.443,4.961,0.688,4.961,1.951,1.804
2017-07-23,3.589,7.914,0.284,2.470,7.914,4.461
2017-07-24,2.542,5.900,0.423,3.993,0.702,2.937
2017-07-25,2.845,7.581,0.665,4.132,4.067,1.605
2017-07-26,3.263,6.070,1.027,1.029,4.544,1.027
2017-07-27,2.199,5.688,0.312,1.982,0.312,1.822
2017-07-28,2.744,7.096,0.192,0.751,1.051,3.218
2017-07-29,2.995,5.332,1.362,2.345,1.362,2.125
2017-07-30,2.389,4.219,1.311,3.663,1.986,1.320
2017-07-31,3.168,5.103,1.272,3.463,2.648,2.592
2017-08-01,3.225,5.306,1.356,1.571,4.747,3.273
2017-08-02,2.779,6.489,0.714,2.183,1.522,3.166
2017-08-03,2.574,5.708,0.589,2.761,0.589,2.910
2017-08-04,3.670,8.106,0.627,5.325,8.106,1.318
2017-08-05,3.695,7.953,0.491,0.491,1.719,4.641
2017-08-06,3.235,7.476,0.948,3.524,2.201,1.025
2017-08-07,4.402,9.581,1.627,3.251,3.698,1.627
2017-08-08,2.829,4.935,0.923,0.923,2.057,4.401
2017-08-09,3.062,6.388,1.067,3.249,1.067,2.373
2017-08-10,3.745,8.091,1.073,1.329,5.456,8.091
2017-08-11,2.797,10.392,0.863,1.817,5.336,0.944
2017-08-12,3.284,6.943,0.132,3.176,3.492,0.132
2017-08-13,4.881,8.567,0.514,3.353,0.514,5.495
2017-08-14,2.982,5.984,1.140,1.685,1.140,4.975
2017-08-15,3.242,7.783,1.236,2.176,4.059,1.988
2017-08-16,3.041,5.468,0.682,3.724,1.211,3.645
2017-08-17,2.974,5.877,0.739,2.903,2.350,2.962
2017-08-18,4.546,10.316,0.772,6.418,7.093,3.507
2017-08-19,3.839,7.245,1.177,3.331,7.245,3.910
2017-08-20,2.363,4.826,0.281,0.281,0.661,4.183
2017-08-21,3.664,6.307,1.454,2.481,2.454,6.253
2017-08-22,4.167,7.533,1.185,7.533,7.489,6.018
2017-08-23,3.425,8.485,1.171,4.378,8.485,4.262
2017-08-24,4.049,8.280,0.705,1.929,6.796,8.280
2017-08-25,3.427,6.690,1.027,5.949,1.027,1.610
2017-08-26,3.020,5.455,1.719,2.078,1.719,3.619
2017-08-27,2.740,3.946,0.200,0.200,2.530,2.560
2017-08-28,3.167,5.647,1.031,4.816,3.319,5.647
2017-08-29,5.471,9.528,2.726,3.433,4.674,3.241
2017-08-30,3.627,5.592,1.388,1.388,4.797,3.415
2017-08-31,2.876,5.257,1.156,1.449,2.583,1.981
2017-09-01,4.554,8.036,1.036,3.461,1.036,6.720
2017-09-02,2.200,6.344,0.519,0.683,0.827,1.282
2017-09-03,3.286,6.698,1.086,3.132,3.198,1.430
2017-09-04,3.733,8.423,1.479,3.578,1.479,1.662
2017-09-05,3.477,8.078,0.842,1.012,3.320,4.170
2017-09-06,4.342,7.991,2.047,2.541,2.047,4.451
2017-09-07,2.720,5.323,0.399,0.399,0.755,1.796
2017-09-08,2.648,3.667,0.716,3.093,3.137,1.890
2017-09-09,3.294,5.729,1.199,2.299,4.858,2.039
2017-09-10,2.730,4.983,1.467,3.724,4.983,3.630
2017-09-11,2.089,7.258,0.296,0.604,7.258,2.048
2017-09-12,3.136,5.827,0.662,5.581,4.635,2.095
2017-09-13,2.700,6.252,1.079,1.452,2.433,6.252
2017-09-14,2.186,3.800,0.523,0.523,1.451,2.007
2017-09-15,2.204,3.666,0.501,3.620,2.006,2.958
2017-09-16,2.315,6.254,0.573,0.676,3.953,3.847
2017-09-17,2.056,5.863,0.301,1.747,2.201,3.461
2017-09-18,2.426,4.397,0.773,1.617,3.853,1.362
2017-09-19,2.290,5.176,0.467,0.467,3.158,1.287
2017-09-20,2.848,6.485,0.829,1.041,2.221,1.557
2017-09-21,2.174,4.016,0.613,3.444,1.789,2.163
2017-09-22,1.610,3.153,0.612,1.052,1.444,2.162
2017-09-23,1.712,3.490,0.434,1.722,1.262,2.467
2017-09-24,2.631,5.644,0.258,1.766,2.507,1.581
2017-09-25,2.099,4.934,0.506,0.506,2.002,2.131
2017-09-26,1.498,4.129,0.334,0.972,0.368,1.439
2017-09-27,2.082,5.047,0.934,1.092,4.079,1.578
2017-09-28,1.916,2.745,1.066,1.066,1.592,2.049
2017-09-29,1.822,6.441,0.622,0.774,0.665,6.441
2017-09-30,2.151,6.641,0.290,1.306,5.783,3.546
2017-10-01,1.600,3.344,0.329,2.453,1.958,1.774
2017-10-02,1.265,3.134,0.153,1.293,1.192,0.153
2017-10-03,1.400,3.238,0.469,0.783,0.716,2.481
2017-10-04,1.506,3.577,0.298,1.596,0.868,3.577
2017-10-05,1.481,3.597,0.536,0.676,0.968,2.029
2017-10-06,1.845,3.921,0.394,3.921,0.685,1.236
2017-10-07,1.471,3.709,0.394,0.894,1.924,0.394
2017-10-08,1.397,1.947,0.690,1.462,1.240,1.607
2017-10-09,0.911,1.739,0.354,0.599,1.284,1.130
2017-10-10,0.834,2.382,0.063,0.287,0.968,1.004
2017-10-11,1.196,2.722,0.305,0.751,1.030,0.461
2017-10-12,1.974,4.062,0.257,0.803,1.077,3.892
