date,maximum,minimum,average
2016-10-02,0.000,0.000,0.000
2016-10-03,0.000,0.000,0.000
2016-10-04,0.000,0.000,0.000
2016-10-05,0.000,0.000,0.000
2016-10-06,0.001,0.000,0.000
2016-10-07,0.001,0.000,0.000
2016-10-08,0.001,0.000,0.000
2016-10-09,0.002,0.000,0.000
2016-10-10,0.001,0.000,0.000
2016-10-11,0.001,0.000,0.000
2016-10-12,0.001,0.000,0.000
2016-10-13,0.005,0.000,0.000
2016-10-14,0.007,0.000,0.001
2016-10-15,0.005,0.000,0.000
2016-10-16,0.003,0.000,0.001
2016-10-17,0.002,0.000,0.000
2016-10-18,0.003,0.000,0.000
2016-10-19,0.054,0.000,0.004
2016-10-20,0.038,0.000,0.003
2016-10-21,0.023,0.000,0.002
2016-10-22,0.015,0.000,0.001
2016-10-23,0.027,0.000,0.004
2016-10-24,0.028,0.000,0.004
2016-10-25,0.021,0.000,0.004
2016-10-26,0.015,0.000,0.004
2016-10-27,0.018,0.000,0.004
2016-10-28,0.029,0.000,0.006
2016-10-29,0.020,0.000,0.007
2016-10-30,0.320,0.000,0.025
2016-10-31,0.507,0.000,0.038
2016-11-01,0.350,0.000,0.042
2016-11-02,1.284,0.000,0.171
2016-11-03,1.629,0.000,0.209
2016-11-04,1.697,0.000,0.186
2016-11-05,1.422,0.000,0.158
2016-11-06,1.204,0.000,0.176
2016-11-07,1.227,0.000,0.222
2016-11-08,1.075,0.000,0.323
2016-11-09,7.461,0.000,0.748
2016-11-10,6.119,0.000,0.672
2016-11-11,2.754,0.000,0.420
2016-11-12,1.327,0.000,0.321
2016-11-13,1.084,0.000,0.287
2016-11-14,0.854,0.000,0.227
2016-11-15,0.866,0.000,0.225
2016-11-16,1.714,0.000,0.327
2016-11-17,1.815,0.000,0.381
2016-11-18,1.608,0.000,0.359
2016-11-19,1.301,0.000,0.302
2016-11-20,0.838,0.002,0.242
2016-11-21,1.370,0.002,0.295
2016-11-22,1.490,0.001,0.277
2016-11-23,1.437,0.001,0.454
2016-11-24,1.669,0.001,0.453
2016-11-25,2.799,0.001,0.512
2016-11-26,3.478,0.000,0.715
2016-11-27,6.925,0.000,0.885
2016-11-28,6.160,0.001,0.820
2016-11-29,5.115,0.001,0.836
2016-11-30,4.087,0.001,0.815
2016-12-01,4.135,0.001,1.003
2016-12-02,6.841,0.001,1.252
2016-12-03,6.332,0.001,1.438
2016-12-04,7.840,0.001,2.331
2016-12-05,10.175,0.001,2.360
2016-12-06,9.351,0.001,2.052
2016-12-07,8.672,0.002,1.834
2016-12-08,8.153,0.003,1.785
2016-12-09,7.606,0.002,1.740
2016-12-10,11.688,0.002,1.992
2016-12-11,12.810,0.002,2.283
2016-12-12,12.455,0.002,2.705
2016-12-13,12.337,0.002,2.957
2016-12-14,11.899,0.002,2.908
2016-12-15,11.617,0.003,2.758
2016-12-16,11.222,0.067,2.589
2016-12-17,11.597,0.053,2.775
2016-12-18,11.220,0.040,3.321
2016-12-19,13.597,0.079,3.766
2016-12-20,14.304,0.059,3.689
2016-12-21,13.332,0.051,3.600
2016-12-22,11.896,0.045,3.509
2016-12-23,10.219,0.040,3.586
2016-12-24,9.441,0.041,3.606
2016-12-25,10.093,0.042,3.571
2016-12-26,11.083,0.037,3.511
2016-12-27,16.082,0.032,4.215
2016-12-28,21.122,0.028,4.836
2016-12-29,20.911,0.024,5.064
2016-12-30,20.231,0.021,5.314
2016-12-31,17.957,0.018,5.020
2017-01-01,16.642,0.015,4.767
2017-01-02,17.063,0.013,4.662
2017-01-03,15.550,0.011,4.760
2017-01-04,14.408,0.019,4.880
2017-01-05,13.518,0.018,5.062
2017-01-06,12.262,0.038,5.005
2017-01-07,10.859,0.305,5.000
2017-01-08,24.472,0.260,5.862
2017-01-09,24.169,0.215,5.765
2017-01-10,23.834,0.565,5.641
2017-01-11,23.995,0.550,5.638
2017-01-12,23.682,1.113,6.192
2017-01-13,29.191,1.167,7.036
2017-01-14,30.292,0.926,7.537
2017-01-15,31.799,0.726,8.017
2017-01-16,35.397,0.565,8.438
2017-01-17,35.913,0.431,8.611
2017-01-18,35.893,0.418,8.607
2017-01-19,36.293,0.747,8.568
2017-01-20,36.638,1.411,8.571
2017-01-21,36.776,1.224,8.677
2017-01-22,36.828,1.031,8.633
2017-01-23,36.722,0.872,8.720
2017-01-24,36.692,0.784,8.722
2017-01-25,36.663,0.788,8.882
2017-01-26,36.539,1.011,8.909
2017-01-27,36.315,0.960,8.881
2017-01-28,36.589,0.835,9.124
2017-01-29,36.019,0.845,9.993
2017-01-30,33.984,1.052,10.137
2017-01-31,31.306,0.981,10.546
2017-02-01,28.464,0.924,10.134
2017-02-02,29.239,0.793,10.053
2017-02-03,37.616,0.587,10.674
2017-02-04,37.858,0.436,11.022
2017-02-05,39.010,0.316,11.304
2017-02-06,39.823,0.630,11.549
2017-02-07,39.774,2.749,11.693
2017-02-08,39.518,2.482,11.866
2017-02-09,38.698,2.184,11.657
2017-02-10,37.706,1.837,11.548
2017-02-11,37.481,1.465,11.212
2017-02-12,37.227,1.140,11.267
2017-02-13,34.897,1.316,11.225
2017-02-14,38.072,1.240,11.460
2017-02-15,39.552,1.108,11.326
2017-02-16,35.750,1.631,10.953
2017-02-17,29.722,1.676,10.395
2017-02-18,26.225,1.448,10.101
2017-02-19,23.057,1.191,9.989
2017-02-20,19.315,1.478,10.166
2017-02-21,20.766,1.281,9.883
2017-02-22,22.173,1.047,9.799
2017-02-23,22.001,1.063,9.994
2017-02-24,21.674,0.953,10.480
2017-02-25,21.098,0.844,10.730
2017-02-26,20.249,0.774,10.648
2017-02-27,23.879,0.687,10.854
2017-02-28,22.547,0.624,10.905
2017-03-01,22.172,0.562,10.505
2017-03-02,24.099,0.469,10.301
2017-03-03,23.086,0.407,10.171
2017-03-04,24.518,0.310,10.140
2017-03-05,23.782,0.208,9.823
2017-03-06,22.930,0.165,9.527
2017-03-07,23.734,0.135,9.783
2017-03-08,24.235,0.109,9.942
2017-03-09,23.439,0.079,10.059
2017-03-10,21.996,0.055,9.494
2017-03-11,25.049,0.038,9.375
2017-03-12,24.438,0.295,9.397
2017-03-13,23.625,0.241,9.008
2017-03-14,22.682,0.226,8.467
2017-03-15,22.140,0.192,7.934
2017-03-16,21.426,0.160,7.395
2017-03-17,19.885,0.086,6.994
2017-03-18,18.914,0.079,6.630
2017-03-19,22.043,0.518,6.761
2017-03-20,22.985,0.315,6.488
2017-03-21,20.878,0.269,6.064
2017-03-22,19.062,0.160,5.690
2017-03-23,17.730,0.118,5.488
2017-03-24,16.767,0.065,5.420
2017-03-25,16.907,0.035,5.198
2017-03-26,16.775,0.018,4.843
2017-03-27,16.142,0.032,4.551
2017-03-28,15.334,0.062,4.283
2017-03-29,14.291,0.042,4.070
2017-03-30,13.166,0.022,3.787
2017-03-31,12.022,0.012,3.553
2017-04-01,13.002,0.010,3.317
2017-04-02,12.935,0.006,3.179
2017-04-03,12.291,0.029,3.024
2017-04-04,12.039,0.015,2.836
2017-04-05,11.465,0.012,2.638
2017-04-06,10.997,0.007,2.493
2017-04-07,10.237,0.004,2.371
2017-04-08,9.505,0.002,2.176
2017-04-09,8.659,0.001,2.012
2017-04-10,7.819,0.000,1.812
2017-04-11,7.033,0.000,1.624
2017-04-12,6.199,0.000,1.450
2017-04-13,5.393,0.000,1.277
2017-04-14,4.662,0.000,1.118
2017-04-15,4.237,0.000,1.066
2017-04-16,3.553,0.000,0.959
2017-04-17,3.129,0.000,0.828
2017-04-18,2.651,0.000,0.724
2017-04-19,2.362,0.000,0.706
2017-04-20,2.235,0.000,0.622
2017-04-21,2.326,0.000,0.541
2017-04-22,2.376,0.000,0.478
2017-04-23,2.155,0.000,0.409
2017-04-24,1.965,0.000,0.352
2017-04-25,1.774,0.000,0.302
2017-04-26,1.761,0.000,0.268
2017-04-27,1.724,0.000,0.245
2017-04-28,1.586,0.000,0.213
2017-04-29,1.613,0.000,0.213
2017-04-30,1.444,0.000,0.190
2017-05-01,1.271,0.000,0.158
2017-05-02,1.110,0.000,0.130
2017-05-03,0.979,0.000,0.109
2017-05-04,0.927,0.000,0.096
2017-05-05,0.863,0.000,0.083
2017-05-06,0.765,0.000,0.071
2017-05-07,0.686,0.000,0.062
2017-05-08,0.617,0.000,0.054
2017-05-09,0.503,0.000,0.045
2017-05-10,0.442,0.000,0.038
2017-05-11,0.379,0.000,0.033
2017-05-12,0.307,0.000,0.027
2017-05-13,0.240,0.000,0.021
2017-05-14,0.178,0.000,0.016
2017-05-15,0.136,0.000,0.013
2017-05-16,0.102,0.000,0.010
2017-05-17,0.077,0.000,0.007
2017-05-18,0.055,0.000,0.006
2017-05-19,0.041,0.000,0.006
2017-05-20,0.029,0.000,0.004
2017-05-21,0.020,0.000,0.003
2017-05-22,0.015,0.000,0.002
2017-05-23,0.011,0.000,0.001
2017-05-24,0.007,0.000,0.001
2017-05-25,0.004,0.000,0.000
2017-05-26,0.002,0.000,0.000
2017-05-27,0.001,0.000,0.000
2017-05-28,0.001,0.000,0.000
2017-05-29,0.000,0.000,0.000
2017-05-30,0.000,0.000,0.000
2017-05-31,0.000,0.000,0.000
2017-06-01,0.000,0.000,0.000
2017-06-02,0.000,0.000,0.000
2017-06-03,0.000,0.000,0.000
2017-06-04,0.000,0.000,0.000
2017-06-05,0.000,0.000,0.000
2017-06-06,0.000,0.000,0.000
2017-06-07,0.000,0.000,0.000
2017-06-08,0.000,0.000,0.000
2017-06-09,0.000,0.000,0.000
2017-06-10,0.000,0.000,0.000
2017-06-11,0.000,0.000,0.000
2017-06-12,0.000,0.000,0.000
2017-06-13,0.000,0.000,0.000
2017-06-14,0.000,0.000,0.000
2017-06-15,0.000,0.000,0.000
2017-06-16,0.000,0.000,0.000
2017-06-17,0.000,0.000,0.000
2017-06-18,0.000,0.000,0.000
2017-06-19,0.000,0.000,0.000
2017-06-20,0.000,0.000,0.000
2017-06-21,0.000,0.000,0.000
2017-06-22,0.000,0.000,0.000
2017-06-23,0.000,0.000,0.000
2017-06-24,0.000,0.000,0.000
2017-06-25,0.000,0.000,0.000
2017-06-26,0.000,0.000,0.000
2017-06-27,0.000,0.000,0.000
2017-06-28,0.000,0.000,0.000
2017-06-29,0.000,0.000,0.000
2017-06-30,0.000,0.000,0.000
2017-07-01,0.000,0.000,0.000
2017-07-02,0.000,0.000,0.000
2017-07-03,0.000,0.000,0.000
2017-07-04,0.000,0.000,0.000
2017-07-05,0.000,0.000,0.000
2017-07-06,0.000,0.000,0.000
2017-07-07,0.000,0.000,0.000
2017-07-08,0.000,0.000,0.000
2017-07-09,0.000,0.000,0.000
2017-07-10,0.000,0.000,0.000
2017-07-11,0.000,0.000,0.000
2017-07-12,0.000,0.000,0.000
2017-07-13,0.000,0.000,0.000
2017-07-14,0.000,0.000,0.000
2017-07-15,0.000,0.000,0.000
2017-07-16,0.000,0.000,0.000
2017-07-17,0.000,0.000,0.000
2017-07-18,0.000,0.000,0.000
2017-07-19,0.000,0.000,0.000
2017-07-20,0.000,0.000,0.000
2017-07-21,0.000,0.000,0.000
2017-07-22,0.000,0.000,0.000
2017-07-23,0.000,0.000,0.000
2017-07-24,0.000,0.000,0.000
2017-07-25,0.000,0.000,0.000
2017-07-26,0.000,0.000,0.000
2017-07-27,0.000,0.000,0.000
2017-07-28,0.000,0.000,0.000
2017-07-29,0.000,0.000,0.000
2017-07-30,0.000,0.000,0.000
2017-07-31,0.000,0.000,0.000
2017-08-01,0.000,0.000,0.000
2017-08-02,0.000,0.000,0.000
2017-08-03,0.000,0.000,0.000
2017-08-04,0.000,0.000,0.000
2017-08-05,0.000,0.000,0.000
2017-08-06,0.000,0.000,0.000
2017-08-07,0.000,0.000,0.000
2017-08-08,0.000,0.000,0.000
2017-08-09,0.000,0.000,0.000
2017-08-10,0.000,0.000,0.000
2017-08-11,0.000,0.000,0.000
2017-08-12,0.000,0.000,0.000
2017-08-13,0.000,0.000,0.000
2017-08-14,0.000,0.000,0.000
2017-08-15,0.000,0.000,0.000
2017-08-16,0.000,0.000,0.000
2017-08-17,0.000,0.000,0.000
2017-08-18,0.000,0.000,0.000
2017-08-19,0.000,0.000,0.000
2017-08-20,0.000,0.000,0.000
2017-08-21,0.000,0.000,0.000
2017-08-22,0.000,0.000,0.000
2017-08-23,0.000,0.000,0.000
2017-08-24,0.000,0.000,0.000
2017-08-25,0.000,0.000,0.000
2017-08-26,0.000,0.000,0.000
2017-08-27,0.000,0.000,0.000
2017-08-28,0.000,0.000,0.000
2017-08-29,0.000,0.000,0.000
2017-08-30,0.000,0.000,0.000
2017-08-31,0.000,0.000,0.000
2017-09-01,0.000,0.000,0.000
2017-09-02,0.000,0.000,0.000
2017-09-03,0.000,0.000,0.000
2017-09-04,0.000,0.000,0.000
2017-09-05,0.000,0.000,0.000
2017-09-06,0.000,0.000,0.000
2017-09-07,0.000,0.000,0.000
2017-09-08,0.000,0.000,0.000
2017-09-09,0.000,0.000,0.000
2017-09-10,0.000,0.000,0.000
2017-09-11,0.000,0.000,0.000
2017-09-12,0.000,0.000,0.000
2017-09-13,0.000,0.000,0.000
2017-09-14,0.000,0.000,0.000
2017-09-15,0.000,0.000,0.000
2017-09-16,0.000,0.000,0.000
2017-09-17,0.000,0.000,0.000
2017-09-18,0.000,0.000,0.000
2017-09-19,0.000,0.000,0.000
2017-09-20,0.000,0.000,0.000
2017-09-21,0.007,0.000,0.000
2017-09-22,0.006,0.000,0.000
2017-09-23,0.004,0.000,0.000
2017-09-24,0.002,0.000,0.000
2017-09-25,0.002,0.000,0.000
2017-09-26,0.002,0.000,0.000
2017-09-27,0.002,0.000,0.000
2017-09-28,0.001,0.000,0.000
2017-09-29,0.001,0.000,0.000
2017-09-30,0.001,0.000,0.000
2017-10-01,0.000,0.000,0.000
