date,maximum,minimum,average
2017-01-01,10.973,0.009,1.693
2017-01-02,4.463,0.005,0.859
2017-01-03,4.171,0.000,0.842
2017-01-04,2.917,0.001,0.790
2017-01-05,3.792,0.005,0.663
2017-01-06,3.526,0.000,0.989
2017-01-07,7.894,0.006,1.328
2017-01-08,7.099,0.008,1.409
2017-01-09,1.920,0.000,0.692
2017-01-10,4.828,0.005,1.206
2017-01-11,2.147,0.014,0.566
2017-01-12,4.048,0.004,1.040
2017-01-13,7.013,0.020,1.516
2017-01-14,3.471,0.004,1.235
2017-01-15,3.593,0.001,1.072
2017-01-16,2.605,0.002,0.704
2017-01-17,10.537,0.010,1.363
2017-01-18,4.108,0.001,1.423
2017-01-19,6.034,0.001,1.004
2017-01-20,5.550,0.020,1.483
2017-01-21,8.043,0.041,1.937
2017-01-22,3.916,0.000,1.471
2017-01-23,5.495,0.000,1.309
2017-01-24,6.206,0.085,1.372
2017-01-25,3.101,0.005,0.957
2017-01-26,5.732,0.008,1.421
2017-01-27,7.047,0.002,1.689
2017-01-28,3.349,0.037,0.864
2017-01-29,2.732,0.042,1.168
2017-01-30,2.126,0.061,0.847
2017-01-31,2.413,0.032,0.772
2017-02-01,3.572,0.005,0.951
2017-02-02,4.016,0.001,0.929
2017-02-03,3.983,0.001,1.051
2017-02-04,2.196,0.000,0.852
2017-02-05,6.390,0.001,0.861
2017-02-06,3.624,0.002,0.778
2017-02-07,4.732,0.000,1.186
2017-02-08,5.037,0.004,1.350
2017-02-09,3.824,0.075,1.449
2017-02-10,4.201,0.024,1.216
2017-02-11,4.047,0.052,1.172
2017-02-12,2.218,0.008,0.638
2017-02-13,5.115,0.001,1.134
2017-02-14,2.714,0.000,0.928
2017-02-15,3.933,0.034,0.663
2017-02-16,3.683,0.011,1.040
2017-02-17,3.221,0.008,0.979
2017-02-18,9.098,0.030,1.944
2017-02-19,4.040,0.001,1.314
2017-02-20,4.533,0.020,1.440
2017-02-21,4.366,0.001,0.998
2017-02-22,5.869,0.003,0.970
2017-02-23,4.836,0.006,1.245
2017-02-24,4.584,0.002,1.583
2017-02-25,9.124,0.000,1.751
2017-02-26,3.171,0.036,0.768
2017-02-27,2.702,0.019,0.815
2017-02-28,2.922,0.012,0.686
2017-03-01,2.813,0.068,0.683
2017-03-02,1.563,0.003,0.327
2017-03-03,2.790,0.033,0.669
2017-03-04,2.108,0.008,0.764
2017-03-05,1.880,0.007,0.681
2017-03-06,2.135,0.009,0.621
2017-03-07,4.550,0.000,0.956
2017-03-08,2.620,0.000,0.530
2017-03-09,3.429,0.014,0.619
2017-03-10,1.814,0.013,0.631
2017-03-11,5.317,0.042,1.260
2017-03-12,4.607,0.015,1.014
2017-03-13,2.543,0.065,0.465
2017-03-14,5.613,0.005,0.747
2017-03-15,3.476,0.001,0.594
2017-03-16,6.448,0.001,1.346
2017-03-17,4.460,0.001,0.814
2017-03-18,1.386,0.004,0.494
2017-03-19,3.888,0.001,0.807
2017-03-20,5.799,0.000,0.787
2017-03-21,4.524,0.000,1.197
2017-03-22,3.785,0.001,0.932
2017-03-23,7.339,0.000,1.158
2017-03-24,3.430,0.007,0.952
2017-03-25,4.379,0.028,0.725
2017-03-26,3.174,0.000,1.044
2017-03-27,7.417,0.000,1.197
2017-03-28,5.707,0.000,0.635
2017-03-29,3.981,0.000,0.499
2017-03-30,3.065,0.000,0.661
2017-03-31,9.113,0.000,1.361
2017-04-01,6.369,0.024,1.450
2017-04-02,6.502,0.000,1.166
2017-04-03,2.213,0.000,0.461
2017-04-04,2.239,0.000,0.543
2017-04-05,5.050,0.000,0.887
2017-04-06,12.087,0.001,1.398
2017-04-07,14.624,0.000,1.820
2017-04-08,3.559,0.001,0.582
2017-04-09,5.055,0.005,0.545
2017-04-10,3.467,0.000,0.663
2017-04-11,2.281,0.000,0.475
2017-04-12,1.219,0.000,0.235
2017-04-13,2.913,0.000,0.416
2017-04-14,1.953,0.000,0.325
2017-04-15,1.929,0.000,0.396
2017-04-16,4.978,0.000,0.824
2017-04-17,8.093,0.001,0.845
2017-04-18,2.152,0.000,0.516
2017-04-19,3.244,0.000,0.679
2017-04-20,4.894,0.000,0.884
2017-04-21,4.324,0.000,0.705
2017-04-22,6.758,0.003,0.735
2017-04-23,3.476,0.003,0.671
2017-04-24,2.944,0.000,0.720
2017-04-25,0.767,0.000,0.150
2017-04-26,2.498,0.000,0.274
2017-04-27,7.568,0.000,0.772
2017-04-28,0.316,0.000,0.051
2017-04-29,0.789,0.000,0.084
2017-04-30,0.700,0.000,0.241
2017-05-01,3.876,0.000,0.395
2017-05-02,4.761,0.000,0.779
2017-05-03,6.979,0.000,0.878
2017-05-04,2.214,0.000,0.350
2017-05-05,1.974,0.000,0.272
2017-05-06,2.562,0.000,0.394
2017-05-07,0.732,0.000,0.097
2017-05-08,2.351,0.000,0.215
2017-05-09,2.911,0.000,0.267
2017-05-10,2.476,0.000,0.286
2017-05-11,0.770,0.000,0.185
2017-05-12,0.342,0.000,0.051
2017-05-13,4.924,0.000,0.390
2017-05-14,3.371,0.000,0.480
2017-05-15,6.003,0.000,0.460
2017-05-16,2.410,0.000,0.274
2017-05-17,4.427,0.000,0.532
2017-05-18,0.914,0.000,0.094
2017-05-19,2.708,0.000,0.209
2017-05-20,7.153,0.000,0.689
2017-05-21,0.961,0.000,0.175
2017-05-22,7.223,0.000,0.504
2017-05-23,0.943,0.000,0.174
2017-05-24,3.372,0.000,0.245
2017-05-25,2.023,0.000,0.175
2017-05-26,0.641,0.001,0.102
2017-05-27,0.117,0.000,0.030
2017-05-28,1.184,0.000,0.115
2017-05-29,0.992,0.000,0.134
2017-05-30,2.804,0.000,0.205
2017-05-31,2.068,0.000,0.183
2017-06-01,0.714,0.000,0.076
2017-06-02,0.469,0.000,0.090
2017-06-03,2.491,0.000,0.244
2017-06-04,2.336,0.000,0.224
2017-06-05,0.725,0.001,0.081
