date,maximum,minimum,average
2017-01-01,0.263,0.000,0.044
2017-01-02,0.236,0.000,0.036
2017-01-03,0.855,0.000,0.093
2017-01-04,1.951,0.000,0.144
2017-01-05,2.843,0.000,0.179
2017-01-06,0.223,0.000,0.029
2017-01-07,2.076,0.000,0.190
2017-01-08,0.399,0.000,0.066
2017-01-09,4.581,0.000,0.328
2017-01-10,3.922,0.000,0.329
2017-01-11,0.512,0.000,0.115
2017-01-12,1.233,0.000,0.198
2017-01-13,2.513,0.000,0.254
2017-01-14,0.872,0.000,0.123
2017-01-15,0.141,0.000,0.032
2017-01-16,0.801,0.000,0.120
2017-01-17,0.572,0.000,0.072
2017-01-18,0.678,0.000,0.056
2017-01-19,0.672,0.000,0.058
2017-01-20,0.288,0.000,0.033
2017-01-21,0.337,0.000,0.048
2017-01-22,2.261,0.000,0.234
2017-01-23,0.808,0.000,0.086
2017-01-24,0.234,0.000,0.034
2017-01-25,0.201,0.000,0.024
2017-01-26,0.540,0.000,0.089
2017-01-27,1.497,0.000,0.145
2017-01-28,0.470,0.000,0.083
2017-01-29,0.112,0.000,0.017
2017-01-30,0.028,0.000,0.004
2017-01-31,0.217,0.000,0.014
2017-02-01,0.116,0.000,0.018
2017-02-02,0.417,0.000,0.030
2017-02-03,0.500,0.000,0.064
2017-02-04,0.553,0.000,0.069
2017-02-05,0.090,0.000,0.013
2017-02-06,1.244,0.000,0.107
2017-02-07,12.717,0.000,0.808
2017-02-08,0.768,0.000,0.076
2017-02-09,0.186,0.000,0.015
2017-02-10,0.078,0.000,0.011
2017-02-11,1.184,0.000,0.098
2017-02-12,0.641,0.000,0.062
2017-02-13,1.406,0.000,0.123
2017-02-14,0.144,0.000,0.019
2017-02-15,3.252,0.000,0.226
2017-02-16,0.418,0.000,0.048
2017-02-17,0.078,0.000,0.011
2017-02-18,0.130,0.000,0.009
2017-02-19,0.222,0.000,0.016
2017-02-20,1.671,0.000,0.105
2017-02-21,0.950,0.000,0.094
2017-02-22,0.326,0.000,0.031
2017-02-23,0.055,0.000,0.004
2017-02-24,0.047,0.000,0.003
2017-02-25,0.039,0.000,0.004
2017-02-26,0.046,0.000,0.006
2017-02-27,1.513,0.000,0.096
2017-02-28,1.711,0.000,0.113
2017-03-01,0.200,0.000,0.013
2017-03-02,0.387,0.000,0.039
2017-03-03,0.283,0.000,0.023
2017-03-04,0.283,0.000,0.021
2017-03-05,1.116,0.000,0.071
2017-03-06,0.230,0.000,0.026
2017-03-07,0.310,0.000,0.025
2017-03-08,0.246,0.000,0.022
2017-03-09,0.128,0.000,0.014
2017-03-10,0.043,0.000,0.006
2017-03-11,0.111,0.000,0.008
2017-03-12,0.030,0.000,0.004
2017-03-13,0.187,0.000,0.015
2017-03-14,0.057,0.000,0.004
2017-03-15,0.101,0.000,0.009
2017-03-16,0.522,0.000,0.041
2017-03-17,0.483,0.000,0.049
2017-03-18,0.116,0.000,0.014
2017-03-19,0.130,0.000,0.009
2017-03-20,0.036,0.000,0.004
2017-03-21,0.058,0.000,0.004
2017-03-22,0.012,0.000,0.002
2017-03-23,0.063,0.000,0.007
2017-03-24,0.469,0.000,0.033
2017-03-25,0.198,0.000,0.019
2017-03-26,0.191,0.000,0.026
2017-03-27,0.096,0.000,0.008
2017-03-28,0.228,0.000,0.021
2017-03-29,5.340,0.000,0.420
2017-03-30,0.354,0.000,0.034
2017-03-31,1.422,0.000,0.106
2017-04-01,1.373,0.000,0.108
2017-04-02,0.352,0.000,0.024
2017-04-03,0.222,0.000,0.017
2017-04-04,0.275,0.000,0.030
2017-04-05,0.038,0.000,0.005
