date,maximum,minimum,average
2017-01-01,0.038,0.001,0.010
2017-01-02,0.022,0.001,0.007
2017-01-03,0.024,0.001,0.008
2017-01-04,0.021,0.001,0.007
2017-01-05,0.021,0.001,0.007
2017-01-06,0.021,0.001,0.007
2017-01-07,0.025,0.001,0.007
2017-01-08,0.035,0.001,0.010
2017-01-09,0.046,0.001,0.009
2017-01-10,0.020,0.001,0.007
2017-01-11,0.118,0.001,0.014
2017-01-12,0.019,0.001,0.007
2017-01-13,0.019,0.001,0.007
2017-01-14,0.019,0.001,0.007
2017-01-15,0.018,0.001,0.007
2017-01-16,0.018,0.001,0.007
2017-01-17,0.018,0.001,0.007
2017-01-18,0.018,0.001,0.007
2017-01-19,0.017,0.001,0.006
2017-01-20,2.830,0.001,0.183
2017-01-21,0.105,0.001,0.013
2017-01-22,0.060,0.001,0.011
2017-01-23,0.054,0.001,0.010
2017-01-24,0.047,0.001,0.009
2017-01-25,0.040,0.001,0.009
2017-01-26,0.034,0.001,0.008
2017-01-27,0.030,0.001,0.008
2017-01-28,0.026,0.001,0.008
2017-01-29,0.023,0.001,0.008
2017-01-30,0.020,0.001,0.007
2017-01-31,0.018,0.001,0.006
2017-02-01,0.016,0.001,0.006
2017-02-02,0.034,0.001,0.008
2017-02-03,0.027,0.001,0.008
2017-02-04,0.015,0.001,0.006
2017-02-05,0.035,0.001,0.008
2017-02-06,0.014,0.001,0.006
2017-02-07,0.014,0.001,0.006
2017-02-08,0.018,0.001,0.007
2017-02-09,0.023,0.001,0.008
2017-02-10,0.720,0.001,0.051
2017-02-11,0.135,0.001,0.019
2017-02-12,0.104,0.001,0.012
2017-02-13,0.111,0.001,0.013
2017-02-14,0.067,0.001,0.010
2017-02-15,0.060,0.001,0.013
2017-02-16,0.165,0.001,0.016
2017-02-17,0.092,0.001,0.020
2017-02-18,0.046,0.001,0.009
2017-02-19,0.087,0.002,0.016
2017-02-20,0.045,0.001,0.009
2017-02-21,0.040,0.001,0.009
2017-02-22,0.117,0.001,0.017
2017-02-23,0.123,0.001,0.015
2017-02-24,0.033,0.001,0.008
2017-02-25,0.031,0.001,0.007
2017-02-26,0.070,0.001,0.014
2017-02-27,0.152,0.001,0.016
2017-02-28,0.152,0.001,0.019
2017-03-01,0.027,0.001,0.008
2017-03-02,0.028,0.001,0.008
2017-03-03,0.051,0.001,0.009
2017-03-04,0.028,0.001,0.009
2017-03-05,0.097,0.001,0.013
2017-03-06,0.073,0.001,0.014
2017-03-07,0.218,0.001,0.027
2017-03-08,0.024,0.001,0.007
2017-03-09,0.480,0.001,0.037
2017-03-10,0.059,0.001,0.012
2017-03-11,1.855,0.001,0.139
2017-03-12,0.113,0.001,0.019
