date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.830,5.176,0.000,5.176,0.835,3.043
2017-01-02,0.102,0.480,0.000,0.220,0.025,0.054
2017-01-03,0.751,7.865,0.000,0.025,0.976,0.000
2017-01-04,0.648,7.458,0.000,0.004,0.021,0.005
2017-01-05,0.076,0.361,0.000,0.068,0.000,0.000
2017-01-06,0.233,2.184,0.000,0.271,0.117,0.000
2017-01-07,0.017,0.091,0.000,0.091,0.002,0.000
2017-01-08,0.009,0.069,0.000,0.034,0.003,0.000
2017-01-09,0.142,1.572,0.000,0.031,0.000,0.000
2017-01-10,0.394,4.298,0.000,0.001,0.000,0.007
2017-01-11,0.243,1.408,0.000,0.006,0.000,0.000
2017-01-12,0.107,0.913,0.000,0.000,0.007,0.011
2017-01-13,0.190,1.781,0.000,1.781,0.000,0.000
2017-01-14,0.063,0.349,0.000,0.349,0.000,0.054
2017-01-15,0.059,0.473,0.000,0.473,0.001,0.007
2017-01-16,0.962,8.482,0.000,8.482,0.001,2.725
2017-01-17,0.326,2.772,0.000,0.447,0.030,0.431
2017-01-18,0.125,1.283,0.000,0.015,0.008,1.283
2017-01-19,0.062,0.421,0.000,0.000,0.050,0.421
2017-01-20,0.156,1.764,0.000,0.000,0.001,1.764
2017-01-21,0.643,6.198,0.000,0.000,6.198,1.309
2017-01-22,0.030,0.218,0.000,0.000,0.110,0.026
2017-01-23,0.156,1.459,0.000,0.002,0.000,0.000
2017-01-24,0.383,3.336,0.000,0.041,0.000,0.001
2017-01-25,0.147,0.726,0.000,0.726,0.000,0.001
2017-01-26,0.023,0.184,0.000,0.016,0.000,0.000
2017-01-27,0.111,0.680,0.000,0.000,0.000,0.680
2017-01-28,0.076,0.816,0.000,0.000,0.000,0.043
2017-01-29,0.030,0.103,0.000,0.045,0.000,0.042
2017-01-30,0.130,1.204,0.000,1.204,0.000,0.001
2017-01-31,0.291,3.320,0.000,0.095,0.000,0.000
2017-02-01,0.011,0.075,0.000,0.037,0.000,0.000
2017-02-02,0.026,0.217,0.000,0.053,0.010,0.025
2017-02-03,0.210,2.194,0.000,2.194,0.000,0.000
2017-02-04,0.191,2.294,0.000,2.294,0.000,0.001
2017-02-05,0.020,0.217,0.000,0.217,0.000,0.000
2017-02-06,0.005,0.018,0.000,0.014,0.000,0.000
2017-02-07,0.038,0.412,0.000,0.012,0.000,0.000
2017-02-08,0.033,0.148,0.000,0.117,0.000,0.092
2017-02-09,0.057,0.535,0.000,0.535,0.000,0.002
2017-02-10,0.193,1.829,0.000,1.829,0.428,0.002
2017-02-11,0.039,0.245,0.000,0.039,0.009,0.092
2017-02-12,0.250,2.506,0.000,0.000,0.000,0.221
2017-02-13,0.238,1.767,0.000,0.000,0.000,1.767
2017-02-14,0.196,0.627,0.000,0.000,0.456,0.034
2017-02-15,0.171,0.739,0.000,0.006,0.739,0.000
2017-02-16,0.294,2.650,0.000,0.003,0.013,0.000
2017-02-17,0.208,1.616,0.000,0.181,0.000,0.000
2017-02-18,0.121,0.775,0.000,0.636,0.000,0.000
2017-02-19,0.076,0.483,0.000,0.109,0.011,0.000
2017-02-20,0.024,0.218,0.000,0.022,0.012,0.002
2017-02-21,0.015,0.096,0.000,0.008,0.000,0.027
2017-02-22,0.045,0.215,0.000,0.215,0.000,0.035
2017-02-23,0.047,0.472,0.000,0.472,0.000,0.001
2017-02-24,0.052,0.404,0.000,0.073,0.000,0.000
2017-02-25,0.043,0.261,0.000,0.261,0.129,0.000
2017-02-26,0.158,0.951,0.000,0.027,0.580,0.000
2017-02-27,0.295,1.135,0.000,0.004,0.944,0.000
2017-02-28,0.107,0.557,0.000,0.012,0.094,0.092
2017-03-01,0.781,5.231,0.000,0.000,0.089,0.002
2017-03-02,0.838,5.641,0.000,0.000,1.504,0.001
2017-03-03,0.421,2.365,0.000,0.153,2.222,0.000
2017-03-04,0.732,5.995,0.000,0.003,1.697,0.000
2017-03-05,0.135,1.524,0.000,0.000,0.053,0.000
2017-03-06,0.283,2.546,0.000,0.000,0.031,0.064
2017-03-07,0.841,7.474,0.000,0.000,0.008,0.587
2017-03-08,0.229,2.522,0.000,0.000,0.000,0.190
2017-03-09,0.150,0.920,0.000,0.010,0.080,0.100
2017-03-10,0.063,0.385,0.000,0.065,0.015,0.187
2017-03-11,0.111,0.800,0.000,0.277,0.008,0.004
2017-03-12,0.017,0.054,0.000,0.054,0.006,0.000
2017-03-13,0.166,0.908,0.000,0.370,0.063,0.000
2017-03-14,0.197,1.590,0.000,1.590,0.263,0.064
2017-03-15,0.017,0.099,0.000,0.099,0.075,0.017
2017-03-16,0.230,2.355,0.000,0.001,0.103,0.104
2017-03-17,0.117,0.814,0.000,0.000,0.123,0.002
2017-03-18,0.121,0.595,0.000,0.000,0.028,0.595
2017-03-19,0.148,0.891,0.000,0.155,0.001,0.011
2017-03-20,0.941,4.485,0.000,0.056,0.765,0.163
2017-03-21,2.737,22.137,0.000,0.001,0.654,0.297
2017-03-22,0.309,2.099,0.000,0.000,0.025,0.734
2017-03-23,0.435,2.379,0.000,0.014,0.024,2.379
2017-03-24,0.233,0.809,0.000,0.000,0.078,0.394
2017-03-25,1.542,5.753,0.000,0.000,0.945,5.753
2017-03-26,1.379,7.682,0.000,0.000,2.346,0.166
2017-03-27,0.560,3.616,0.000,0.000,0.230,0.205
2017-03-28,0.447,1.913,0.003,1.060,0.003,1.913
2017-03-29,0.721,2.370,0.005,1.909,0.040,2.370
2017-03-30,1.451,7.623,0.005,2.982,1.983,0.668
2017-03-31,0.582,1.863,0.011,1.863,0.662,1.139
2017-04-01,2.431,13.613,0.004,0.389,0.013,0.066
2017-04-02,0.974,4.173,0.000,4.173,0.505,0.250
2017-04-03,0.703,6.508,0.000,0.480,0.229,0.012
2017-04-04,2.183,17.307,0.000,17.307,3.210,0.017
2017-04-05,0.835,4.409,0.000,0.562,4.409,0.048
2017-04-06,2.477,13.788,0.000,0.119,13.788,0.148
2017-04-07,1.505,9.195,0.000,0.302,9.195,0.003
2017-04-08,1.054,3.798,0.001,2.109,3.798,0.004
2017-04-09,1.572,11.734,0.003,11.734,2.743,0.006
2017-04-10,0.843,5.940,0.000,1.338,5.940,0.000
2017-04-11,0.630,3.019,0.000,0.804,0.657,0.874
2017-04-12,1.020,4.364,0.000,3.584,0.644,1.485
2017-04-13,0.457,2.082,0.000,2.082,0.113,1.256
2017-04-14,1.010,4.066,0.000,4.066,1.016,1.037
2017-04-15,0.760,2.879,0.035,0.597,0.035,1.434
2017-04-16,1.821,5.697,0.001,2.873,0.001,0.469
2017-04-17,1.509,5.454,0.028,0.106,0.183,1.947
2017-04-18,2.278,10.109,0.008,0.974,0.702,2.250
2017-04-19,0.478,3.167,0.028,0.028,0.873,0.109
2017-04-20,0.631,3.651,0.001,0.021,0.027,0.209
2017-04-21,0.700,2.555,0.038,0.459,0.215,2.555
2017-04-22,1.588,6.122,0.005,6.122,0.063,2.247
2017-04-23,0.947,2.383,0.002,0.943,2.263,2.383
2017-04-24,0.538,1.935,0.008,0.571,0.264,0.511
2017-04-25,1.104,3.661,0.032,3.661,0.420,2.015
2017-04-26,1.289,5.039,0.001,0.361,0.231,1.263
2017-04-27,0.368,1.023,0.003,0.009,0.565,0.692
2017-04-28,0.950,6.822,0.007,0.585,0.560,0.899
2017-04-29,3.044,27.419,0.004,0.010,0.123,0.021
2017-04-30,0.904,4.025,0.000,0.096,0.117,0.021
2017-05-01,1.376,7.680,0.005,0.383,3.197,0.005
2017-05-02,1.545,11.964,0.001,0.019,11.964,0.155
2017-05-03,0.764,4.210,0.015,0.478,1.905,0.588
2017-05-04,0.610,3.373,0.000,1.894,0.401,0.184
2017-05-05,0.278,0.955,0.001,0.568,0.201,0.003
2017-05-06,0.342,1.038,0.001,0.594,0.192,0.002
2017-05-07,0.325,1.018,0.000,0.024,0.765,0.001
2017-05-08,0.196,0.813,0.000,0.007,0.335,0.000
2017-05-09,0.622,3.808,0.000,0.002,1.548,0.000
2017-05-10,1.229,10.698,0.000,0.000,0.555,0.010
2017-05-11,0.465,1.724,0.025,0.025,0.406,0.642
2017-05-12,0.623,5.075,0.008,0.315,0.008,0.014
2017-05-13,0.371,1.789,0.002,0.034,0.712,0.008
2017-05-14,0.588,3.127,0.000,0.000,1.036,0.002
2017-05-15,0.254,0.833,0.000,0.000,0.557,0.132
2017-05-16,0.135,1.025,0.000,0.000,0.063,0.237
2017-05-17,0.218,1.051,0.000,0.000,0.325,0.128
2017-05-18,0.027,0.165,0.000,0.000,0.006,0.004
2017-05-19,0.057,0.365,0.000,0.034,0.001,0.014
2017-05-20,0.215,0.808,0.000,0.001,0.005,0.003
2017-05-21,1.680,17.158,0.000,0.000,0.000,0.030
2017-05-22,0.786,6.482,0.000,0.000,0.007,0.055
2017-05-23,0.093,0.831,0.000,0.000,0.000,0.001
2017-05-24,0.518,1.750,0.000,0.002,0.059,1.750
2017-05-25,0.154,0.988,0.000,0.000,0.018,0.278
2017-05-26,0.112,0.945,0.000,0.000,0.057,0.026
2017-05-27,0.383,3.020,0.000,0.000,0.118,0.001
2017-05-28,0.300,1.045,0.000,0.874,0.002,0.001
2017-05-29,0.685,3.631,0.000,0.019,0.006,2.082
2017-05-30,0.151,0.638,0.000,0.001,0.000,0.638
2017-05-31,0.082,0.531,0.000,0.000,0.101,0.064
2017-06-01,0.129,0.599,0.000,0.003,0.461,0.049
2017-06-02,0.062,0.515,0.000,0.002,0.009,0.012
2017-06-03,0.062,0.667,0.000,0.000,0.000,0.003
2017-06-04,0.131,0.724,0.000,0.148,0.000,0.000
2017-06-05,0.306,3.079,0.000,0.003,0.000,0.000
2017-06-06,0.030,0.155,0.000,0.001,0.000,0.038
2017-06-07,0.028,0.145,0.000,0.000,0.000,0.002
2017-06-08,0.300,1.953,0.000,1.953,0.000,0.000
2017-06-09,0.095,0.525,0.000,0.525,0.018,0.000
2017-06-10,0.032,0.209,0.000,0.010,0.001,0.001
2017-06-11,0.115,0.812,0.000,0.006,0.812,0.284
2017-06-12,0.028,0.120,0.000,0.008,0.108,0.005
2017-06-13,0.023,0.070,0.000,0.000,0.070,0.016
2017-06-14,0.040,0.111,0.000,0.003,0.006,0.028
2017-06-15,0.053,0.159,0.000,0.000,0.000,0.008
2017-06-16,0.452,3.029,0.000,0.002,0.000,3.029
2017-06-17,1.144,8.137,0.000,0.317,0.000,0.233
2017-06-18,0.150,0.504,0.000,0.033,0.329,0.025
2017-06-19,0.078,0.614,0.000,0.007,0.009,0.000
2017-06-20,0.074,0.273,0.000,0.000,0.149,0.034
2017-06-21,0.049,0.169,0.000,0.016,0.006,0.062
2017-06-22,0.082,0.414,0.000,0.173,0.000,0.028
2017-06-23,0.120,0.832,0.000,0.019,0.157,0.006
2017-06-24,0.152,1.270,0.000,0.008,0.003,1.270
2017-06-25,0.031,0.183,0.000,0.000,0.183,0.060
2017-06-26,0.050,0.199,0.000,0.039,0.199,0.001
2017-06-27,0.015,0.086,0.000,0.040,0.004,0.008
2017-06-28,0.183,1.325,0.000,0.001,0.299,0.000
2017-06-29,0.047,0.177,0.000,0.132,0.006,0.000
2017-06-30,0.039,0.281,0.000,0.281,0.000,0.000
2017-07-01,0.132,1.203,0.000,0.172,0.018,0.000
2017-07-02,0.153,0.692,0.000,0.003,0.001,0.000
2017-07-03,0.087,0.547,0.000,0.000,0.000,0.000
2017-07-04,0.014,0.058,0.000,0.000,0.001,0.000
2017-07-05,0.847,9.150,0.000,0.000,0.019,9.150
2017-07-06,0.357,3.471,0.000,0.000,0.040,3.471
2017-07-07,0.107,1.006,0.000,0.000,1.006,0.116
2017-07-08,0.138,0.829,0.000,0.000,0.083,0.456
2017-07-09,0.107,0.847,0.000,0.000,0.003,0.008
2017-07-10,0.096,0.436,0.000,0.313,0.078,0.058
2017-07-11,0.027,0.135,0.000,0.030,0.135,0.005
2017-07-12,0.015,0.094,0.000,0.000,0.094,0.000
2017-07-13,0.013,0.097,0.000,0.000,0.002,0.023
2017-07-14,0.147,1.402,0.000,0.000,0.008,0.194
2017-07-15,0.017,0.143,0.000,0.010,0.000,0.024
2017-07-16,0.059,0.378,0.000,0.000,0.117,0.001
2017-07-17,0.117,0.994,0.000,0.000,0.072,0.994
2017-07-18,0.035,0.121,0.000,0.003,0.001,0.106
2017-07-19,0.328,2.082,0.000,0.195,0.239,0.002
2017-07-20,0.082,0.716,0.000,0.716,0.009,0.033
2017-07-21,0.041,0.279,0.000,0.013,0.014,0.030
2017-07-22,0.070,0.346,0.000,0.149,0.017,0.119
2017-07-23,0.050,0.151,0.000,0.114,0.100,0.151
2017-07-24,0.050,0.412,0.000,0.002,0.006,0.412
2017-07-25,0.225,1.451,0.000,0.003,0.000,0.404
2017-07-26,0.233,2.043,0.000,0.002,0.000,0.117
2017-07-27,0.067,0.626,0.000,0.045,0.000,0.002
2017-07-28,0.090,0.654,0.000,0.002,0.113,0.028
2017-07-29,0.056,0.207,0.000,0.000,0.207,0.008
2017-07-30,0.035,0.264,0.000,0.000,0.010,0.264
2017-07-31,0.056,0.189,0.000,0.012,0.189,0.131
2017-08-01,0.101,0.306,0.000,0.000,0.003,0.093
2017-08-02,0.159,0.936,0.000,0.000,0.064,0.480
2017-08-03,0.188,1.159,0.001,0.015,0.094,0.097
2017-08-04,0.184,0.936,0.000,0.036,0.025,0.220
2017-08-05,0.031,0.093,0.000,0.001,0.093,0.011
2017-08-06,0.021,0.122,0.000,0.042,0.122,0.019
2017-08-07,0.099,0.379,0.000,0.223,0.379,0.000
2017-08-08,0.084,0.312,0.000,0.004,0.137,0.001
2017-08-09,0.075,0.429,0.000,0.000,0.015,0.000
2017-08-10,0.192,0.925,0.000,0.000,0.198,0.000
2017-08-11,0.114,0.530,0.000,0.001,0.079,0.000
2017-08-12,0.578,5.385,0.000,0.181,0.001,5.385
2017-08-13,0.137,1.225,0.000,0.105,0.000,1.225
2017-08-14,0.027,0.091,0.000,0.002,0.000,0.021
2017-08-15,0.102,0.790,0.000,0.003,0.000,0.254
2017-08-16,0.079,0.394,0.000,0.000,0.000,0.048
2017-08-17,0.046,0.343,0.000,0.000,0.343,0.049
2017-08-18,0.073,0.574,0.000,0.022,0.069,0.016
2017-08-19,0.128,0.926,0.000,0.000,0.001,0.005
2017-08-20,0.124,0.938,0.000,0.000,0.000,0.037
2017-08-21,0.022,0.115,0.000,0.000,0.023,0.001
2017-08-22,0.030,0.155,0.000,0.000,0.001,0.025
2017-08-23,0.010,0.040,0.000,0.000,0.003,0.000
2017-08-24,0.044,0.285,0.000,0.026,0.028,0.000
2017-08-25,0.209,1.535,0.000,0.000,0.152,0.000
2017-08-26,0.127,0.527,0.000,0.000,0.093,0.000
2017-08-27,0.091,0.377,0.000,0.000,0.052,0.243
2017-08-28,0.051,0.374,0.000,0.000,0.036,0.014
2017-08-29,0.133,0.551,0.000,0.000,0.345,0.016
2017-08-30,0.049,0.230,0.000,0.033,0.006,0.177
2017-08-31,0.031,0.154,0.000,0.001,0.000,0.003
2017-09-01,0.036,0.232,0.000,0.000,0.232,0.000
2017-09-02,0.103,0.952,0.000,0.000,0.009,0.000
2017-09-03,0.025,0.078,0.000,0.001,0.000,0.000
2017-09-04,0.074,0.413,0.000,0.039,0.000,0.413
2017-09-05,0.079,0.388,0.000,0.001,0.388,0.021
2017-09-06,0.033,0.189,0.000,0.000,0.007,0.189
2017-09-07,0.041,0.180,0.000,0.135,0.060,0.003
2017-09-08,0.521,5.138,0.000,0.002,0.511,0.001
2017-09-09,0.038,0.237,0.000,0.000,0.237,0.003
2017-09-10,0.137,1.388,0.000,0.000,0.004,0.019
2017-09-11,0.060,0.500,0.000,0.000,0.000,0.043
