date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,2.839,6.266,0.997,2.218,1.958,4.680
2017-01-02,3.273,12.972,0.897,2.474,2.325,2.525
2017-01-03,2.519,4.820,0.261,2.530,2.631,3.865
2017-01-04,2.356,7.189,0.481,0.791,2.572,7.189
2017-01-05,2.316,10.834,0.672,0.963,2.851,10.834
2017-01-06,3.091,10.522,0.195,0.338,10.522,2.493
2017-01-07,1.840,3.835,0.328,0.328,3.712,1.921
2017-01-08,2.549,5.689,0.881,4.060,1.501,3.031
2017-01-09,2.120,4.197,0.427,0.989,1.881,3.624
2017-01-10,2.190,5.763,0.464,2.761,1.831,3.268
2017-01-11,2.799,8.265,0.479,1.570,8.265,2.787
2017-01-12,2.635,4.203,0.536,2.962,4.203,3.181
2017-01-13,2.356,4.330,0.929,2.398,3.458,2.656
2017-01-14,2.535,7.341,0.267,0.863,2.359,2.316
2017-01-15,2.172,4.663,0.511,0.913,2.677,3.931
2017-01-16,2.711,5.158,0.399,0.399,4.169,1.432
2017-01-17,3.471,8.935,0.146,3.156,8.935,2.254
2017-01-18,3.510,5.056,1.403,4.438,5.035,3.034
2017-01-19,3.100,6.354,1.250,2.823,1.787,2.225
2017-01-20,3.464,6.661,0.289,4.387,0.289,1.486
2017-01-21,3.040,5.152,0.786,5.152,1.567,4.615
2017-01-22,3.382,7.962,1.316,6.212,2.535,3.107
2017-01-23,2.703,7.062,1.259,7.062,1.552,1.653
2017-01-24,2.366,4.433,0.906,1.780,1.421,4.168
2017-01-25,2.493,8.013,0.622,1.558,1.454,8.013
2017-01-26,2.771,6.508,0.758,1.818,1.595,5.988
2017-01-27,3.766,8.261,0.992,2.874,1.232,8.261
2017-01-28,3.951,7.688,0.000,6.412,2.690,7.688
2017-01-29,3.696,9.828,1.054,9.828,2.972,4.237
2017-01-30,2.899,6.805,0.000,5.340,4.134,2.693
2017-01-31,2.758,5.305,0.000,3.481,2.738,4.041
2017-02-01,2.858,7.386,0.000,2.898,7.386,2.367
2017-02-02,2.421,6.807,0.000,1.333,4.718,1.182
2017-02-03,2.251,5.049,0.442,0.442,2.066,1.256
2017-02-04,2.252,7.933,0.000,0.974,2.127,2.005
2017-02-05,3.101,10.199,0.000,0.466,2.136,5.052
2017-02-06,2.061,7.953,0.000,0.163,7.953,3.310
2017-02-07,1.726,5.958,0.000,0.114,5.958,1.415
2017-02-08,2.562,9.953,0.149,0.149,6.057,0.961
2017-02-09,2.143,6.603,0.313,0.313,1.970,1.479
2017-02-10,1.709,4.593,0.000,0.486,3.317,2.740
2017-02-11,1.656,4.284,0.000,0.602,2.689,1.124
2017-02-12,1.110,2.564,0.000,0.934,1.849,0.319
2017-02-13,2.030,6.551,0.000,1.953,1.354,0.190
2017-02-14,2.008,4.288,0.000,4.158,1.536,0.357
2017-02-15,2.083,7.966,0.000,4.300,2.581,0.327
2017-02-16,2.804,7.334,0.345,6.541,2.937,0.349
2017-02-17,2.036,4.198,0.000,4.198,1.687,0.722
2017-02-18,2.830,8.740,0.000,3.158,3.349,0.603
2017-02-19,2.540,8.737,0.000,8.737,4.135,1.543
2017-02-20,2.148,5.973,0.000,5.973,4.984,0.519
2017-02-21,2.134,5.524,0.117,2.405,5.524,3.858
2017-02-22,2.770,7.525,0.000,1.921,5.182,0.565
2017-02-23,2.485,8.024,0.000,4.105,2.420,0.559
2017-02-24,2.573,6.137,0.240,3.051,3.465,0.281
2017-02-25,1.692,3.804,0.564,1.373,1.106,0.564
2017-02-26,2.277,5.581,0.000,4.712,1.422,1.985
2017-02-27,2.019,5.437,0.000,3.625,1.783,0.675
2017-02-28,2.655,7.211,0.000,4.355,2.382,0.796
2017-03-01,2.374,6.617,0.310,1.853,2.441,1.188
2017-03-02,2.712,7.060,0.000,5.858,2.734,4.311
2017-03-03,2.842,11.547,0.000,11.547,6.763,1.432
2017-03-04,2.375,10.036,0.000,3.411,7.130,1.195
2017-03-05,2.340,7.577,0.000,6.931,7.577,0.445
2017-03-06,1.626,5.245,0.000,5.245,2.467,0.744
2017-03-07,1.681,4.683,0.000,3.200,2.921,0.346
2017-03-08,2.594,8.519,0.000,8.519,2.612,2.103
2017-03-09,2.162,4.609,0.308,3.360,0.951,1.271
2017-03-10,1.774,4.857,0.000,1.424,4.857,0.993
2017-03-11,1.171,2.708,0.000,0.435,1.537,0.872
2017-03-12,1.523,3.674,0.184,1.328,2.669,0.262
2017-03-13,1.623,4.047,0.148,0.521,4.047,2.757
2017-03-14,1.624,3.602,0.351,2.479,2.076,2.417
2017-03-15,2.009,3.543,0.228,2.067,2.354,1.527
2017-03-16,1.870,5.311,0.379,5.311,0.379,1.158
2017-03-17,1.483,3.534,0.193,2.699,0.435,2.537
2017-03-18,2.930,11.166,0.552,2.197,1.063,11.166
2017-03-19,1.464,4.357,0.162,1.434,0.557,1.866
2017-03-20,1.258,3.919,0.129,0.423,0.991,1.460
2017-03-21,1.279,3.946,0.214,0.680,0.398,0.420
2017-03-22,1.504,3.892,0.302,1.161,0.959,0.358
2017-03-23,0.906,1.978,0.137,0.751,1.851,0.137
2017-03-24,1.402,4.519,0.047,1.886,0.293,0.175
2017-03-25,1.817,5.168,0.093,0.867,5.168,0.093
2017-03-26,1.254,2.666,0.068,1.734,0.514,0.124
2017-03-27,1.362,3.156,0.002,1.623,0.401,0.002
2017-03-28,1.295,3.718,0.000,2.089,0.610,0.000
2017-03-29,1.415,5.351,0.009,0.859,5.351,0.051
2017-03-30,1.158,3.016,0.066,1.367,2.369,0.281
2017-03-31,1.065,5.807,0.035,0.431,0.703,0.273
2017-04-01,1.193,3.338,0.028,0.715,1.297,0.028
2017-04-02,0.766,1.943,0.009,1.095,0.452,0.009
2017-04-03,1.317,4.840,0.040,1.186,0.445,0.177
2017-04-04,0.799,2.624,0.090,0.899,0.366,0.090
2017-04-05,0.806,2.416,0.065,0.810,1.609,0.065
