date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.045,0.263,0.000,0.093,0.003,0.000
2017-01-02,0.028,0.228,0.000,0.016,0.000,0.000
2017-01-03,0.072,0.855,0.000,0.000,0.000,0.000
2017-01-04,0.026,0.314,0.000,0.000,0.000,0.000
2017-01-05,0.001,0.006,0.000,0.006,0.000,0.000
2017-01-06,0.022,0.223,0.000,0.000,0.000,0.000
2017-01-07,0.191,2.076,0.000,0.000,0.129,0.000
2017-01-08,0.086,0.399,0.000,0.399,0.203,0.000
2017-01-09,0.433,4.581,0.000,4.581,0.208,0.000
2017-01-10,0.422,3.922,0.000,3.922,0.010,0.000
2017-01-11,0.138,0.512,0.000,0.512,0.003,0.000
2017-01-12,0.263,1.233,0.000,0.008,1.233,0.004
2017-01-13,0.334,2.513,0.000,2.513,0.028,0.481
2017-01-14,0.160,0.872,0.000,0.872,0.000,0.008
2017-01-15,0.034,0.141,0.000,0.132,0.000,0.002
2017-01-16,0.158,0.801,0.000,0.160,0.000,0.001
2017-01-17,0.093,0.572,0.000,0.003,0.515,0.000
2017-01-18,0.073,0.678,0.000,0.000,0.678,0.011
2017-01-19,0.075,0.672,0.000,0.000,0.672,0.002
2017-01-20,0.035,0.288,0.000,0.125,0.012,0.000
2017-01-21,0.052,0.337,0.000,0.002,0.000,0.000
2017-01-22,0.290,2.261,0.000,0.391,0.000,0.000
2017-01-23,0.031,0.278,0.000,0.278,0.000,0.000
2017-01-24,0.037,0.234,0.000,0.005,0.234,0.000
2017-01-25,0.030,0.201,0.000,0.000,0.014,0.000
2017-01-26,0.068,0.458,0.000,0.000,0.000,0.000
2017-01-27,0.183,1.497,0.000,0.527,0.000,0.000
2017-01-28,0.064,0.343,0.000,0.009,0.343,0.018
2017-01-29,0.007,0.036,0.000,0.000,0.033,0.000
2017-01-30,0.004,0.025,0.000,0.000,0.000,0.000
2017-01-31,0.020,0.217,0.000,0.000,0.000,0.000
2017-02-01,0.021,0.116,0.000,0.000,0.000,0.000
2017-02-02,0.040,0.417,0.000,0.000,0.004,0.000
2017-02-03,0.083,0.500,0.000,0.023,0.013,0.000
2017-02-04,0.092,0.553,0.000,0.000,0.000,0.000
2017-02-05,0.018,0.090,0.000,0.000,0.090,0.000
2017-02-06,0.155,1.244,0.000,0.000,0.002,0.000
2017-02-07,1.077,12.717,0.000,0.000,0.000,0.000
2017-02-08,0.100,0.768,0.000,0.000,0.000,0.102
2017-02-09,0.005,0.036,0.000,0.000,0.000,0.002
2017-02-10,0.010,0.078,0.000,0.000,0.078,0.000
2017-02-11,0.142,1.184,0.000,0.000,1.184,0.000
2017-02-12,0.083,0.641,0.000,0.000,0.641,0.075
2017-02-13,0.178,1.406,0.000,0.000,1.406,0.550
2017-02-14,0.025,0.144,0.000,0.003,0.025,0.021
2017-02-15,0.329,3.252,0.000,0.362,0.000,0.000
2017-02-16,0.064,0.418,0.000,0.015,0.005,0.000
2017-02-17,0.002,0.010,0.000,0.000,0.002,0.010
2017-02-18,0.012,0.130,0.000,0.006,0.000,0.000
2017-02-19,0.022,0.222,0.000,0.003,0.005,0.000
2017-02-20,0.140,1.671,0.000,0.000,0.000,0.000
2017-02-21,0.130,0.950,0.000,0.110,0.000,0.000
2017-02-22,0.041,0.326,0.000,0.012,0.000,0.000
2017-02-23,0.001,0.005,0.000,0.000,0.000,0.000
2017-02-24,0.000,0.000,0.000,0.000,0.000,0.000
2017-02-25,0.005,0.039,0.000,0.000,0.000,0.000
2017-02-26,0.007,0.046,0.000,0.000,0.000,0.000
2017-02-27,0.126,1.513,0.000,0.000,0.000,0.000
2017-02-28,0.143,1.711,0.000,0.000,0.000,0.000
2017-03-01,0.017,0.200,0.000,0.000,0.000,0.000
2017-03-02,0.021,0.117,0.000,0.000,0.005,0.000
2017-03-03,0.007,0.078,0.000,0.000,0.000,0.000
2017-03-04,0.027,0.283,0.000,0.000,0.000,0.000
2017-03-05,0.094,1.116,0.000,0.000,0.000,0.000
2017-03-06,0.037,0.230,0.000,0.000,0.000,0.000
2017-03-07,0.034,0.310,0.000,0.000,0.000,0.000
2017-03-08,0.033,0.246,0.000,0.000,0.093,0.000
2017-03-09,0.008,0.058,0.000,0.000,0.032,0.000
2017-03-10,0.004,0.043,0.000,0.000,0.043,0.000
2017-03-11,0.011,0.111,0.000,0.000,0.001,0.000
2017-03-12,0.005,0.030,0.000,0.000,0.000,0.000
2017-03-13,0.020,0.187,0.000,0.000,0.000,0.000
2017-03-14,0.005,0.057,0.000,0.000,0.000,0.000
2017-03-15,0.004,0.044,0.000,0.000,0.000,0.000
2017-03-16,0.053,0.522,0.000,0.000,0.000,0.000
2017-03-17,0.043,0.483,0.000,0.015,0.483,0.000
2017-03-18,0.011,0.116,0.000,0.007,0.116,0.000
2017-03-19,0.002,0.016,0.000,0.000,0.002,0.003
2017-03-20,0.003,0.036,0.000,0.000,0.000,0.000
2017-03-21,0.005,0.058,0.000,0.000,0.000,0.000
2017-03-22,0.002,0.012,0.000,0.000,0.000,0.002
2017-03-23,0.004,0.031,0.000,0.002,0.000,0.000
2017-03-24,0.049,0.469,0.000,0.063,0.000,0.000
2017-03-25,0.026,0.198,0.000,0.045,0.000,0.000
2017-03-26,0.014,0.078,0.000,0.001,0.000,0.000
2017-03-27,0.009,0.066,0.000,0.066,0.000,0.010
2017-03-28,0.028,0.228,0.000,0.001,0.000,0.001
2017-03-29,0.125,1.360,0.000,0.000,0.001,0.000
2017-03-30,0.040,0.354,0.000,0.000,0.080,0.000
2017-03-31,0.137,1.422,0.000,0.000,1.422,0.000
2017-04-01,0.158,1.373,0.000,0.000,0.025,0.000
2017-04-02,0.035,0.352,0.000,0.000,0.000,0.000
2017-04-03,0.004,0.022,0.000,0.000,0.000,0.000
2017-04-04,0.053,0.275,0.000,0.222,0.000,0.000
2017-04-05,0.008,0.066,0.000,0.066,0.000,0.013
2017-04-06,0.007,0.038,0.000,0.017,0.000,0.038
2017-04-07,0.006,0.058,0.000,0.000,0.058,0.001
2017-04-08,0.022,0.102,0.000,0.008,0.102,0.039
2017-04-09,0.045,0.290,0.000,0.000,0.017,0.290
2017-04-10,0.009,0.057,0.000,0.000,0.000,0.057
2017-04-11,0.036,0.337,0.000,0.000,0.018,0.001
2017-04-12,0.052,0.241,0.000,0.152,0.000,0.241
2017-04-13,0.052,0.315,0.000,0.122,0.000,0.012
2017-04-14,0.193,1.777,0.000,0.141,0.000,0.025
2017-04-15,0.038,0.195,0.000,0.009,0.000,0.195
2017-04-16,0.023,0.107,0.000,0.088,0.000,0.035
2017-04-17,0.166,1.472,0.000,0.002,0.209,0.001
2017-04-18,0.326,1.622,0.000,0.645,1.622,0.000
2017-04-19,0.135,0.887,0.000,0.016,0.171,0.000
2017-04-20,0.055,0.422,0.000,0.000,0.003,0.000
2017-04-21,0.079,0.555,0.000,0.000,0.082,0.078
2017-04-22,0.078,0.323,0.000,0.000,0.254,0.034
2017-04-23,0.038,0.256,0.000,0.038,0.068,0.001
2017-04-24,0.347,1.412,0.000,0.238,0.141,1.052
2017-04-25,0.100,0.707,0.000,0.197,0.015,0.019
2017-04-26,0.130,0.653,0.000,0.003,0.000,0.039
2017-04-27,0.051,0.222,0.000,0.222,0.000,0.062
2017-04-28,0.145,0.629,0.000,0.004,0.021,0.002
2017-04-29,0.142,0.563,0.000,0.233,0.242,0.000
2017-04-30,0.100,0.460,0.000,0.128,0.206,0.000
2017-05-01,0.090,0.761,0.000,0.093,0.004,0.004
2017-05-02,0.099,0.344,0.000,0.141,0.009,0.005
2017-05-03,0.307,2.429,0.000,0.002,0.010,0.159
2017-05-04,0.064,0.207,0.000,0.000,0.027,0.207
2017-05-05,0.238,1.984,0.000,0.000,0.000,0.004
2017-05-06,0.034,0.131,0.000,0.000,0.001,0.000
2017-05-07,0.266,2.123,0.000,0.028,0.017,2.123
2017-05-08,0.421,2.827,0.001,0.007,0.049,2.827
2017-05-09,0.500,2.770,0.000,0.001,0.243,0.110
2017-05-10,0.312,2.475,0.000,0.000,0.088,0.018
2017-05-11,0.111,1.055,0.000,0.003,0.001,0.000
2017-05-12,0.065,0.298,0.000,0.009,0.000,0.000
2017-05-13,0.061,0.338,0.000,0.000,0.011,0.000
2017-05-14,0.068,0.300,0.000,0.000,0.000,0.000
2017-05-15,0.608,4.497,0.000,0.001,0.000,0.018
2017-05-16,0.858,3.169,0.000,0.184,0.000,0.002
2017-05-17,1.180,9.433,0.000,0.231,0.000,9.433
2017-05-18,0.320,1.157,0.000,0.009,0.000,0.474
2017-05-19,0.315,1.497,0.000,0.000,0.021,0.016
2017-05-20,0.701,3.105,0.002,0.016,0.062,0.010
2017-05-21,0.851,2.459,0.002,0.002,1.613,2.459
2017-05-22,0.723,3.407,0.000,0.000,0.471,0.072
2017-05-23,0.643,5.339,0.000,0.003,0.890,0.190
2017-05-24,1.413,7.909,0.009,0.065,1.289,0.146
2017-05-25,0.619,2.641,0.019,0.592,2.641,0.980
2017-05-26,0.646,2.819,0.000,1.899,0.188,2.819
2017-05-27,0.500,2.501,0.004,2.265,0.025,0.145
2017-05-28,0.554,2.722,0.000,0.130,0.142,1.534
2017-05-29,0.707,2.673,0.000,2.446,0.045,0.027
2017-05-30,1.130,10.959,0.000,10.959,0.014,0.005
2017-05-31,1.031,3.316,0.000,0.224,0.793,0.000
2017-06-01,1.719,6.667,0.001,0.001,0.036,1.542
2017-06-02,1.627,8.238,0.000,0.000,1.048,8.238
2017-06-03,3.526,30.726,0.000,0.097,30.726,1.535
2017-06-04,0.213,0.910,0.009,0.098,0.545,0.025
2017-06-05,2.523,18.915,0.000,1.506,0.000,0.000
2017-06-06,2.844,11.148,0.000,0.523,0.000,2.606
2017-06-07,2.972,9.919,0.069,0.646,9.919,0.481
2017-06-08,3.070,8.603,0.062,4.047,2.807,0.780
2017-06-09,2.336,18.150,0.014,0.074,0.503,0.014
2017-06-10,0.730,3.740,0.000,1.763,0.083,0.000
